# time  ID  size  fromHost  toHost  TTL  isResponse
5.0000 M1 1000000 S255 S330 400 N 
10.0000 M2 1000000 S190 S226 400 N 
15.0000 M3 1000000 S11 S265 400 N 
20.0000 M4 1000000 S46 S313 400 N 
25.0000 M5 1000000 S11 S209 400 N 
30.0000 M6 1000000 S107 S42 400 N 
35.0000 M7 1000000 S243 S169 400 N 
40.0000 M8 1000000 S307 S377 400 N 
45.0000 M9 1000000 S97 S42 400 N 
50.0000 M10 1000000 S17 S31 400 N 
55.0000 M11 1000000 S289 S395 400 N 
60.0000 M12 1000000 S395 S344 400 N 
65.0000 M13 1000000 S240 S249 400 N 
70.0000 M14 1000000 S303 S26 400 N 
75.0000 M15 1000000 S331 S195 400 N 
80.0000 M16 1000000 S117 S133 400 N 
85.0000 M17 1000000 S403 S369 400 N 
90.0000 M18 1000000 S161 S22 400 N 
95.0000 M19 1000000 S239 S340 400 N 
100.0000 M20 1000000 S89 S5 400 N 
105.0000 M21 1000000 S62 S152 400 N 
110.0000 M22 1000000 S349 S47 400 N 
115.0000 M23 1000000 S344 S39 400 N 
120.0000 M24 1000000 S55 S110 400 N 
125.0000 M25 1000000 S31 S311 400 N 
130.0000 M26 1000000 S336 S3 400 N 
135.0000 M27 1000000 S263 S387 400 N 
140.0000 M28 1000000 S235 S326 400 N 
145.0000 M29 1000000 S111 S376 400 N 
150.0000 M30 1000000 S179 S37 400 N 
155.0000 M31 1000000 S60 S325 400 N 
160.0000 M32 1000000 S45 S264 400 N 
165.0000 M33 1000000 S97 S134 400 N 
170.0000 M34 1000000 S409 S309 400 N 
175.0000 M35 1000000 S124 S362 400 N 
180.0000 M36 1000000 S123 S206 400 N 
185.0000 M37 1000000 S207 S143 400 N 
190.0000 M38 1000000 S160 S8 400 N 
195.0000 M39 1000000 S42 S80 400 N 
200.0000 M40 1000000 S207 S135 400 N 
205.0000 M41 1000000 S194 S261 400 N 
210.0000 M42 1000000 S333 S117 400 N 
215.0000 M43 1000000 S384 S168 400 N 
