# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
301.0000 M60 1000000 1 1.0000 S243 S241 399 N S243->S241
376.0000 M75 1000000 1 1.0000 S264 S274 399 N S264->S274
943.3000 M13 1000000 4 878.3000 S240 S249 385 N S240->S237->26_1088->S250->S249
1133.2000 M2 1000000 2 1123.2000 S190 S226 381 N S190->25_1066->S226
1250.2000 M172 1000000 2 390.2000 S206 S227 393 N S206->1_433->S227
1402.4000 M77 1000000 3 1017.4000 S60 S68 383 N S60->S59->5_550->S68
1481.3000 M39 1000000 2 1286.3000 S42 S80 378 N S42->5_550->S80
1488.3000 M139 1000000 3 793.3000 S193 S284 386 N S193->7_588->S266->S284
1784.8000 M8 1000000 6 1744.8000 S307 S377 370 N S307->S309->20_876->S284->S266->7_588->S377
1798.6000 M136 1000000 3 1118.6000 S249 S383 381 N S249->S250->26_1088->S383
1913.2000 M102 1000000 4 1403.2000 S106 S397 376 N S106->S104->1_432->26_1088->S397
1970.0000 M130 1000000 6 1320.0000 S239 S244 378 N S239->S237->26_1088->S376->S378->1_432->S244
1986.4000 M197 1000000 7 1001.4000 S366 S314 383 N S366->3_489->S358->S355->18_863->S330->17_813->S314
1997.2000 M224 1000000 2 877.2000 S145 S117 385 N S145->25_1067->S117
2058.6000 M218 1000000 3 968.6000 S129 S104 383 N S129->S130->25_1067->S104
2062.3000 M4 1000000 4 2042.3000 S46 S313 365 N S46->1_432->S407->17_814->S313
2216.9000 M57 1000000 5 1931.9000 S429 S22 367 N S429->S2->S3->1_432->26_1088->S22
2318.5000 M68 1000000 6 1978.5000 S372 S289 367 N S372->S371->5_550->S385->S388->3_489->S289
2321.1000 M9 1000000 4 2276.1000 S97 S42 362 N S97->S98->1_432->26_1088->S42
2384.8000 M72 1000000 6 2024.8000 S105 S325 366 N S105->S104->1_432->S411->S407->17_814->S325
2391.8000 M3 1000000 3 2376.8000 S11 S265 360 N S11->18_863->3_489->S265
2448.8000 M158 1000000 5 1658.8000 S228 S206 372 N S228->26_1088->S376->S378->1_432->S206
2511.2000 M199 1000000 3 1516.2000 S276 S99 374 N S276->20_876->7_588->S99
2572.9000 M106 1000000 4 2042.9000 S53 S192 365 N S53->17_813->S404->1_432->S192
2615.4000 M154 1000000 3 1845.4000 S367 S94 369 N S367->S363->26_1088->S94
2663.5000 M245 1000000 5 1438.5000 S229 S315 376 N S229->25_1066->7_588->S407->17_815->S315
2715.0000 M148 1000000 6 1975.0000 S284 S347 367 N S284->S266->26_1088->S404->S407->17_814->S347
2847.6000 M198 1000000 4 1857.6000 S46 S316 369 N S46->1_432->S407->17_814->S316
2864.5000 M316 1000000 5 1284.5000 S378 S324 378 N S378->S377->7_588->S407->17_815->S324
2869.5000 M179 1000000 4 1974.5000 S408 S131 367 N S408->S404->1_432->26_1088->S131
