# messageDelay  cumulativeProbability
1.0000 0.0002
1.0000 0.0003
1.0000 0.0005
1.0000 0.0007
1.0000 0.0009
1.0000 0.0010
1.0000 0.0012
1.0000 0.0014
1.0000 0.0016
130.4000 0.0017
148.2000 0.0019
162.6000 0.0021
165.6000 0.0023
192.7000 0.0024
207.4000 0.0026
236.3000 0.0028
236.5000 0.0030
238.6000 0.0031
241.5000 0.0033
251.3000 0.0035
292.5000 0.0036
293.2000 0.0038
309.0000 0.0040
313.6000 0.0042
317.1000 0.0043
322.5000 0.0045
326.0000 0.0047
334.0000 0.0049
351.6000 0.0050
352.9000 0.0052
370.4000 0.0054
378.0000 0.0056
380.7000 0.0057
386.2000 0.0059
389.7000 0.0061
390.2000 0.0063
399.2000 0.0064
417.0000 0.0066
421.2000 0.0068
426.2000 0.0069
453.3000 0.0071
474.6000 0.0073
483.7000 0.0075
492.0000 0.0076
501.1000 0.0078
506.1000 0.0080
513.5000 0.0082
515.0000 0.0083
518.7000 0.0085
520.4000 0.0087
536.0000 0.0089
538.4000 0.0090
542.7000 0.0092
545.6000 0.0094
552.4000 0.0095
557.2000 0.0097
567.3000 0.0099
586.1000 0.0101
604.1000 0.0102
614.1000 0.0104
621.0000 0.0106
621.2000 0.0108
621.5000 0.0109
628.2000 0.0111
632.7000 0.0113
637.3000 0.0115
645.1000 0.0116
666.8000 0.0118
670.9000 0.0120
672.1000 0.0122
672.4000 0.0123
675.2000 0.0125
679.8000 0.0127
685.7000 0.0128
692.0000 0.0130
698.0000 0.0132
700.7000 0.0134
703.5000 0.0135
741.9000 0.0137
744.8000 0.0139
746.2000 0.0141
755.5000 0.0142
758.0000 0.0144
758.3000 0.0146
764.7000 0.0148
780.0000 0.0149
783.8000 0.0151
792.3000 0.0153
793.3000 0.0155
794.6000 0.0156
801.1000 0.0158
803.0000 0.0160
808.9000 0.0161
821.9000 0.0163
826.0000 0.0165
831.2000 0.0167
836.6000 0.0168
851.1000 0.0170
851.8000 0.0172
854.6000 0.0174
856.0000 0.0175
856.1000 0.0177
862.5000 0.0179
864.5000 0.0181
865.3000 0.0182
865.3000 0.0184
867.5000 0.0186
869.4000 0.0187
870.8000 0.0189
874.8000 0.0191
877.2000 0.0193
877.3000 0.0194
878.3000 0.0196
881.2000 0.0198
882.3000 0.0200
887.4000 0.0201
904.2000 0.0203
907.6000 0.0205
911.8000 0.0207
915.3000 0.0208
916.7000 0.0210
917.4000 0.0212
921.0000 0.0214
922.4000 0.0215
923.3000 0.0217
926.9000 0.0219
927.9000 0.0220
928.6000 0.0222
938.2000 0.0224
939.1000 0.0226
941.6000 0.0227
951.8000 0.0229
959.0000 0.0231
960.8000 0.0233
967.3000 0.0234
968.6000 0.0236
974.4000 0.0238
977.7000 0.0240
981.8000 0.0241
989.3000 0.0243
993.6000 0.0245
998.5000 0.0247
1001.3000 0.0248
1001.4000 0.0250
1008.7000 0.0252
1014.6000 0.0253
1016.2000 0.0255
1017.4000 0.0257
1026.3000 0.0259
1027.6000 0.0260
1028.5000 0.0262
1032.3000 0.0264
1033.4000 0.0266
1036.5000 0.0267
1036.7000 0.0269
1038.7000 0.0271
1042.2000 0.0273
1047.2000 0.0274
1048.1000 0.0276
1048.6000 0.0278
1051.4000 0.0280
1053.4000 0.0281
1056.3000 0.0283
1056.3000 0.0285
1056.9000 0.0286
1057.0000 0.0288
1060.8000 0.0290
1060.9000 0.0292
1062.6000 0.0293
1067.1000 0.0295
1068.1000 0.0297
1071.2000 0.0299
1073.6000 0.0300
1083.0000 0.0302
1091.5000 0.0304
1093.8000 0.0306
1100.7000 0.0307
1100.9000 0.0309
1107.9000 0.0311
1114.7000 0.0312
1117.7000 0.0314
1118.6000 0.0316
1123.2000 0.0318
1127.0000 0.0319
1129.6000 0.0321
1133.4000 0.0323
1138.5000 0.0325
1144.3000 0.0326
1144.6000 0.0328
1146.5000 0.0330
1146.7000 0.0332
1146.8000 0.0333
1147.2000 0.0335
1152.9000 0.0337
1153.2000 0.0339
1154.8000 0.0340
1158.6000 0.0342
1163.9000 0.0344
1166.4000 0.0345
1166.6000 0.0347
1171.1000 0.0349
1172.7000 0.0351
1175.9000 0.0352
1183.4000 0.0354
1183.8000 0.0356
1188.5000 0.0358
1190.9000 0.0359
1196.2000 0.0361
1197.1000 0.0363
1201.8000 0.0365
1203.0000 0.0366
1206.5000 0.0368
1208.5000 0.0370
1208.9000 0.0372
1214.8000 0.0373
1215.9000 0.0375
1217.1000 0.0377
1218.5000 0.0378
1218.6000 0.0380
1220.9000 0.0382
1226.0000 0.0384
1230.5000 0.0385
1231.6000 0.0387
1231.9000 0.0389
1233.2000 0.0391
1234.7000 0.0392
1235.5000 0.0394
1235.8000 0.0396
1240.4000 0.0398
1241.2000 0.0399
1243.4000 0.0401
1249.7000 0.0403
1249.9000 0.0405
1251.2000 0.0406
1258.5000 0.0408
1261.6000 0.0410
1263.6000 0.0411
1264.2000 0.0413
1265.3000 0.0415
1267.7000 0.0417
1267.9000 0.0418
1268.1000 0.0420
1273.0000 0.0422
1274.7000 0.0424
1276.5000 0.0425
1276.6000 0.0427
1277.6000 0.0429
1277.6000 0.0431
1277.9000 0.0432
1278.5000 0.0434
1283.2000 0.0436
1284.5000 0.0437
1286.0000 0.0439
1286.3000 0.0441
1287.2000 0.0443
1287.6000 0.0444
1288.1000 0.0446
1288.4000 0.0448
1291.3000 0.0450
1293.6000 0.0451
1293.9000 0.0453
1304.5000 0.0455
1307.8000 0.0457
1308.1000 0.0458
1312.6000 0.0460
1313.6000 0.0462
1320.0000 0.0464
1320.0000 0.0465
1322.2000 0.0467
1324.3000 0.0469
1329.7000 0.0470
1330.1000 0.0472
1330.6000 0.0474
1333.3000 0.0476
1335.0000 0.0477
1337.7000 0.0479
1344.5000 0.0481
1352.5000 0.0483
1359.3000 0.0484
1362.0000 0.0486
1364.4000 0.0488
1365.0000 0.0490
1365.1000 0.0491
1366.3000 0.0493
1369.6000 0.0495
1370.1000 0.0497
1372.5000 0.0498
1378.8000 0.0500
1384.2000 0.0502
1386.5000 0.0503
1391.4000 0.0505
1391.7000 0.0507
1397.7000 0.0509
1402.3000 0.0510
1403.2000 0.0512
1404.3000 0.0514
1407.0000 0.0516
1414.0000 0.0517
1417.0000 0.0519
1417.2000 0.0521
1418.4000 0.0523
1420.3000 0.0524
1420.6000 0.0526
1420.9000 0.0528
1421.3000 0.0530
1421.8000 0.0531
1424.6000 0.0533
1427.7000 0.0535
1427.9000 0.0536
1430.6000 0.0538
1436.9000 0.0540
1438.5000 0.0542
1444.5000 0.0543
1446.0000 0.0545
1448.2000 0.0547
1448.3000 0.0549
1451.1000 0.0550
1451.3000 0.0552
1456.3000 0.0554
1457.4000 0.0556
1463.5000 0.0557
1464.6000 0.0559
1467.6000 0.0561
1470.1000 0.0562
1487.2000 0.0564
1488.1000 0.0566
1490.8000 0.0568
1492.0000 0.0569
1494.4000 0.0571
1498.0000 0.0573
1502.2000 0.0575
1502.4000 0.0576
1504.3000 0.0578
1509.7000 0.0580
1511.1000 0.0582
1512.3000 0.0583
1512.8000 0.0585
1514.8000 0.0587
1515.3000 0.0589
1516.2000 0.0590
1516.8000 0.0592
1518.5000 0.0594
1522.2000 0.0595
1522.5000 0.0597
1522.7000 0.0599
1522.8000 0.0601
1525.7000 0.0602
1525.8000 0.0604
1529.8000 0.0606
1530.2000 0.0608
1531.5000 0.0609
1534.3000 0.0611
1535.1000 0.0613
1540.1000 0.0615
1542.4000 0.0616
1550.6000 0.0618
1554.9000 0.0620
1558.6000 0.0622
1558.9000 0.0623
1560.2000 0.0625
1562.3000 0.0627
1565.4000 0.0628
1566.3000 0.0630
1566.6000 0.0632
1566.7000 0.0634
1566.7000 0.0635
1568.0000 0.0637
1572.8000 0.0639
1574.3000 0.0641
1574.6000 0.0642
1577.6000 0.0644
1578.3000 0.0646
1578.5000 0.0648
1579.6000 0.0649
1579.6000 0.0651
1581.5000 0.0653
1582.2000 0.0655
1582.8000 0.0656
1585.2000 0.0658
1585.5000 0.0660
1587.8000 0.0661
1595.6000 0.0663
1596.4000 0.0665
1597.3000 0.0667
1597.8000 0.0668
1598.8000 0.0670
1608.4000 0.0672
1608.4000 0.0674
1610.0000 0.0675
1610.0000 0.0677
1610.2000 0.0679
1610.2000 0.0681
1613.3000 0.0682
1615.5000 0.0684
1618.6000 0.0686
1622.1000 0.0687
1623.1000 0.0689
1625.4000 0.0691
1625.4000 0.0693
1626.6000 0.0694
1629.4000 0.0696
1630.4000 0.0698
1633.6000 0.0700
1633.6000 0.0701
1634.0000 0.0703
1635.5000 0.0705
1636.2000 0.0707
1640.0000 0.0708
1640.7000 0.0710
1644.0000 0.0712
1647.4000 0.0714
1649.8000 0.0715
1654.0000 0.0717
1657.1000 0.0719
1658.8000 0.0720
1659.5000 0.0722
1664.7000 0.0724
1667.6000 0.0726
1667.8000 0.0727
1668.2000 0.0729
1669.4000 0.0731
1669.6000 0.0733
1670.5000 0.0734
1675.0000 0.0736
1675.5000 0.0738
1675.9000 0.0740
1676.5000 0.0741
1678.7000 0.0743
1685.8000 0.0745
1686.1000 0.0747
1686.8000 0.0748
1689.3000 0.0750
1690.5000 0.0752
1691.7000 0.0753
1692.3000 0.0755
1692.4000 0.0757
1692.6000 0.0759
1692.9000 0.0760
1693.6000 0.0762
1694.6000 0.0764
1699.4000 0.0766
1702.1000 0.0767
1705.4000 0.0769
1709.9000 0.0771
1712.8000 0.0773
1713.7000 0.0774
1716.2000 0.0776
1719.1000 0.0778
1723.7000 0.0780
1731.9000 0.0781
1732.4000 0.0783
1735.5000 0.0785
1741.0000 0.0786
1744.8000 0.0788
1745.6000 0.0790
1749.8000 0.0792
1749.9000 0.0793
1754.9000 0.0795
1756.9000 0.0797
1769.0000 0.0799
1771.0000 0.0800
1772.3000 0.0802
