# messageDelay  cumulativeProbability
1.0000 0.0000
1.0000 0.0001
1.0000 0.0001
1.0000 0.0001
1.0000 0.0002
1.0000 0.0002
1.0000 0.0002
1.0000 0.0003
1.0000 0.0003
1.0000 0.0003
1.0000 0.0004
1.0000 0.0004
1.0000 0.0005
1.0000 0.0005
1.0000 0.0005
1.0000 0.0006
1.0000 0.0006
1.0000 0.0006
1.0000 0.0007
1.0000 0.0007
1.0000 0.0007
1.0000 0.0008
1.0000 0.0008
1.0000 0.0008
1.0000 0.0009
1.0000 0.0009
1.0000 0.0009
1.0000 0.0010
1.0000 0.0010
1.0000 0.0010
1.0000 0.0011
1.0000 0.0011
1.0000 0.0011
1.0000 0.0012
1.0000 0.0012
1.0000 0.0013
1.0000 0.0013
1.0000 0.0013
1.0000 0.0014
1.0000 0.0014
1.0000 0.0014
1.0000 0.0015
1.0000 0.0015
1.0000 0.0015
1.0000 0.0016
1.0000 0.0016
1.0000 0.0016
1.0000 0.0017
1.0000 0.0017
1.0000 0.0017
1.0000 0.0018
1.0000 0.0018
1.0000 0.0018
1.0000 0.0019
1.0000 0.0019
1.0000 0.0019
1.0000 0.0020
1.0000 0.0020
1.0000 0.0020
1.0000 0.0021
1.0000 0.0021
1.0000 0.0022
1.0000 0.0022
1.0000 0.0022
1.0000 0.0023
1.0000 0.0023
1.0000 0.0023
1.0000 0.0024
1.0000 0.0024
1.0000 0.0024
1.0000 0.0025
1.0000 0.0025
1.0000 0.0025
1.0000 0.0026
1.0000 0.0026
1.0000 0.0026
1.0000 0.0027
1.0000 0.0027
1.0000 0.0027
1.0000 0.0028
1.0000 0.0028
1.0000 0.0028
1.0000 0.0029
1.0000 0.0029
1.0000 0.0030
1.0000 0.0030
1.0000 0.0030
1.0000 0.0031
1.0000 0.0031
1.0000 0.0031
1.0000 0.0032
1.0000 0.0032
1.0000 0.0032
1.0000 0.0033
1.0000 0.0033
1.0000 0.0033
1.0000 0.0034
1.0000 0.0034
1.1000 0.0034
1.6000 0.0035
1.7000 0.0035
1.7000 0.0035
1.8000 0.0036
1.9000 0.0036
1.9000 0.0036
2.0000 0.0037
2.0000 0.0037
2.0000 0.0037
2.5000 0.0038
3.9000 0.0038
28.2000 0.0039
36.4000 0.0039
45.3000 0.0039
55.0000 0.0040
69.4000 0.0040
83.9000 0.0040
84.5000 0.0041
91.9000 0.0041
103.7000 0.0041
106.4000 0.0042
138.0000 0.0042
140.2000 0.0042
155.4000 0.0043
158.8000 0.0043
165.4000 0.0043
167.2000 0.0044
177.9000 0.0044
180.6000 0.0044
181.5000 0.0045
185.0000 0.0045
193.9000 0.0045
196.9000 0.0046
197.6000 0.0046
203.5000 0.0047
207.2000 0.0047
212.4000 0.0047
221.1000 0.0048
222.1000 0.0048
225.9000 0.0048
229.8000 0.0049
230.6000 0.0049
234.8000 0.0049
239.5000 0.0050
246.5000 0.0050
246.9000 0.0050
247.4000 0.0051
253.5000 0.0051
254.4000 0.0051
257.8000 0.0052
258.1000 0.0052
260.6000 0.0052
261.1000 0.0053
263.4000 0.0053
267.5000 0.0053
270.9000 0.0054
283.2000 0.0054
286.6000 0.0055
288.4000 0.0055
291.3000 0.0055
292.1000 0.0056
298.9000 0.0056
305.6000 0.0056
319.2000 0.0057
321.3000 0.0057
323.3000 0.0057
327.5000 0.0058
328.7000 0.0058
331.0000 0.0058
331.7000 0.0059
332.4000 0.0059
335.3000 0.0059
335.9000 0.0060
342.8000 0.0060
347.3000 0.0060
349.4000 0.0061
352.3000 0.0061
353.6000 0.0061
355.0000 0.0062
359.3000 0.0062
363.8000 0.0063
364.1000 0.0063
364.4000 0.0063
367.9000 0.0064
368.4000 0.0064
369.5000 0.0064
373.4000 0.0065
375.7000 0.0065
376.5000 0.0065
378.3000 0.0066
378.8000 0.0066
379.6000 0.0066
387.2000 0.0067
388.9000 0.0067
389.6000 0.0067
390.0000 0.0068
395.9000 0.0068
396.4000 0.0068
397.0000 0.0069
399.4000 0.0069
401.4000 0.0069
404.2000 0.0070
404.7000 0.0070
411.9000 0.0070
412.4000 0.0071
413.4000 0.0071
414.0000 0.0072
416.1000 0.0072
416.5000 0.0072
417.4000 0.0073
418.4000 0.0073
419.4000 0.0073
420.1000 0.0074
424.5000 0.0074
428.2000 0.0074
431.4000 0.0075
432.6000 0.0075
432.7000 0.0075
432.7000 0.0076
433.2000 0.0076
433.6000 0.0076
433.9000 0.0077
434.0000 0.0077
434.2000 0.0077
437.3000 0.0078
437.8000 0.0078
438.9000 0.0078
444.0000 0.0079
447.6000 0.0079
449.8000 0.0080
450.1000 0.0080
451.4000 0.0080
455.2000 0.0081
457.8000 0.0081
461.2000 0.0081
462.3000 0.0082
463.3000 0.0082
467.6000 0.0082
469.3000 0.0083
476.7000 0.0083
478.8000 0.0083
481.5000 0.0084
482.3000 0.0084
483.6000 0.0084
486.0000 0.0085
487.7000 0.0085
490.6000 0.0085
492.8000 0.0086
493.1000 0.0086
493.7000 0.0086
495.3000 0.0087
497.1000 0.0087
498.3000 0.0088
499.3000 0.0088
502.3000 0.0088
503.3000 0.0089
504.7000 0.0089
506.1000 0.0089
506.4000 0.0090
506.9000 0.0090
509.0000 0.0090
511.6000 0.0091
512.7000 0.0091
515.1000 0.0091
516.2000 0.0092
517.7000 0.0092
518.6000 0.0092
522.3000 0.0093
522.7000 0.0093
525.4000 0.0093
525.5000 0.0094
529.7000 0.0094
531.0000 0.0094
532.8000 0.0095
537.7000 0.0095
537.8000 0.0095
539.0000 0.0096
539.1000 0.0096
539.7000 0.0097
539.9000 0.0097
543.0000 0.0097
544.8000 0.0098
548.3000 0.0098
548.3000 0.0098
550.8000 0.0099
551.0000 0.0099
552.0000 0.0099
553.6000 0.0100
555.2000 0.0100
560.6000 0.0100
561.1000 0.0101
561.3000 0.0101
562.8000 0.0101
565.8000 0.0102
571.0000 0.0102
571.5000 0.0102
572.5000 0.0103
573.5000 0.0103
574.3000 0.0103
574.7000 0.0104
575.7000 0.0104
576.8000 0.0105
577.9000 0.0105
579.6000 0.0105
581.1000 0.0106
582.9000 0.0106
585.7000 0.0106
586.8000 0.0107
588.6000 0.0107
589.2000 0.0107
591.8000 0.0108
593.6000 0.0108
595.2000 0.0108
595.2000 0.0109
596.3000 0.0109
602.9000 0.0109
604.8000 0.0110
606.0000 0.0110
606.9000 0.0110
607.4000 0.0111
607.5000 0.0111
609.4000 0.0111
609.8000 0.0112
609.9000 0.0112
612.8000 0.0113
612.9000 0.0113
614.8000 0.0113
616.7000 0.0114
618.3000 0.0114
619.2000 0.0114
624.6000 0.0115
624.7000 0.0115
624.8000 0.0115
624.8000 0.0116
626.0000 0.0116
629.7000 0.0116
630.0000 0.0117
632.8000 0.0117
633.1000 0.0117
633.6000 0.0118
635.9000 0.0118
637.2000 0.0118
640.3000 0.0119
641.6000 0.0119
643.7000 0.0119
644.0000 0.0120
644.6000 0.0120
647.5000 0.0120
649.1000 0.0121
649.2000 0.0121
649.5000 0.0122
651.4000 0.0122
654.2000 0.0122
660.0000 0.0123
664.1000 0.0123
664.2000 0.0123
666.4000 0.0124
666.4000 0.0124
667.1000 0.0124
668.4000 0.0125
669.3000 0.0125
669.6000 0.0125
671.0000 0.0126
671.7000 0.0126
672.6000 0.0126
676.1000 0.0127
677.0000 0.0127
687.0000 0.0127
