/home/service/the-one-normal/reports/freiburg1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:2_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'EpidemicRouter', 'Group.bufferSize': '1000G', 'Group.msgTtl': '400', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '39600', 'Events1.interval': '1', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.9', 'ProphetV2Router.gamma': '0.999885791', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '2'}
['./one.sh', '-b', '1', 'freiburg1True_settings.txt']
Percent: 1/144
Run 1/1
23 in line defined by file data/freiburg1True/1_schedule.csv
24 in line defined by file data/freiburg1True/2_schedule.csv
44 in line defined by file data/freiburg1True/3_schedule.csv
15 in line defined by file data/freiburg1True/4_schedule.csv
11 in line defined by file data/freiburg1True/5_schedule.csv
Running simulation 'freiburg1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:2'
60.0 2503: 41.71 1/s
120.0 3089: 9.77 1/s
180.0 3619: 8.82 1/s
240.0 4074: 7.58 1/s
300.0 4394: 5.34 1/s
360.1 4697: 5.04 1/s
421.0 4893: 3.23 1/s
481.1 4945: 0.86 1/s
541.1 5225: 4.67 1/s
601.1 5517: 4.87 1/s
661.1 5813: 4.93 1/s
721.1 6098: 4.74 1/s
781.1 6393: 4.92 1/s
841.1 6685: 4.87 1/s
901.1 6970: 4.75 1/s
961.1 7256: 4.76 1/s
1021.1 7540: 4.73 1/s
1081.1 7821: 4.69 1/s
1141.2 8103: 4.69 1/s
1201.2 8381: 4.64 1/s
1261.2 8656: 4.59 1/s
1321.2 8928: 4.52 1/s
1381.2 9208: 4.68 1/s
1441.2 9480: 4.53 1/s
1501.2 9751: 4.51 1/s
1561.2 10014: 4.38 1/s
1621.2 10276: 4.37 1/s
1681.2 10531: 4.25 1/s
1741.3 10798: 4.46 1/s
1801.3 11049: 4.18 1/s
1861.3 11298: 4.14 1/s
1921.3 11542: 4.07 1/s
1981.3 11789: 4.12 1/s
2041.3 12035: 4.09 1/s
2101.3 12279: 4.07 1/s
2161.3 12517: 3.98 1/s
2221.3 12759: 4.02 1/s
2281.3 12994: 3.91 1/s
2341.3 13227: 3.89 1/s
2401.4 13461: 3.90 1/s
2461.4 13697: 3.94 1/s
2521.4 13938: 4.00 1/s
2581.4 14172: 3.91 1/s
2641.4 14402: 3.83 1/s
2701.4 14632: 3.84 1/s
2761.4 14867: 3.91 1/s
2821.4 15090: 3.72 1/s
2881.4 15319: 3.82 1/s
2941.4 15547: 3.80 1/s
3001.4 15768: 3.68 1/s
3061.4 15983: 3.59 1/s
3121.4 16200: 3.61 1/s
3181.5 16421: 3.68 1/s
3241.5 16639: 3.63 1/s
3301.5 16857: 3.64 1/s
3361.5 17071: 3.57 1/s
3421.6 17288: 3.62 1/s
3481.6 17500: 3.53 1/s
3541.6 17719: 3.65 1/s
3601.6 17989: 4.50 1/s
3661.6 18257: 4.46 1/s
3721.7 18435: 2.96 1/s
3781.7 18605: 2.83 1/s
3841.7 18787: 3.03 1/s
3901.7 19001: 3.57 1/s
3961.8 19196: 3.25 1/s
4021.8 19330: 2.23 1/s
4081.8 19460: 2.17 1/s
4141.8 19583: 2.04 1/s
4201.8 19726: 2.38 1/s
4261.9 19896: 2.83 1/s
4321.9 20079: 3.06 1/s
4381.9 20221: 2.36 1/s
4442.0 20320: 1.64 1/s
4502.0 20412: 1.54 1/s
4562.0 20504: 1.52 1/s
4622.1 20599: 1.60 1/s
4682.1 20730: 2.18 1/s
4742.1 20847: 1.95 1/s
4802.1 21006: 2.64 1/s
4862.2 21159: 2.55 1/s
4922.2 21241: 1.37 1/s
4982.3 21312: 1.19 1/s
5042.3 21378: 1.08 1/s
5102.3 21464: 1.43 1/s
5162.3 21566: 1.70 1/s
5222.3 21676: 1.83 1/s
5282.4 21778: 1.71 1/s
5342.4 21898: 1.99 1/s
5402.5 22072: 2.89 1/s
5462.5 22179: 1.79 1/s
5522.6 22227: 0.80 1/s
5582.7 22276: 0.82 1/s
5642.7 22346: 1.16 1/s
5702.7 22411: 1.08 1/s
5762.7 22479: 1.13 1/s
5822.8 22561: 1.37 1/s
5882.8 22652: 1.51 1/s
5942.8 22745: 1.55 1/s
6002.9 22834: 1.48 1/s
6062.9 22934: 1.67 1/s
6122.9 23007: 1.21 1/s
6182.9 23062: 0.92 1/s
6243.0 23110: 0.79 1/s
6303.1 23169: 1.00 1/s
6363.1 23221: 0.86 1/s
6423.1 23274: 0.88 1/s
6483.2 23316: 0.70 1/s
6543.2 23382: 1.09 1/s
6603.3 23450: 1.13 1/s
6663.3 23533: 1.39 1/s
6723.3 23609: 1.27 1/s
6783.4 23677: 1.13 1/s
6843.4 23742: 1.08 1/s
6903.4 23812: 1.16 1/s
6963.5 23852: 0.66 1/s
7023.5 23900: 0.81 1/s
7083.6 23958: 0.96 1/s
7143.7 24020: 1.04 1/s
7203.8 24069: 0.81 1/s
7263.9 24118: 0.82 1/s
7324.0 24164: 0.77 1/s
7384.1 24230: 1.09 1/s
7444.1 24312: 1.36 1/s
7504.2 24379: 1.13 1/s
7564.2 24425: 0.76 1/s
7624.3 24458: 0.55 1/s
7684.4 24504: 0.78 1/s
7744.4 24565: 1.01 1/s
7804.5 24629: 1.06 1/s
7864.5 24705: 1.27 1/s
7924.6 24761: 0.93 1/s
7984.7 24793: 0.54 1/s
8044.8 24825: 0.52 1/s
8104.9 24866: 0.69 1/s
8164.9 24915: 0.82 1/s
8225.1 24964: 0.80 1/s
8285.2 25008: 0.74 1/s
8345.3 25063: 0.91 1/s
8405.4 25130: 1.12 1/s
8465.5 25170: 0.66 1/s
8525.6 25210: 0.67 1/s
8585.7 25261: 0.85 1/s
8645.7 25316: 0.92 1/s
8705.7 25370: 0.90 1/s
8765.7 25428: 0.97 1/s
8825.8 25476: 0.79 1/s
8886.0 25519: 0.72 1/s
8946.1 25561: 0.70 1/s
9006.1 25609: 0.80 1/s
9066.2 25637: 0.47 1/s
9126.2 25686: 0.80 1/s
9186.4 25743: 0.96 1/s
9246.4 25787: 0.72 1/s
9306.5 25825: 0.63 1/s
9366.5 25883: 0.96 1/s
9426.5 25916: 0.55 1/s
9486.6 25962: 0.77 1/s
9546.6 26020: 0.96 1/s
9606.8 26065: 0.75 1/s
9666.9 26114: 0.81 1/s
9727.0 26168: 0.90 1/s
9787.1 26219: 0.85 1/s
9847.1 26261: 0.70 1/s
9907.1 26327: 1.10 1/s
9967.3 26368: 0.67 1/s
10027.4 26418: 0.84 1/s
10087.4 26447: 0.48 1/s
10147.7 26480: 0.55 1/s
10207.9 26535: 0.91 1/s
10268.0 26570: 0.58 1/s
10328.1 26600: 0.51 1/s
10388.1 26651: 0.85 1/s
10448.2 26709: 0.96 1/s
10508.2 26754: 0.75 1/s
10568.3 26788: 0.56 1/s
10628.4 26826: 0.64 1/s
10688.4 26863: 0.61 1/s
10748.5 26906: 0.72 1/s
10808.6 26941: 0.57 1/s
10868.8 26970: 0.48 1/s
10928.9 27009: 0.66 1/s
