/home/service/the-one-normal/reports/freiburg1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:2_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'ProphetV2Router', 'Group.bufferSize': '1000G', 'Group.msgTtl': '800', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '39600', 'Events1.interval': '1', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.6', 'ProphetV2Router.gamma': '1.0', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '2'}
['./one.sh', '-b', '1', 'freiburg1True_settings.txt']
Percent: 1/144
Run 1/1
23 in line defined by file data/freiburg1True/1_schedule.csv
24 in line defined by file data/freiburg1True/2_schedule.csv
44 in line defined by file data/freiburg1True/3_schedule.csv
15 in line defined by file data/freiburg1True/4_schedule.csv
11 in line defined by file data/freiburg1True/5_schedule.csv
Running simulation 'freiburg1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:2'
60.0 3479: 57.99 1/s
120.0 4982: 25.05 1/s
180.0 6358: 22.92 1/s
240.0 7540: 19.71 1/s
300.0 8665: 18.74 1/s
360.0 9706: 17.35 1/s
420.0 10737: 17.19 1/s
480.0 11762: 17.07 1/s
540.0 12762: 16.67 1/s
600.0 13693: 15.52 1/s
660.1 14504: 13.51 1/s
720.1 14956: 7.52 1/s
780.1 15199: 4.05 1/s
840.1 16053: 14.24 1/s
900.1 16908: 14.24 1/s
960.1 17662: 12.57 1/s
1020.1 18285: 10.38 1/s
1080.1 18796: 8.51 1/s
1140.2 19216: 6.99 1/s
1200.2 19587: 6.19 1/s
1260.2 19922: 5.58 1/s
1320.2 20214: 4.86 1/s
1380.2 20473: 4.32 1/s
1440.2 20702: 3.81 1/s
1500.3 20914: 3.53 1/s
1560.3 21095: 3.01 1/s
1620.3 21262: 2.79 1/s
1680.3 21408: 2.42 1/s
1740.3 21577: 2.81 1/s
1800.4 21751: 2.90 1/s
1860.4 21919: 2.81 1/s
1920.4 22066: 2.44 1/s
1980.4 22191: 2.09 1/s
2040.4 22311: 2.00 1/s
2100.5 22449: 2.30 1/s
2160.5 22576: 2.11 1/s
2220.6 22692: 1.94 1/s
2280.6 22812: 1.99 1/s
2340.6 22920: 1.81 1/s
2400.6 23029: 1.82 1/s
2460.7 23128: 1.64 1/s
2520.7 23233: 1.75 1/s
2580.7 23338: 1.76 1/s
2640.8 23454: 1.93 1/s
2700.8 23567: 1.87 1/s
2760.8 23668: 1.69 1/s
2820.9 23773: 1.74 1/s
2880.9 23867: 1.57 1/s
2941.0 23953: 1.43 1/s
3001.0 24037: 1.40 1/s
3061.0 24132: 1.58 1/s
3121.1 24221: 1.48 1/s
3181.2 24304: 1.38 1/s
3241.2 24393: 1.49 1/s
3301.3 24468: 1.24 1/s
3361.3 24545: 1.30 1/s
3421.3 24615: 1.16 1/s
3481.4 24692: 1.29 1/s
3541.4 24767: 1.24 1/s
3601.4 24823: 0.94 1/s
3661.5 24889: 1.09 1/s
3721.5 24956: 1.12 1/s
3781.5 25019: 1.05 1/s
3841.6 25091: 1.19 1/s
3901.6 25167: 1.27 1/s
3961.7 25219: 0.86 1/s
4021.8 25277: 0.97 1/s
4081.8 25337: 1.01 1/s
4141.9 25399: 1.03 1/s
4201.9 25463: 1.07 1/s
4262.0 25519: 0.94 1/s
4322.0 25570: 0.85 1/s
4382.0 25625: 0.91 1/s
4442.2 25681: 0.93 1/s
4502.2 25736: 0.92 1/s
4562.2 25798: 1.03 1/s
4622.2 25858: 0.99 1/s
4682.3 25917: 0.99 1/s
4742.3 25965: 0.79 1/s
4802.3 26022: 0.96 1/s
4862.4 26076: 0.89 1/s
4922.5 26123: 0.78 1/s
4982.6 26175: 0.86 1/s
5042.7 26232: 0.95 1/s
5102.8 26281: 0.82 1/s
5162.9 26330: 0.82 1/s
5223.1 26383: 0.88 1/s
5283.2 26428: 0.75 1/s
5343.2 26475: 0.78 1/s
5403.3 26526: 0.85 1/s
5463.4 26573: 0.78 1/s
5523.4 26615: 0.70 1/s
5583.4 26658: 0.72 1/s
5643.5 26711: 0.87 1/s
5703.6 26760: 0.82 1/s
5763.6 26806: 0.76 1/s
5823.6 26859: 0.88 1/s
5883.7 26907: 0.80 1/s
5943.7 26960: 0.89 1/s
6003.7 27010: 0.82 1/s
6063.8 27057: 0.79 1/s
6123.9 27099: 0.70 1/s
6184.1 27141: 0.70 1/s
6244.2 27183: 0.70 1/s
6304.3 27219: 0.60 1/s
6364.5 27260: 0.68 1/s
6424.5 27306: 0.76 1/s
6484.5 27350: 0.74 1/s
6544.6 27388: 0.63 1/s
6604.7 27430: 0.70 1/s
6664.7 27473: 0.71 1/s
6724.8 27506: 0.55 1/s
6784.8 27545: 0.64 1/s
6844.8 27588: 0.72 1/s
6904.8 27628: 0.66 1/s
6965.0 27670: 0.71 1/s
7025.0 27707: 0.61 1/s
7085.1 27740: 0.55 1/s
7145.2 27777: 0.61 1/s
7205.5 27807: 0.50 1/s
7265.7 27842: 0.58 1/s
7325.8 27871: 0.48 1/s
7385.9 27908: 0.63 1/s
7446.0 27949: 0.67 1/s
7506.0 27981: 0.53 1/s
7566.2 28024: 0.72 1/s
7626.2 28061: 0.62 1/s
7686.3 28093: 0.54 1/s
7746.4 28129: 0.59 1/s
7806.5 28161: 0.53 1/s
7866.5 28205: 0.74 1/s
7926.6 28237: 0.53 1/s
7986.7 28268: 0.52 1/s
8046.8 28298: 0.50 1/s
8107.0 28332: 0.55 1/s
8167.0 28369: 0.62 1/s
8227.1 28396: 0.44 1/s
8287.1 28429: 0.56 1/s
8347.4 28459: 0.49 1/s
8407.5 28494: 0.58 1/s
8467.6 28525: 0.52 1/s
8527.8 28562: 0.61 1/s
8588.0 28591: 0.48 1/s
8648.2 28622: 0.52 1/s
8708.3 28649: 0.44 1/s
8768.6 28680: 0.51 1/s
8828.6 28710: 0.50 1/s
8889.0 28744: 0.57 1/s
8949.1 28772: 0.47 1/s
9009.3 28807: 0.58 1/s
9069.4 28838: 0.51 1/s
9129.7 28864: 0.44 1/s
9189.7 28888: 0.39 1/s
9249.8 28924: 0.60 1/s
9309.9 28955: 0.51 1/s
9370.0 28988: 0.55 1/s
9430.0 29023: 0.58 1/s
9490.2 29054: 0.53 1/s
9550.3 29088: 0.56 1/s
9610.4 29117: 0.48 1/s
9670.5 29155: 0.64 1/s
9730.7 29186: 0.51 1/s
9790.7 29221: 0.58 1/s
9850.7 29245: 0.40 1/s
9910.8 29279: 0.57 1/s
9970.8 29304: 0.42 1/s
10030.9 29343: 0.64 1/s
10090.9 29371: 0.46 1/s
10151.0 29404: 0.55 1/s
10211.1 29433: 0.49 1/s
10271.2 29466: 0.53 1/s
10331.2 29492: 0.44 1/s
10391.3 29528: 0.61 1/s
10451.4 29558: 0.50 1/s
10511.5 29590: 0.53 1/s
10571.7 29623: 0.56 1/s
10632.1 29650: 0.45 1/s
10692.2 29680: 0.50 1/s
10752.3 29710: 0.50 1/s
10812.4 29741: 0.51 1/s
10872.5 29774: 0.56 1/s
10932.6 29805: 0.51 1/s
