# messageDelay  cumulativeProbability
0.2000 0.0002
0.2000 0.0003
0.2000 0.0005
0.2000 0.0007
0.2000 0.0009
0.2000 0.0010
0.2000 0.0012
0.2000 0.0014
0.2000 0.0016
0.2000 0.0017
0.2000 0.0019
0.2000 0.0021
0.2000 0.0023
0.2000 0.0024
0.2000 0.0026
0.2000 0.0028
0.2000 0.0030
0.2000 0.0031
0.2000 0.0033
0.2000 0.0035
0.2000 0.0036
0.2000 0.0038
0.2000 0.0040
0.2000 0.0042
0.2000 0.0043
0.2000 0.0045
0.2000 0.0047
0.2000 0.0049
0.2000 0.0050
0.2000 0.0052
0.2000 0.0054
0.2000 0.0056
35.6000 0.0057
42.7000 0.0059
45.0000 0.0061
47.3000 0.0063
64.5000 0.0064
66.9000 0.0066
68.8000 0.0068
74.1000 0.0069
80.1000 0.0071
87.1000 0.0073
87.9000 0.0075
91.8000 0.0076
103.0000 0.0078
104.1000 0.0080
105.9000 0.0082
107.5000 0.0083
107.7000 0.0085
112.6000 0.0087
116.8000 0.0089
122.0000 0.0090
125.6000 0.0092
126.3000 0.0094
128.8000 0.0095
129.2000 0.0097
132.5000 0.0099
133.3000 0.0101
135.1000 0.0102
137.9000 0.0104
141.1000 0.0106
147.6000 0.0108
147.9000 0.0109
154.5000 0.0111
155.8000 0.0113
164.0000 0.0115
164.1000 0.0116
165.4000 0.0118
166.2000 0.0120
166.7000 0.0122
168.0000 0.0123
173.0000 0.0125
173.7000 0.0127
177.8000 0.0128
180.6000 0.0130
194.2000 0.0132
194.7000 0.0134
194.8000 0.0135
195.7000 0.0137
199.7000 0.0139
199.8000 0.0141
203.8000 0.0142
204.0000 0.0144
204.1000 0.0146
207.0000 0.0148
209.9000 0.0149
210.2000 0.0151
211.0000 0.0153
213.6000 0.0155
213.8000 0.0156
221.1000 0.0158
223.0000 0.0160
223.3000 0.0161
227.0000 0.0163
228.1000 0.0165
231.9000 0.0167
232.1000 0.0168
236.9000 0.0170
239.2000 0.0172
244.0000 0.0174
244.2000 0.0175
244.4000 0.0177
244.7000 0.0179
245.5000 0.0181
246.0000 0.0182
248.3000 0.0184
248.9000 0.0186
252.5000 0.0187
255.4000 0.0189
255.5000 0.0191
256.2000 0.0193
260.5000 0.0194
261.3000 0.0196
261.6000 0.0198
263.9000 0.0200
264.4000 0.0201
266.0000 0.0203
271.6000 0.0205
272.2000 0.0207
272.8000 0.0208
273.4000 0.0210
279.0000 0.0212
279.1000 0.0214
279.7000 0.0215
284.9000 0.0217
287.6000 0.0219
287.8000 0.0220
288.6000 0.0222
289.4000 0.0224
291.6000 0.0226
293.9000 0.0227
296.4000 0.0229
296.8000 0.0231
299.4000 0.0233
300.3000 0.0234
300.8000 0.0236
302.6000 0.0238
310.2000 0.0240
310.4000 0.0241
313.0000 0.0243
314.0000 0.0245
315.3000 0.0247
316.3000 0.0248
319.6000 0.0250
326.8000 0.0252
327.0000 0.0253
329.5000 0.0255
329.7000 0.0257
331.0000 0.0259
332.6000 0.0260
332.7000 0.0262
334.3000 0.0264
335.2000 0.0266
335.7000 0.0267
335.9000 0.0269
336.4000 0.0271
338.4000 0.0273
339.5000 0.0274
340.1000 0.0276
341.8000 0.0278
341.9000 0.0280
342.0000 0.0281
342.0000 0.0283
342.2000 0.0285
343.0000 0.0286
344.9000 0.0288
345.1000 0.0290
346.2000 0.0292
347.1000 0.0293
347.8000 0.0295
349.8000 0.0297
356.1000 0.0299
356.8000 0.0300
357.0000 0.0302
358.5000 0.0304
359.4000 0.0306
360.0000 0.0307
362.3000 0.0309
363.5000 0.0311
363.8000 0.0312
366.7000 0.0314
366.9000 0.0316
366.9000 0.0318
368.0000 0.0319
368.2000 0.0321
369.1000 0.0323
370.6000 0.0325
371.8000 0.0326
373.7000 0.0328
374.4000 0.0330
375.1000 0.0332
376.4000 0.0333
379.2000 0.0335
379.9000 0.0337
380.1000 0.0339
382.2000 0.0340
383.1000 0.0342
389.0000 0.0344
394.3000 0.0345
394.4000 0.0347
396.1000 0.0349
396.2000 0.0351
397.3000 0.0352
398.1000 0.0354
400.1000 0.0356
400.6000 0.0358
402.0000 0.0359
402.2000 0.0361
402.4000 0.0363
404.1000 0.0365
404.2000 0.0366
404.5000 0.0368
405.5000 0.0370
406.3000 0.0372
407.7000 0.0373
407.9000 0.0375
408.1000 0.0377
408.7000 0.0378
408.9000 0.0380
409.0000 0.0382
409.1000 0.0384
409.4000 0.0385
411.2000 0.0387
413.1000 0.0389
414.5000 0.0391
415.0000 0.0392
421.2000 0.0394
421.4000 0.0396
421.7000 0.0398
422.0000 0.0399
426.3000 0.0401
426.6000 0.0403
426.7000 0.0405
427.1000 0.0406
427.7000 0.0408
428.7000 0.0410
429.8000 0.0411
429.9000 0.0413
431.1000 0.0415
432.1000 0.0417
432.2000 0.0418
435.8000 0.0420
436.1000 0.0422
440.7000 0.0424
442.2000 0.0425
443.4000 0.0427
444.0000 0.0429
445.7000 0.0431
447.4000 0.0432
447.6000 0.0434
448.0000 0.0436
454.7000 0.0437
457.7000 0.0439
459.0000 0.0441
461.4000 0.0443
462.0000 0.0444
463.0000 0.0446
463.8000 0.0448
464.3000 0.0450
465.5000 0.0451
465.9000 0.0453
466.5000 0.0455
468.4000 0.0457
468.8000 0.0458
468.8000 0.0460
470.2000 0.0462
473.7000 0.0464
474.9000 0.0465
475.0000 0.0467
475.2000 0.0469
476.4000 0.0470
476.7000 0.0472
477.5000 0.0474
478.7000 0.0476
480.1000 0.0477
480.2000 0.0479
480.8000 0.0481
483.1000 0.0483
484.1000 0.0484
486.4000 0.0486
488.4000 0.0488
491.0000 0.0490
492.2000 0.0491
494.0000 0.0493
496.0000 0.0495
496.3000 0.0497
496.5000 0.0498
496.7000 0.0500
497.0000 0.0502
498.5000 0.0503
498.6000 0.0505
499.7000 0.0507
500.4000 0.0509
500.7000 0.0510
503.0000 0.0512
504.8000 0.0514
505.2000 0.0516
507.8000 0.0517
509.3000 0.0519
510.7000 0.0521
512.2000 0.0523
515.8000 0.0524
516.8000 0.0526
516.8000 0.0528
517.0000 0.0530
519.5000 0.0531
521.6000 0.0533
523.6000 0.0535
523.8000 0.0536
527.7000 0.0538
527.7000 0.0540
529.4000 0.0542
530.8000 0.0543
531.5000 0.0545
534.9000 0.0547
535.6000 0.0549
536.4000 0.0550
537.4000 0.0552
538.6000 0.0554
538.7000 0.0556
539.8000 0.0557
541.0000 0.0559
541.1000 0.0561
541.1000 0.0562
542.3000 0.0564
544.1000 0.0566
545.5000 0.0568
546.1000 0.0569
549.1000 0.0571
550.2000 0.0573
556.3000 0.0575
557.9000 0.0576
558.2000 0.0578
559.2000 0.0580
559.7000 0.0582
560.4000 0.0583
560.6000 0.0585
562.0000 0.0587
566.6000 0.0589
567.8000 0.0590
570.3000 0.0592
573.1000 0.0594
574.3000 0.0595
574.4000 0.0597
574.5000 0.0599
577.5000 0.0601
578.3000 0.0602
578.6000 0.0604
579.1000 0.0606
580.0000 0.0608
581.2000 0.0609
582.1000 0.0611
582.1000 0.0613
583.3000 0.0615
588.3000 0.0616
588.5000 0.0618
588.7000 0.0620
588.9000 0.0622
589.4000 0.0623
590.2000 0.0625
593.4000 0.0627
594.5000 0.0628
594.9000 0.0630
595.1000 0.0632
596.1000 0.0634
596.3000 0.0635
598.7000 0.0637
600.0000 0.0639
600.4000 0.0641
601.3000 0.0642
603.1000 0.0644
605.9000 0.0646
608.7000 0.0648
611.5000 0.0649
613.7000 0.0651
614.0000 0.0653
615.2000 0.0655
616.5000 0.0656
617.6000 0.0658
619.2000 0.0660
619.2000 0.0661
621.2000 0.0663
623.1000 0.0665
623.3000 0.0667
624.2000 0.0668
625.1000 0.0670
627.1000 0.0672
628.4000 0.0674
628.4000 0.0675
629.0000 0.0677
630.1000 0.0679
631.1000 0.0681
631.8000 0.0682
632.3000 0.0684
634.1000 0.0686
635.0000 0.0687
