# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
350.9000 M299 5000000 0 51.9000 S51 S0 399 N S51
405.1000 M2 5000000 0 403.1000 S78 S15 393 N S78
413.1000 M17 5000000 0 396.1000 S6 S68 393 N S6
467.3000 M59 5000000 0 408.3000 S26 S65 393 N S26
518.0000 M344 5000000 0 174.0000 S70 S35 397 N S70
536.4000 M331 5000000 0 205.4000 S35 S16 396 N S35
614.0000 M613 5000000 0 1.0000 S27 S14 399 N S27
648.6000 M188 5000000 0 460.6000 S45 S46 392 N S45
651.9000 M228 5000000 0 423.9000 S7 S4 392 N S7
653.3000 M172 5000000 0 481.3000 S18 S74 391 N S18
657.9000 M193 5000000 0 464.9000 S64 S31 392 N S64
661.7000 M515 5000000 0 146.7000 S6 S69 397 N S6
695.8000 M393 5000000 0 302.8000 S17 S66 394 N S17
700.7000 M382 5000000 0 318.7000 S40 S79 394 N S40
702.2000 M20 5000000 0 682.2000 S12 S87 388 N S12
761.5000 M366 5000000 0 395.5000 S69 S27 393 N S69
762.7000 M84 5000000 0 678.7000 S73 S86 388 N S73
766.8000 M282 5000000 0 484.8000 S7 S42 391 N S7
772.1000 M102 5000000 0 670.1000 S36 S54 388 N S36
826.2000 M14 5000000 0 812.2000 S51 S28 386 N S51
827.5000 M358 5000000 0 469.5000 S70 S63 392 N S70
832.3000 M477 5000000 0 355.3000 S37 S32 394 N S37
881.4000 M48 5000000 0 833.4000 S16 S33 386 N S16
883.6000 M15 5000000 0 868.6000 S59 S84 385 N S59
889.7000 M162 5000000 0 727.7000 S36 S76 387 N S36
895.7000 M390 5000000 0 505.7000 S46 S50 391 N S46
941.3000 M469 5000000 0 472.3000 S60 S10 392 N S60
950.6000 M493 5000000 0 457.6000 S63 S57 392 N S63
951.6000 M101 5000000 0 850.6000 S0 S57 385 N S0
954.2000 M307 5000000 0 647.2000 S68 S5 389 N S68
955.2000 M76 5000000 0 879.2000 S81 S14 385 N S81
956.2000 M170 5000000 0 786.2000 S24 S14 386 N S24
972.6000 M589 5000000 0 383.6000 S54 S19 393 N S54
973.6000 M68 5000000 0 905.6000 S54 S19 384 N S54
998.0000 M324 5000000 0 674.0000 S87 S62 388 N S87
1001.5000 M318 5000000 0 683.5000 S33 S63 388 N S33
1002.6000 M446 5000000 0 556.6000 S74 S59 390 N S74
1012.3000 M452 5000000 0 560.3000 S41 S2 390 N S41
1014.4000 M603 5000000 0 411.4000 S39 S22 393 N S39
1015.4000 M480 5000000 0 535.4000 S40 S22 391 N S40
1016.4000 M371 5000000 0 645.4000 S27 S22 389 N S27
1017.4000 M46 5000000 0 971.4000 S14 S22 383 N S14
1058.7000 M375 5000000 0 683.7000 S73 S88 388 N S73
1067.5000 M778 5000000 0 289.5000 S79 S69 395 N S79
1081.0000 M1080 5000000 0 1.0000 S51 S70 399 N S51
1109.7000 M622 5000000 0 487.7000 S63 S18 391 N S63
1110.7000 M32 5000000 0 1078.7000 S45 S18 382 N S45
1123.3000 M500 5000000 0 623.3000 S60 S38 389 N S60
1124.3000 M35 5000000 0 1089.3000 S25 S38 381 N S25
1127.1000 M207 5000000 0 920.1000 S56 S87 384 N S56
1130.0000 M118 5000000 0 1012.0000 S27 S43 383 N S27
1131.0000 M385 5000000 0 746.0000 S12 S43 387 N S12
1132.0000 M325 5000000 0 807.0000 S29 S43 386 N S29
1133.0000 M585 5000000 0 548.0000 S79 S43 390 N S79
1134.0000 M9 5000000 0 1125.0000 S40 S43 381 N S40
1135.0000 M341 5000000 0 794.0000 S79 S43 386 N S79
1135.6000 M975 5000000 0 160.6000 S6 S70 397 N S6
1178.2000 M200 5000000 0 978.2000 S61 S9 383 N S61
1179.2000 M688 5000000 0 491.2000 S79 S9 391 N S79
1189.5000 M657 5000000 0 532.5000 S46 S55 391 N S46
1190.5000 M660 5000000 0 530.5000 S50 S55 391 N S50
1190.6000 M586 5000000 0 604.6000 S82 S6 389 N S82
1191.6000 M254 5000000 0 937.6000 S9 S6 384 N S9
1192.3000 M496 5000000 0 696.3000 S2 S18 388 N S2
1192.6000 M108 5000000 0 1084.6000 S83 S6 381 N S83
1193.3000 M24 5000000 0 1169.3000 S74 S18 380 N S74
1193.6000 M533 5000000 0 660.6000 S22 S6 388 N S22
1194.9000 M430 5000000 0 764.9000 S81 S60 387 N S81
1195.9000 M111 5000000 0 1084.9000 S83 S60 381 N S83
1196.9000 M658 5000000 0 538.9000 S69 S60 391 N S69
1236.0000 M654 5000000 0 582.0000 S87 S16 390 N S87
1249.6000 M99 5000000 0 1150.6000 S87 S67 380 N S87
