# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
656.5000 M8 5000000 0 616.5000 S44 S5 389 N S44
899.8000 M116 5000000 0 319.8000 S58 S55 394 N S58
1013.1000 M40 5000000 0 813.1000 S58 S13 386 N S58
1201.3000 M109 5000000 0 656.3000 S8 S3 389 N S8
1281.3000 M44 5000000 0 1061.3000 S47 S13 382 N S47
1316.4000 M26 5000000 0 1186.4000 S53 S33 380 N S53
1395.0000 M129 5000000 0 750.0000 S4 S22 387 N S4
1432.3000 M37 5000000 0 1247.3000 S1 S27 379 N S1
1453.8000 M190 5000000 0 503.8000 S17 S58 391 N S17
1496.4000 M49 5000000 0 1251.4000 S26 S30 379 N S26
1556.8000 M175 5000000 0 681.8000 S22 S47 388 N S22
1561.8000 M14 5000000 0 1491.8000 S53 S47 375 N S53
1570.5000 M106 5000000 0 1040.5000 S5 S3 382 N S5
1619.2000 M83 5000000 0 1204.2000 S56 S57 379 N S56
1632.5000 M185 5000000 0 707.5000 S33 S21 388 N S33
1672.3000 M93 5000000 0 1207.3000 S53 S4 379 N S53
1673.9000 M16 5000000 0 1593.9000 S30 S38 373 N S30
1674.1000 M2 5000000 0 1664.1000 S31 S18 372 N S31
1677.3000 M79 5000000 0 1282.3000 S56 S4 378 N S56
1679.1000 M34 5000000 0 1509.1000 S41 S18 374 N S41
1692.2000 M139 5000000 0 997.2000 S56 S41 383 N S56
1740.3000 M25 5000000 0 1615.3000 S5 S50 373 N S5
1745.3000 M204 5000000 0 725.3000 S21 S50 387 N S21
1751.2000 M197 5000000 0 766.2000 S13 S59 387 N S13
1756.2000 M77 5000000 0 1371.2000 S15 S59 377 N S15
1797.8000 M96 5000000 0 1317.8000 S7 S48 378 N S7
1798.8000 M123 5000000 0 1183.8000 S30 S28 380 N S30
1856.4000 M65 5000000 0 1531.4000 S31 S16 374 N S31
1861.7000 M98 5000000 0 1371.7000 S37 S49 377 N S37
1863.1000 M6 5000000 0 1833.1000 S13 S26 369 N S13
1868.1000 M149 5000000 0 1123.1000 S58 S26 381 N S58
1917.0000 M318 5000000 0 327.0000 S38 S24 394 N S38
1974.7000 M201 5000000 0 969.7000 S33 S20 383 N S33
1998.1000 M223 5000000 0 883.1000 S57 S54 385 N S57
2039.0000 M301 5000000 0 534.0000 S40 S15 391 N S40
2042.1000 M387 5000000 0 107.1000 S20 S60 398 N S20
2043.0000 M143 5000000 0 1328.0000 S1 S25 377 N S1
2117.9000 M202 5000000 0 1107.9000 S52 S8 381 N S52
2122.9000 M35 5000000 0 1947.9000 S37 S8 367 N S37
2158.8000 M9 5000000 0 2113.8000 S55 S43 364 N S55
2163.8000 M58 5000000 0 1873.8000 S32 S43 368 N S32
