# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
405.1000 M2 1000000 0 395.1000 S78 S15 393 N S78
702.1000 M20 1000000 0 602.1000 S12 S87 389 N S12
772.1000 M102 1000000 0 262.1000 S36 S54 395 N S36
826.2000 M14 1000000 0 756.2000 S51 S28 387 N S51
881.3000 M48 1000000 0 641.3000 S16 S33 389 N S16
883.6000 M15 1000000 0 808.6000 S59 S84 386 N S59
955.2000 M76 1000000 0 575.2000 S81 S14 390 N S81
972.6000 M68 1000000 0 632.6000 S54 S19 389 N S54
1014.3000 M46 1000000 0 784.3000 S14 S22 386 N S14
1109.7000 M32 1000000 0 949.7000 S45 S18 384 N S45
1123.2000 M35 1000000 0 948.2000 S25 S38 384 N S25
1130.6000 M118 1000000 0 540.6000 S27 S43 390 N S27
1131.6000 M9 1000000 0 1086.6000 S40 S43 381 N S40
1192.4000 M24 1000000 0 1072.4000 S74 S18 382 N S74
1245.7000 M99 1000000 0 750.7000 S87 S67 387 N S87
1287.3000 M135 1000000 0 612.3000 S43 S4 389 N S43
1288.3000 M66 1000000 0 958.3000 S72 S4 384 N S72
1319.7000 M58 1000000 0 1029.7000 S18 S3 382 N S18
1371.1000 M95 1000000 0 896.1000 S2 S15 385 N S2
1373.6000 M17 1000000 0 1288.6000 S6 S68 378 N S6
1420.1000 M156 1000000 0 640.1000 S16 S45 389 N S16
1421.1000 M139 1000000 0 726.1000 S33 S45 387 N S33
1424.7000 M119 1000000 0 829.7000 S87 S0 386 N S87
1427.3000 M115 1000000 0 852.3000 S42 S83 385 N S42
1474.1000 M71 1000000 0 1119.1000 S48 S47 381 N S48
1476.4000 M55 1000000 0 1201.4000 S68 S45 379 N S68
1498.6000 M81 1000000 0 1093.6000 S63 S51 381 N S63
1531.5000 M166 1000000 0 701.5000 S43 S24 388 N S43
1614.6000 M28 1000000 0 1474.6000 S87 S1 375 N S87
1644.6000 M103 1000000 0 1129.6000 S32 S60 381 N S32
1657.3000 M232 1000000 0 497.3000 S65 S40 391 N S65
1660.7000 M177 1000000 0 775.7000 S80 S1 387 N S80
1662.4000 M179 1000000 0 767.4000 S86 S73 387 N S86
1716.7000 M65 1000000 0 1391.7000 S83 S12 376 N S83
1720.0000 M197 1000000 0 735.0000 S45 S78 387 N S45
1722.0000 M89 1000000 0 1277.0000 S15 S61 378 N S15
1725.9000 M173 1000000 0 860.9000 S49 S79 385 N S49
1790.7000 M109 1000000 0 1245.7000 S64 S70 379 N S64
1843.5000 M190 1000000 0 893.5000 S18 S35 385 N S18
1844.1000 M183 1000000 0 929.1000 S27 S40 384 N S27
1844.5000 M339 1000000 0 149.5000 S16 S35 397 N S16
1845.1000 M96 1000000 0 1365.1000 S22 S40 377 N S22
1896.2000 M120 1000000 0 1296.2000 S80 S30 378 N S80
1897.2000 M60 1000000 0 1597.2000 S21 S30 373 N S21
1917.9000 M182 1000000 0 1007.9000 S2 S25 383 N S2
1918.9000 M248 1000000 0 678.9000 S60 S25 388 N S60
1952.9000 M198 1000000 0 962.9000 S49 S40 383 N S49
1958.5000 M195 1000000 0 983.5000 S34 S51 383 N S34
1959.5000 M238 1000000 0 769.5000 S58 S51 387 N S58
1963.5000 M257 1000000 0 678.5000 S71 S73 388 N S71
1976.1000 M332 1000000 0 316.1000 S6 S70 394 N S6
2021.3000 M104 1000000 0 1501.3000 S7 S12 374 N S7
2026.1000 M52 1000000 0 1766.1000 S84 S23 370 N S84
2026.5000 M72 1000000 0 1666.5000 S8 S79 372 N S8
2030.7000 M299 1000000 0 535.7000 S51 S0 391 N S51
2042.0000 M97 1000000 0 1557.0000 S73 S56 374 N S73
2043.0000 M281 1000000 0 638.0000 S26 S56 389 N S26
2074.6000 M80 1000000 0 1674.6000 S88 S12 372 N S88
2087.9000 M132 1000000 0 1427.9000 S2 S14 376 N S2
2095.1000 M168 1000000 0 1255.1000 S65 S13 379 N S65
2096.1000 M112 1000000 0 1536.1000 S86 S13 374 N S86
2147.2000 M59 1000000 0 1852.2000 S26 S65 369 N S26
2148.8000 M1 1000000 0 2143.8000 S4 S15 364 N S4
2149.8000 M147 1000000 0 1414.8000 S75 S15 376 N S75
2150.6000 M344 1000000 0 430.6000 S70 S35 392 N S70
2150.8000 M38 1000000 0 1960.8000 S47 S15 367 N S47
2151.6000 M107 1000000 0 1616.6000 S27 S35 373 N S27
2152.6000 M155 1000000 0 1377.6000 S30 S35 377 N S30
2153.6000 M51 1000000 0 1898.6000 S9 S35 368 N S9
2156.8000 M98 1000000 0 1666.8000 S87 S36 372 N S87
2192.3000 M3 1000000 0 2177.3000 S71 S6 363 N S71
2193.3000 M343 1000000 0 478.3000 S25 S6 392 N S25
2212.8000 M123 1000000 0 1597.8000 S73 S67 373 N S73
2213.8000 M169 1000000 0 1368.8000 S56 S75 377 N S56
2214.7000 M43 1000000 0 1999.7000 S5 S17 366 N S5
2215.7000 M36 1000000 0 2035.7000 S43 S17 366 N S43
2216.4000 M331 1000000 0 561.4000 S35 S16 390 N S35
2223.9000 M186 1000000 0 1293.9000 S25 S58 378 N S25
2224.9000 M157 1000000 0 1439.9000 S70 S58 376 N S70
2225.9000 M117 1000000 0 1640.9000 S86 S58 372 N S86
2226.9000 M240 1000000 0 1026.9000 S80 S58 382 N S80
2227.9000 M151 1000000 0 1472.9000 S6 S58 375 N S6
2266.7000 M29 1000000 0 2121.7000 S26 S80 364 N S26
2267.5000 M125 1000000 0 1642.5000 S81 S62 372 N S81
2268.5000 M319 1000000 0 673.5000 S61 S62 388 N S61
2322.4000 M163 1000000 0 1507.4000 S14 S66 374 N S14
2323.4000 M393 1000000 0 358.4000 S17 S66 394 N S17
2324.4000 M94 1000000 0 1854.4000 S86 S66 369 N S86
2331.9000 M49 1000000 0 2086.9000 S39 S8 365 N S39
2332.5000 M206 1000000 0 1302.5000 S32 S18 378 N S32
2332.6000 M105 1000000 0 1807.6000 S50 S21 369 N S50
2332.9000 M161 1000000 0 1527.9000 S41 S8 374 N S41
2333.6000 M7 1000000 0 2298.6000 S20 S21 361 N S20
2384.4000 M320 1000000 0 784.4000 S40 S87 386 N S40
2384.8000 M62 1000000 0 2074.8000 S2 S88 365 N S2
2385.4000 M124 1000000 0 1765.4000 S34 S87 370 N S34
2386.4000 M11 1000000 0 2331.4000 S82 S87 361 N S82
2387.4000 M54 1000000 0 2117.4000 S64 S87 364 N S64
