# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
215.2000 M43 1000000 0 0.2000 S3 S1 399 N S3
651.7000 M71 1000000 0 296.7000 S24 S20 395 N S24
760.2000 M152 1000000 0 0.2000 S9 S6 399 N S9
787.3000 M90 1000000 0 337.3000 S26 S12 394 N S26
1008.3000 M100 1000000 0 508.3000 S53 S58 391 N S53
1090.5000 M45 1000000 0 865.5000 S51 S55 385 N S51
1090.9000 M74 1000000 0 720.9000 S22 S58 387 N S22
1133.2000 M73 1000000 0 768.2000 S24 S9 387 N S24
1133.4000 M55 1000000 0 858.4000 S24 S9 385 N S24
1271.4000 M83 1000000 0 856.4000 S56 S57 385 N S56
1310.7000 M40 1000000 0 1110.7000 S58 S13 381 N S58
1310.9000 M203 1000000 0 295.9000 S1 S13 395 N S1
1311.6000 M106 1000000 0 781.6000 S5 S3 386 N S5
1311.8000 M52 1000000 0 1051.8000 S5 S3 382 N S5
1311.9000 M63 1000000 0 996.9000 S14 S6 383 N S14
1312.0000 M109 1000000 0 767.0000 S8 S3 387 N S8
1319.0000 M177 1000000 0 434.0000 S5 S1 392 N S5
1373.2000 M88 1000000 0 933.2000 S34 S2 384 N S34
1375.7000 M154 1000000 0 605.7000 S58 S18 389 N S58
1388.3000 M8 1000000 0 1348.3000 S44 S5 377 N S44
1388.5000 M72 1000000 0 1028.5000 S26 S5 382 N S26
1390.2000 M80 1000000 0 990.2000 S45 S2 383 N S45
1427.5000 M86 1000000 0 997.5000 S49 S59 383 N S49
1427.7000 M10 1000000 0 1377.7000 S3 S59 377 N S3
1448.6000 M127 1000000 0 813.6000 S50 S6 386 N S50
1448.8000 M18 1000000 0 1358.8000 S13 S6 377 N S13
1489.6000 M114 1000000 0 919.6000 S16 S57 384 N S16
1491.6000 M29 1000000 0 1346.6000 S58 S22 377 N S58
1553.4000 M164 1000000 0 733.4000 S11 S60 387 N S11
1565.7000 M76 1000000 0 1185.7000 S25 S14 380 N S25
1614.4000 M17 1000000 0 1529.4000 S44 S19 374 N S44
1614.6000 M192 1000000 0 654.6000 S6 S19 389 N S6
1627.7000 M35 1000000 0 1452.7000 S37 S8 375 N S37
1667.5000 M116 1000000 0 1087.5000 S58 S55 381 N S58
1669.1000 M143 1000000 0 954.1000 S1 S25 384 N S1
1669.3000 M130 1000000 0 1019.3000 S53 S25 383 N S53
1669.3000 M93 1000000 0 1204.3000 S53 S4 379 N S53
1669.5000 M170 1000000 0 819.5000 S3 S25 386 N S3
1687.4000 M115 1000000 0 1112.4000 S17 S11 381 N S17
1735.5000 M184 1000000 0 815.5000 S54 S10 386 N S54
1793.0000 M171 1000000 0 938.0000 S56 S51 384 N S56
1794.0000 M69 1000000 0 1449.0000 S25 S30 375 N S25
1851.6000 M137 1000000 0 1166.6000 S8 S12 380 N S8
1851.8000 M277 1000000 0 466.8000 S59 S12 392 N S59
1852.0000 M89 1000000 0 1407.0000 S18 S12 376 N S18
1852.2000 M47 1000000 0 1617.2000 S59 S12 373 N S59
1865.3000 M298 1000000 0 375.3000 S11 S16 393 N S11
1865.5000 M87 1000000 0 1430.5000 S4 S16 376 N S4
1865.7000 M236 1000000 0 685.7000 S3 S16 388 N S3
1865.9000 M65 1000000 0 1540.9000 S31 S16 374 N S31
1876.5000 M126 1000000 0 1246.5000 S7 S27 379 N S7
1876.7000 M51 1000000 0 1621.7000 S9 S27 372 N S9
1876.9000 M37 1000000 0 1691.9000 S1 S27 371 N S1
1912.2000 M84 1000000 0 1492.2000 S25 S32 375 N S25
1912.4000 M46 1000000 0 1682.4000 S25 S32 371 N S25
1969.9000 M61 1000000 0 1664.9000 S18 S17 372 N S18
1987.8000 M31 1000000 0 1832.8000 S7 S20 369 N S7
1993.3000 M132 1000000 0 1333.3000 S20 S29 377 N S20
1993.5000 M11 1000000 0 1938.5000 S18 S29 367 N S18
1993.7000 M91 1000000 0 1538.7000 S45 S29 374 N S45
1993.9000 M168 1000000 0 1153.9000 S52 S29 380 N S52
2034.2000 M155 1000000 0 1259.2000 S8 S48 379 N S8
2034.4000 M96 1000000 0 1554.4000 S7 S48 374 N S7
2037.3000 M21 1000000 0 1932.3000 S24 S23 367 N S24
2038.2000 M27 1000000 0 1903.2000 S18 S41 368 N S18
2153.1000 M131 1000000 0 1498.1000 S54 S26 375 N S54
2153.3000 M149 1000000 0 1408.3000 S58 S26 376 N S58
2154.0000 M13 1000000 0 2089.0000 S55 S47 365 N S55
2163.9000 M54 1000000 0 1893.9000 S26 S24 368 N S26
2220.1000 M312 1000000 0 660.1000 S29 S36 388 N S29
2220.3000 M157 1000000 0 1435.3000 S29 S36 376 N S29
2226.7000 M85 1000000 0 1801.7000 S4 S28 369 N S4
2226.9000 M117 1000000 0 1641.9000 S59 S28 372 N S59
2227.1000 M219 1000000 0 1132.1000 S9 S28 381 N S9
2273.9000 M103 1000000 0 1758.9000 S54 S45 370 N S54
2273.9000 M346 1000000 0 543.9000 S12 S31 390 N S12
2274.1000 M59 1000000 0 1979.1000 S47 S45 367 N S47
2334.6000 M165 1000000 0 1509.6000 S53 S42 374 N S53
2334.8000 M66 1000000 0 2004.8000 S14 S42 366 N S14
2335.0000 M67 1000000 0 2000.0000 S46 S42 366 N S46
2354.3000 M158 1000000 0 1564.3000 S9 S37 373 N S9
2354.5000 M99 1000000 0 1859.5000 S3 S37 369 N S3
2393.9000 M245 1000000 0 1168.9000 S3 S35 380 N S3
2394.1000 M247 1000000 0 1159.1000 S59 S35 380 N S59
2394.3000 M293 1000000 0 929.3000 S23 S35 384 N S23
2452.7000 M195 1000000 0 1477.7000 S9 S40 375 N S9
2568.3000 M4 1000000 0 2548.3000 S16 S39 357 N S16
2568.5000 M128 1000000 0 1928.5000 S53 S39 367 N S53
2568.7000 M228 1000000 0 1428.7000 S51 S39 376 N S51
2568.9000 M309 1000000 0 1023.9000 S47 S39 382 N S47
2569.1000 M38 1000000 0 2379.1000 S38 S39 360 N S38
2636.9000 M237 1000000 0 1451.9000 S57 S15 375 N S57
2637.1000 M92 1000000 0 2177.1000 S45 S15 363 N S45
2637.3000 M24 1000000 0 2517.3000 S55 S15 358 N S55
2637.5000 M301 1000000 0 1132.5000 S40 S15 381 N S40
2754.5000 M430 1000000 0 604.5000 S15 S0 389 N S15
2754.7000 M221 1000000 0 1649.7000 S2 S0 372 N S2
2754.9000 M36 1000000 0 2574.9000 S57 S0 357 N S57
2755.1000 M390 1000000 0 805.1000 S39 S0 386 N S39
4795.2000 M959 1000000 0 0.2000 S1 S3 399 N S1
6550.2000 M1310 1000000 0 0.2000 S58 S57 399 N S58
8565.2000 M1713 1000000 0 0.2000 S57 S58 399 N S57
10805.2000 M2161 1000000 0 0.2000 S57 S58 399 N S57
11175.2000 M2235 1000000 0 0.2000 S6 S9 399 N S6
15420.2000 M3084 1000000 0 0.2000 S9 S6 399 N S9
15605.2000 M3121 1000000 0 0.2000 S58 S57 399 N S58
16445.2000 M3289 1000000 0 0.2000 S9 S6 399 N S9
16494.9000 M392 1000000 0 14534.9000 S16 S11 157 N S16
16556.6000 M441 1000000 0 14351.6000 S11 S8 160 N S11
16671.9000 M1165 1000000 0 10846.9000 S24 S20 219 N S24
16673.2000 M354 1000000 0 14903.2000 S11 S9 151 N S11
16673.4000 M2699 1000000 0 3178.4000 S8 S9 347 N S8
16673.6000 M3161 1000000 0 868.6000 S8 S9 385 N S8
16673.8000 M547 1000000 0 13938.8000 S11 S9 167 N S11
16790.0000 M1211 1000000 0 10735.0000 S8 S5 221 N S8
16792.8000 M1689 1000000 0 8347.8000 S28 S16 260 N S28
16793.0000 M517 1000000 0 14208.0000 S20 S16 163 N S20
16793.2000 M3271 1000000 0 438.2000 S24 S16 392 N S24
16851.5000 M605 1000000 0 13826.5000 S11 S3 169 N S11
16851.7000 M3172 1000000 0 991.7000 S11 S3 383 N S11
16851.9000 M249 1000000 0 15606.9000 S58 S3 139 N S58
16852.1000 M1586 1000000 0 8922.1000 S6 S3 251 N S6
16859.1000 M2689 1000000 0 3414.1000 S6 S1 343 N S6
16859.3000 M2556 1000000 0 4079.3000 S5 S1 332 N S5
16859.5000 M411 1000000 0 14804.5000 S11 S1 153 N S11
16859.7000 M1050 1000000 0 11609.7000 S8 S1 206 N S8
16924.1000 M574 1000000 0 14054.1000 S4 S59 165 N S4
16924.3000 M2708 1000000 0 3384.3000 S4 S59 343 N S4
16924.5000 M2742 1000000 0 3214.5000 S4 S59 346 N S4
16967.6000 M3254 1000000 0 697.6000 S6 S59 388 N S6
16967.8000 M2285 1000000 0 5542.8000 S8 S59 307 N S8
16968.0000 M133 1000000 0 16303.0000 S56 S59 128 N S56
16968.2000 M3006 1000000 0 1938.2000 S8 S59 367 N S8
16968.4000 M2119 1000000 0 6373.4000 S1 S59 293 N S1
16975.5000 M2108 1000000 0 6435.5000 S16 S11 292 N S16
16975.7000 M1748 1000000 0 8235.7000 S16 S11 262 N S16
16975.9000 M2666 1000000 0 3645.9000 S16 S11 339 N S16
16976.1000 M2336 1000000 0 5296.1000 S24 S11 311 N S24
16976.3000 M1881 1000000 0 7571.3000 S20 S11 273 N S20
16976.5000 M500 1000000 0 14476.5000 S28 S11 158 N S28
