# messageDelay  cumulativeProbability
1.0000 0.0002
1.0000 0.0003
1.0000 0.0005
1.0000 0.0007
1.0000 0.0009
1.0000 0.0010
1.0000 0.0012
1.0000 0.0014
1.0000 0.0016
1.0000 0.0017
1.0000 0.0019
1.0000 0.0021
1.0000 0.0023
1.0000 0.0024
52.1000 0.0026
63.4000 0.0028
75.6000 0.0030
88.2000 0.0031
96.2000 0.0033
98.2000 0.0035
103.2000 0.0036
112.0000 0.0038
122.1000 0.0040
122.2000 0.0042
124.4000 0.0043
125.0000 0.0045
130.8000 0.0047
132.6000 0.0049
135.5000 0.0050
137.4000 0.0052
138.4000 0.0054
147.6000 0.0056
162.8000 0.0057
164.3000 0.0059
164.8000 0.0061
166.7000 0.0063
168.8000 0.0064
171.5000 0.0066
172.5000 0.0068
176.2000 0.0069
179.2000 0.0071
180.0000 0.0073
186.0000 0.0075
188.4000 0.0076
189.3000 0.0078
192.4000 0.0080
193.7000 0.0082
194.0000 0.0083
194.2000 0.0085
197.2000 0.0087
199.6000 0.0089
203.1000 0.0090
204.2000 0.0092
206.7000 0.0094
207.5000 0.0095
208.4000 0.0097
211.9000 0.0099
214.6000 0.0101
215.6000 0.0102
215.7000 0.0104
215.8000 0.0106
216.1000 0.0108
218.6000 0.0109
219.8000 0.0111
221.2000 0.0113
225.6000 0.0115
226.3000 0.0116
229.8000 0.0118
230.3000 0.0120
232.6000 0.0122
232.9000 0.0123
233.9000 0.0125
234.5000 0.0127
234.6000 0.0128
235.3000 0.0130
238.9000 0.0132
239.6000 0.0134
240.7000 0.0135
242.8000 0.0137
244.9000 0.0139
245.9000 0.0141
246.4000 0.0142
248.3000 0.0144
251.6000 0.0146
252.6000 0.0148
253.7000 0.0149
256.3000 0.0151
257.6000 0.0153
260.9000 0.0155
261.9000 0.0156
262.1000 0.0158
263.2000 0.0160
263.5000 0.0161
263.6000 0.0163
263.7000 0.0165
267.1000 0.0167
267.5000 0.0168
273.4000 0.0170
274.1000 0.0172
277.7000 0.0174
277.8000 0.0175
277.9000 0.0177
278.7000 0.0179
281.7000 0.0181
282.6000 0.0182
283.1000 0.0184
286.0000 0.0186
286.5000 0.0187
287.2000 0.0189
287.7000 0.0191
287.8000 0.0193
288.9000 0.0194
290.5000 0.0196
291.0000 0.0198
291.0000 0.0200
291.2000 0.0201
292.8000 0.0203
293.1000 0.0205
295.4000 0.0207
297.5000 0.0208
297.5000 0.0210
298.3000 0.0212
299.0000 0.0214
299.1000 0.0215
306.0000 0.0217
307.2000 0.0219
310.5000 0.0220
311.4000 0.0222
313.8000 0.0224
314.2000 0.0226
318.8000 0.0227
318.9000 0.0229
321.7000 0.0231
323.2000 0.0233
324.7000 0.0234
324.8000 0.0236
325.2000 0.0238
325.3000 0.0240
327.1000 0.0241
327.8000 0.0243
328.9000 0.0245
330.6000 0.0247
332.3000 0.0248
333.8000 0.0250
333.9000 0.0252
334.7000 0.0253
335.0000 0.0255
335.6000 0.0257
337.3000 0.0259
338.1000 0.0260
339.9000 0.0262
346.8000 0.0264
347.8000 0.0266
348.2000 0.0267
350.2000 0.0269
355.3000 0.0271
355.9000 0.0273
360.3000 0.0274
363.3000 0.0276
363.6000 0.0278
366.6000 0.0280
366.7000 0.0281
368.2000 0.0283
368.4000 0.0285
372.7000 0.0286
374.3000 0.0288
375.7000 0.0290
376.1000 0.0292
377.7000 0.0293
378.9000 0.0295
381.4000 0.0297
383.1000 0.0299
384.0000 0.0300
386.6000 0.0302
387.2000 0.0304
388.7000 0.0306
389.3000 0.0307
390.2000 0.0309
392.4000 0.0311
392.7000 0.0312
393.0000 0.0314
396.6000 0.0316
396.6000 0.0318
400.1000 0.0319
400.3000 0.0321
402.8000 0.0323
405.0000 0.0325
407.6000 0.0326
409.4000 0.0328
410.5000 0.0330
411.0000 0.0332
411.9000 0.0333
412.6000 0.0335
416.0000 0.0337
416.0000 0.0339
418.1000 0.0340
418.5000 0.0342
420.7000 0.0344
421.0000 0.0345
421.9000 0.0347
422.7000 0.0349
424.4000 0.0351
425.8000 0.0352
430.4000 0.0354
430.8000 0.0356
430.9000 0.0358
433.6000 0.0359
435.4000 0.0361
436.0000 0.0363
436.7000 0.0365
438.6000 0.0366
438.7000 0.0368
439.9000 0.0370
439.9000 0.0372
440.9000 0.0373
441.0000 0.0375
441.1000 0.0377
442.0000 0.0378
442.9000 0.0380
444.6000 0.0382
449.6000 0.0384
452.1000 0.0385
453.9000 0.0387
457.4000 0.0389
459.6000 0.0391
462.7000 0.0392
462.8000 0.0394
464.0000 0.0396
466.3000 0.0398
468.1000 0.0399
468.4000 0.0401
471.6000 0.0403
473.0000 0.0405
474.1000 0.0406
478.8000 0.0408
480.9000 0.0410
481.7000 0.0411
485.2000 0.0413
485.8000 0.0415
485.8000 0.0417
487.7000 0.0418
488.7000 0.0420
490.1000 0.0422
491.4000 0.0424
492.0000 0.0425
495.0000 0.0427
495.6000 0.0429
497.4000 0.0431
499.7000 0.0432
500.8000 0.0434
501.2000 0.0436
507.0000 0.0437
509.1000 0.0439
509.5000 0.0441
510.4000 0.0443
511.2000 0.0444
512.7000 0.0446
513.1000 0.0448
515.1000 0.0450
520.1000 0.0451
520.1000 0.0453
522.4000 0.0455
522.6000 0.0457
522.6000 0.0458
522.9000 0.0460
524.2000 0.0462
528.6000 0.0464
529.2000 0.0465
532.5000 0.0467
533.7000 0.0469
536.3000 0.0470
537.4000 0.0472
537.6000 0.0474
538.5000 0.0476
538.9000 0.0477
540.0000 0.0479
540.1000 0.0481
542.7000 0.0483
542.9000 0.0484
543.0000 0.0486
544.7000 0.0488
545.6000 0.0490
548.2000 0.0491
548.4000 0.0493
549.3000 0.0495
549.5000 0.0497
550.7000 0.0498
551.5000 0.0500
552.3000 0.0502
555.1000 0.0503
555.9000 0.0505
557.9000 0.0507
564.8000 0.0509
565.2000 0.0510
567.2000 0.0512
567.6000 0.0514
570.2000 0.0516
572.5000 0.0517
574.1000 0.0519
574.1000 0.0521
575.0000 0.0523
575.0000 0.0524
575.4000 0.0526
575.6000 0.0528
576.3000 0.0530
576.8000 0.0531
577.4000 0.0533
579.0000 0.0535
580.1000 0.0536
582.7000 0.0538
583.4000 0.0540
584.6000 0.0542
585.0000 0.0543
587.3000 0.0545
588.4000 0.0547
588.7000 0.0549
588.8000 0.0550
589.5000 0.0552
592.4000 0.0554
593.7000 0.0556
597.6000 0.0557
599.2000 0.0559
600.1000 0.0561
601.3000 0.0562
602.6000 0.0564
602.7000 0.0566
602.8000 0.0568
604.2000 0.0569
605.0000 0.0571
605.3000 0.0573
606.5000 0.0575
606.6000 0.0576
607.5000 0.0578
608.5000 0.0580
609.1000 0.0582
610.3000 0.0583
611.6000 0.0585
612.2000 0.0587
613.2000 0.0589
613.7000 0.0590
615.6000 0.0592
617.4000 0.0594
618.0000 0.0595
618.5000 0.0597
618.6000 0.0599
621.1000 0.0601
622.3000 0.0602
624.2000 0.0604
624.5000 0.0606
624.7000 0.0608
625.5000 0.0609
626.0000 0.0611
626.4000 0.0613
626.8000 0.0615
627.9000 0.0616
628.7000 0.0618
637.9000 0.0620
638.2000 0.0622
639.0000 0.0623
639.1000 0.0625
639.2000 0.0627
639.3000 0.0628
639.3000 0.0630
642.8000 0.0632
643.0000 0.0634
644.3000 0.0635
646.4000 0.0637
647.2000 0.0639
648.8000 0.0641
650.1000 0.0642
650.9000 0.0644
651.1000 0.0646
651.6000 0.0648
656.0000 0.0649
656.2000 0.0651
656.8000 0.0653
658.2000 0.0655
660.9000 0.0656
662.5000 0.0658
663.7000 0.0660
666.2000 0.0661
666.5000 0.0663
668.9000 0.0665
670.0000 0.0667
674.3000 0.0668
676.8000 0.0670
677.0000 0.0672
677.4000 0.0674
679.0000 0.0675
680.6000 0.0677
682.4000 0.0679
683.3000 0.0681
684.3000 0.0682
684.9000 0.0684
687.2000 0.0686
688.1000 0.0687
688.2000 0.0689
688.4000 0.0691
690.5000 0.0693
691.1000 0.0694
691.3000 0.0696
692.4000 0.0698
692.7000 0.0700
693.9000 0.0701
694.1000 0.0703
695.6000 0.0705
696.0000 0.0707
696.7000 0.0708
698.3000 0.0710
698.7000 0.0712
699.2000 0.0714
699.6000 0.0715
700.6000 0.0717
702.6000 0.0719
703.1000 0.0720
705.0000 0.0722
706.4000 0.0724
707.5000 0.0726
709.0000 0.0727
712.5000 0.0729
719.6000 0.0731
719.9000 0.0733
720.1000 0.0734
720.2000 0.0736
721.7000 0.0738
722.2000 0.0740
723.9000 0.0741
724.2000 0.0743
724.3000 0.0745
724.7000 0.0747
727.0000 0.0748
729.5000 0.0750
730.2000 0.0752
730.6000 0.0753
730.9000 0.0755
732.6000 0.0757
734.2000 0.0759
734.6000 0.0760
734.8000 0.0762
735.0000 0.0764
736.2000 0.0766
737.5000 0.0767
739.0000 0.0769
739.0000 0.0771
739.4000 0.0773
741.3000 0.0774
743.8000 0.0776
747.3000 0.0778
747.7000 0.0780
747.8000 0.0781
748.7000 0.0783
748.9000 0.0785
749.2000 0.0786
749.7000 0.0788
749.8000 0.0790
755.2000 0.0792
756.7000 0.0793
758.7000 0.0795
759.8000 0.0797
760.1000 0.0799
760.1000 0.0800
761.4000 0.0802
762.0000 0.0804
762.2000 0.0806
765.4000 0.0807
767.5000 0.0809
768.5000 0.0811
769.0000 0.0812
769.4000 0.0814
769.6000 0.0816
769.7000 0.0818
771.0000 0.0819
771.4000 0.0821
771.7000 0.0823
774.4000 0.0825
776.0000 0.0826
777.5000 0.0828
777.6000 0.0830
778.6000 0.0832
782.4000 0.0833
784.3000 0.0835
789.0000 0.0837
793.6000 0.0839
796.7000 0.0840
798.1000 0.0842
801.9000 0.0844
802.9000 0.0845
804.7000 0.0847
804.8000 0.0849
806.3000 0.0851
807.1000 0.0852
813.6000 0.0854
813.7000 0.0856
814.3000 0.0858
