/root/the-one-transit/reports/helsinki1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:3_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'ProphetV2Router', 'Group.bufferSize': '1000G', 'Group.msgTtl': '800', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '39600', 'Events1.interval': '5', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.6', 'ProphetV2Router.gamma': '1.0', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '3'}
['./one.sh', '-b', '1', 'helsinki1True_settings.txt']
Percent: 1/144
Run 1/1
11 in line defined by file data/helsinki1True/1_schedule.csv
10 in line defined by file data/helsinki1True/2_schedule.csv
10 in line defined by file data/helsinki1True/3_schedule.csv
16 in line defined by file data/helsinki1True/4_schedule.csv
15 in line defined by file data/helsinki1True/6T_schedule.csv
18 in line defined by file data/helsinki1True/7_schedule.csv
12 in line defined by file data/helsinki1True/8_schedule.csv
11 in line defined by file data/helsinki1True/9_schedule.csv
13 in line defined by file data/helsinki1True/10_schedule.csv
Running simulation 'helsinki1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:5_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:3'
60.0 2805: 46.74 1/s
120.0 3516: 11.86 1/s
180.0 3998: 8.03 1/s
240.0 4488: 8.17 1/s
300.0 4879: 6.52 1/s
360.0 5209: 5.50 1/s
420.1 5538: 5.48 1/s
480.1 5854: 5.26 1/s
540.1 6125: 4.51 1/s
600.1 6418: 4.89 1/s
660.1 6709: 4.84 1/s
720.1 7003: 4.90 1/s
780.1 7312: 5.15 1/s
841.0 7592: 4.66 1/s
901.0 7887: 4.92 1/s
961.0 8199: 5.21 1/s
1021.0 8511: 5.19 1/s
1081.0 8818: 5.13 1/s
1141.1 9135: 5.27 1/s
1201.1 9444: 5.15 1/s
1261.1 9737: 4.89 1/s
1321.1 10058: 5.34 1/s
1381.1 10377: 5.31 1/s
1441.1 10693: 5.27 1/s
1501.1 11010: 5.29 1/s
1561.1 11331: 5.35 1/s
1621.1 11650: 5.31 1/s
1681.1 11959: 5.16 1/s
1741.2 12275: 5.27 1/s
1801.2 12591: 5.26 1/s
1861.2 12908: 5.29 1/s
1921.2 13224: 5.26 1/s
1981.2 13539: 5.25 1/s
2041.2 13848: 5.16 1/s
2101.2 14156: 5.13 1/s
2161.2 14467: 5.18 1/s
2221.2 14776: 5.15 1/s
2281.2 15082: 5.10 1/s
2341.3 15387: 5.08 1/s
2401.3 15676: 4.83 1/s
2461.3 15972: 4.93 1/s
2521.3 16271: 4.98 1/s
2581.3 16569: 4.96 1/s
2641.3 16854: 4.75 1/s
2701.3 17146: 4.87 1/s
2761.3 17442: 4.94 1/s
2821.4 17745: 5.04 1/s
2881.4 18040: 4.92 1/s
2941.4 18342: 5.03 1/s
3001.4 18634: 4.88 1/s
3061.4 18919: 4.74 1/s
3121.4 19185: 4.43 1/s
3181.4 19430: 4.08 1/s
3241.4 19666: 3.94 1/s
3301.4 19883: 3.62 1/s
3361.4 20072: 3.15 1/s
3421.5 20256: 3.07 1/s
3481.5 20422: 2.75 1/s
3541.5 20583: 2.68 1/s
3601.5 20734: 2.52 1/s
3661.6 20881: 2.45 1/s
3721.6 21019: 2.30 1/s
3781.6 21149: 2.18 1/s
3841.6 21274: 2.07 1/s
3901.6 21391: 1.96 1/s
3961.7 21502: 1.84 1/s
4021.7 21605: 1.73 1/s
4081.7 21700: 1.58 1/s
4141.8 21793: 1.54 1/s
4201.8 21880: 1.46 1/s
4261.8 21966: 1.43 1/s
4321.8 22046: 1.33 1/s
4381.9 22124: 1.30 1/s
4441.9 22200: 1.26 1/s
4502.0 22273: 1.22 1/s
4562.0 22341: 1.13 1/s
4622.1 22407: 1.11 1/s
4682.2 22476: 1.13 1/s
4742.3 22538: 1.04 1/s
4802.3 22602: 1.07 1/s
4862.3 22667: 1.08 1/s
4922.4 22731: 1.06 1/s
4982.4 22793: 1.03 1/s
5042.4 22857: 1.06 1/s
5102.5 22918: 1.03 1/s
5162.5 22977: 0.98 1/s
5222.6 23031: 0.89 1/s
5282.7 23083: 0.87 1/s
5342.7 23134: 0.85 1/s
5402.8 23185: 0.85 1/s
5462.9 23231: 0.75 1/s
5522.9 23283: 0.87 1/s
5583.0 23332: 0.82 1/s
5643.1 23379: 0.78 1/s
5703.1 23430: 0.85 1/s
5763.1 23480: 0.83 1/s
5823.2 23529: 0.82 1/s
5883.3 23578: 0.81 1/s
5943.4 23624: 0.76 1/s
6003.4 23672: 0.80 1/s
6063.5 23718: 0.77 1/s
6123.5 23766: 0.80 1/s
6183.5 23808: 0.71 1/s
6243.6 23851: 0.71 1/s
6303.6 23895: 0.73 1/s
6363.7 23939: 0.74 1/s
6423.8 23982: 0.71 1/s
6483.9 24023: 0.70 1/s
6545.5 24063: 0.66 1/s
6605.5 24103: 0.66 1/s
6665.6 24143: 0.68 1/s
6725.7 24183: 0.66 1/s
6785.8 24223: 0.66 1/s
6845.9 24261: 0.63 1/s
6906.0 24300: 0.66 1/s
6966.1 24341: 0.68 1/s
7026.1 24379: 0.64 1/s
7086.2 24417: 0.63 1/s
7146.3 24454: 0.61 1/s
7206.5 24492: 0.63 1/s
7266.6 24531: 0.65 1/s
7326.7 24567: 0.60 1/s
7386.8 24604: 0.61 1/s
7447.0 24641: 0.62 1/s
7507.0 24676: 0.58 1/s
7567.2 24713: 0.62 1/s
7627.2 24748: 0.58 1/s
7687.3 24784: 0.59 1/s
7747.4 24816: 0.55 1/s
7807.6 24852: 0.58 1/s
7867.6 24885: 0.56 1/s
7927.7 24921: 0.59 1/s
7987.9 24955: 0.57 1/s
8047.9 24990: 0.58 1/s
8108.0 25025: 0.57 1/s
8168.1 25055: 0.50 1/s
8228.2 25088: 0.55 1/s
8288.4 25121: 0.55 1/s
8348.4 25153: 0.53 1/s
8408.5 25183: 0.50 1/s
8468.6 25215: 0.52 1/s
8528.6 25248: 0.55 1/s
8588.8 25278: 0.51 1/s
8648.8 25311: 0.54 1/s
8709.0 25342: 0.52 1/s
8769.0 25377: 0.57 1/s
8829.1 25406: 0.50 1/s
8889.3 25439: 0.54 1/s
8949.4 25470: 0.52 1/s
9009.6 25502: 0.53 1/s
9069.6 25531: 0.48 1/s
9129.7 25560: 0.50 1/s
9189.8 25591: 0.50 1/s
9249.8 25621: 0.50 1/s
9309.8 25649: 0.47 1/s
9370.0 25678: 0.49 1/s
9430.1 25706: 0.46 1/s
9490.1 25736: 0.50 1/s
9550.1 25766: 0.50 1/s
9610.2 25796: 0.49 1/s
9670.6 25825: 0.49 1/s
9730.8 25854: 0.48 1/s
9790.9 25881: 0.45 1/s
9851.0 25910: 0.49 1/s
9911.0 25937: 0.45 1/s
9971.1 25966: 0.48 1/s
10031.3 25994: 0.47 1/s
10091.3 26021: 0.44 1/s
10151.4 26049: 0.46 1/s
10211.5 26076: 0.46 1/s
10271.6 26105: 0.48 1/s
10331.7 26131: 0.43 1/s
10391.9 26160: 0.48 1/s
10452.2 26187: 0.45 1/s
10512.3 26214: 0.45 1/s
10572.5 26239: 0.41 1/s
