# messageDelay  cumulativeProbability
5.0000 0.0000
5.0000 0.0001
5.0000 0.0001
5.0000 0.0001
5.0000 0.0002
5.0000 0.0002
5.0000 0.0002
5.0000 0.0003
5.0000 0.0003
5.0000 0.0003
5.0000 0.0004
5.0000 0.0004
5.0000 0.0005
5.0000 0.0005
5.0000 0.0005
5.0000 0.0006
5.0000 0.0006
5.0000 0.0006
5.0000 0.0007
5.0000 0.0007
5.0000 0.0007
5.0000 0.0008
5.0000 0.0008
5.0000 0.0008
5.0000 0.0009
5.0000 0.0009
5.0000 0.0009
5.0000 0.0010
5.0000 0.0010
5.0000 0.0010
5.0000 0.0011
5.0000 0.0011
5.0000 0.0011
5.0000 0.0012
5.0000 0.0012
5.0000 0.0013
5.0000 0.0013
5.0000 0.0013
5.0000 0.0014
5.0000 0.0014
5.0000 0.0014
5.0000 0.0015
5.0000 0.0015
5.0000 0.0015
5.0000 0.0016
5.0000 0.0016
5.0000 0.0016
5.0000 0.0017
5.0000 0.0017
5.0000 0.0017
5.0000 0.0018
5.0000 0.0018
5.0000 0.0018
5.0000 0.0019
5.0000 0.0019
5.0000 0.0019
5.0000 0.0020
5.0000 0.0020
5.0000 0.0020
5.0000 0.0021
5.0000 0.0021
5.0000 0.0022
5.0000 0.0022
5.0000 0.0022
5.0000 0.0023
5.0000 0.0023
5.0000 0.0023
5.0000 0.0024
5.0000 0.0024
5.0000 0.0024
5.0000 0.0025
5.1000 0.0025
5.4000 0.0025
5.5000 0.0026
5.9000 0.0026
5.9000 0.0026
6.0000 0.0027
6.0000 0.0027
6.0000 0.0027
6.0000 0.0028
6.0000 0.0028
6.6000 0.0028
6.7000 0.0029
6.9000 0.0029
7.0000 0.0030
7.0000 0.0030
7.0000 0.0030
7.0000 0.0031
7.0000 0.0031
7.0000 0.0031
7.0000 0.0032
7.5000 0.0032
7.5000 0.0032
7.5000 0.0033
7.6000 0.0033
8.0000 0.0033
8.0000 0.0034
8.0000 0.0034
8.0000 0.0034
8.0000 0.0035
8.2000 0.0035
8.2000 0.0035
8.4000 0.0036
8.6000 0.0036
8.7000 0.0036
9.0000 0.0037
9.0000 0.0037
9.0000 0.0037
9.0000 0.0038
9.0000 0.0038
9.6000 0.0039
9.9000 0.0039
10.0000 0.0039
10.0000 0.0040
10.0000 0.0040
10.0000 0.0040
10.0000 0.0041
10.0000 0.0041
10.9000 0.0041
14.3000 0.0042
14.3000 0.0042
14.3000 0.0042
15.4000 0.0043
17.2000 0.0043
27.9000 0.0043
29.1000 0.0044
30.1000 0.0044
33.4000 0.0044
35.1000 0.0045
38.0000 0.0045
40.6000 0.0045
42.4000 0.0046
60.4000 0.0046
76.3000 0.0047
83.0000 0.0047
90.5000 0.0047
91.2000 0.0048
111.5000 0.0048
113.9000 0.0048
117.9000 0.0049
142.9000 0.0049
188.4000 0.0049
217.0000 0.0050
226.0000 0.0050
235.3000 0.0050
248.6000 0.0051
249.7000 0.0051
254.1000 0.0051
263.2000 0.0052
272.3000 0.0052
293.7000 0.0052
296.2000 0.0053
301.8000 0.0053
301.9000 0.0053
310.1000 0.0054
325.6000 0.0054
328.1000 0.0055
330.1000 0.0055
349.0000 0.0055
350.3000 0.0056
354.0000 0.0056
356.1000 0.0056
358.0000 0.0057
365.3000 0.0057
383.1000 0.0057
386.7000 0.0058
399.1000 0.0058
400.1000 0.0058
404.4000 0.0059
406.7000 0.0059
412.6000 0.0059
412.9000 0.0060
413.9000 0.0060
418.3000 0.0060
428.6000 0.0061
434.9000 0.0061
441.8000 0.0061
443.2000 0.0062
451.7000 0.0062
455.6000 0.0063
456.6000 0.0063
464.4000 0.0063
464.8000 0.0064
473.6000 0.0064
483.0000 0.0064
484.7000 0.0065
485.0000 0.0065
488.6000 0.0065
497.4000 0.0066
499.4000 0.0066
501.0000 0.0066
511.2000 0.0067
537.6000 0.0067
541.0000 0.0067
560.3000 0.0068
561.6000 0.0068
572.6000 0.0068
579.5000 0.0069
581.0000 0.0069
589.6000 0.0069
604.3000 0.0070
606.2000 0.0070
609.6000 0.0070
612.5000 0.0071
623.5000 0.0071
629.4000 0.0072
632.3000 0.0072
635.6000 0.0072
639.6000 0.0073
641.7000 0.0073
645.6000 0.0073
653.5000 0.0074
653.8000 0.0074
657.2000 0.0074
658.7000 0.0075
663.6000 0.0075
664.4000 0.0075
665.0000 0.0076
670.0000 0.0076
670.0000 0.0076
677.7000 0.0077
678.6000 0.0077
683.1000 0.0077
683.2000 0.0078
683.6000 0.0078
687.3000 0.0078
694.8000 0.0079
695.5000 0.0079
696.6000 0.0080
697.0000 0.0080
700.2000 0.0080
700.4000 0.0081
716.7000 0.0081
718.7000 0.0081
721.3000 0.0082
723.4000 0.0082
732.1000 0.0082
733.0000 0.0083
733.6000 0.0083
735.2000 0.0083
736.2000 0.0084
740.6000 0.0084
743.1000 0.0084
746.3000 0.0085
747.1000 0.0085
757.0000 0.0085
762.1000 0.0086
765.4000 0.0086
771.7000 0.0086
776.0000 0.0087
777.4000 0.0087
778.5000 0.0088
784.4000 0.0088
786.5000 0.0088
789.0000 0.0089
792.6000 0.0089
798.3000 0.0089
799.3000 0.0090
800.9000 0.0090
804.8000 0.0090
809.7000 0.0091
810.5000 0.0091
814.0000 0.0091
816.5000 0.0092
818.4000 0.0092
822.1000 0.0092
822.2000 0.0093
824.6000 0.0093
828.2000 0.0093
835.2000 0.0094
843.1000 0.0094
843.6000 0.0094
845.0000 0.0095
854.7000 0.0095
855.8000 0.0095
857.1000 0.0096
860.7000 0.0096
864.0000 0.0097
872.6000 0.0097
879.2000 0.0097
879.9000 0.0098
886.2000 0.0098
896.2000 0.0098
897.5000 0.0099
899.8000 0.0099
901.3000 0.0099
906.6000 0.0100
907.2000 0.0100
913.0000 0.0100
914.3000 0.0101
917.7000 0.0101
921.0000 0.0101
928.0000 0.0102
930.3000 0.0102
938.1000 0.0102
955.6000 0.0103
962.9000 0.0103
963.3000 0.0103
965.9000 0.0104
972.0000 0.0104
973.9000 0.0105
975.0000 0.0105
976.1000 0.0105
978.1000 0.0106
982.8000 0.0106
986.2000 0.0106
988.0000 0.0107
990.9000 0.0107
996.5000 0.0107
999.7000 0.0108
1001.5000 0.0108
1001.9000 0.0108
1004.3000 0.0109
1004.6000 0.0109
1008.0000 0.0109
1010.0000 0.0110
1014.6000 0.0110
1017.0000 0.0110
1017.2000 0.0111
1018.8000 0.0111
1022.6000 0.0111
1029.0000 0.0112
1030.6000 0.0112
1034.6000 0.0113
1035.4000 0.0113
1039.4000 0.0113
1040.7000 0.0114
1042.0000 0.0114
1042.1000 0.0114
1044.4000 0.0115
1045.7000 0.0115
1046.4000 0.0115
1052.3000 0.0116
1052.6000 0.0116
1058.1000 0.0116
1062.1000 0.0117
1064.0000 0.0117
1078.0000 0.0117
1081.8000 0.0118
1081.8000 0.0118
1091.4000 0.0118
1094.4000 0.0119
1094.7000 0.0119
1095.6000 0.0119
1096.3000 0.0120
1098.9000 0.0120
1100.0000 0.0120
1103.4000 0.0121
1105.8000 0.0121
1107.1000 0.0122
1114.8000 0.0122
1115.1000 0.0122
1119.8000 0.0123
1120.0000 0.0123
1124.7000 0.0123
1124.8000 0.0124
1126.2000 0.0124
1129.1000 0.0124
1135.7000 0.0125
1138.0000 0.0125
1145.5000 0.0125
1147.3000 0.0126
1150.0000 0.0126
1156.6000 0.0126
1157.1000 0.0127
1158.6000 0.0127
1162.9000 0.0127
1168.1000 0.0128
1170.6000 0.0128
1172.0000 0.0128
1172.1000 0.0129
1177.3000 0.0129
1177.5000 0.0130
1185.7000 0.0130
1189.6000 0.0130
1190.2000 0.0131
1194.0000 0.0131
1200.0000 0.0131
1208.2000 0.0132
1210.0000 0.0132
1211.6000 0.0132
1212.8000 0.0133
1218.8000 0.0133
1221.1000 0.0133
1221.2000 0.0134
1223.4000 0.0134
1226.4000 0.0134
1231.6000 0.0135
1233.3000 0.0135
1235.6000 0.0135
1235.9000 0.0136
1236.7000 0.0136
1242.8000 0.0136
1246.4000 0.0137
1246.5000 0.0137
1246.6000 0.0138
1248.6000 0.0138
1248.7000 0.0138
1251.1000 0.0139
1252.5000 0.0139
1254.8000 0.0139
1257.2000 0.0140
1259.4000 0.0140
1261.5000 0.0140
1265.7000 0.0141
1266.7000 0.0141
1268.4000 0.0141
1269.8000 0.0142
1278.0000 0.0142
1279.3000 0.0142
1279.3000 0.0143
1280.6000 0.0143
1281.5000 0.0143
1285.2000 0.0144
1286.6000 0.0144
1289.2000 0.0144
1291.9000 0.0145
1293.8000 0.0145
1301.2000 0.0145
1301.6000 0.0146
1302.5000 0.0146
1303.4000 0.0147
1304.5000 0.0147
1307.2000 0.0147
1308.3000 0.0148
1308.6000 0.0148
1310.0000 0.0148
1310.8000 0.0149
1311.2000 0.0149
1314.8000 0.0149
1322.5000 0.0150
1326.9000 0.0150
1334.3000 0.0150
1336.7000 0.0151
1340.0000 0.0151
1342.0000 0.0151
1347.7000 0.0152
1348.4000 0.0152
1354.6000 0.0152
1371.1000 0.0153
1371.5000 0.0153
1371.8000 0.0153
1372.6000 0.0154
1380.2000 0.0154
1380.8000 0.0155
1383.1000 0.0155
1383.7000 0.0155
1388.8000 0.0156
1391.5000 0.0156
1395.7000 0.0156
1398.4000 0.0157
1399.7000 0.0157
1402.3000 0.0157
1406.5000 0.0158
1408.5000 0.0158
1413.3000 0.0158
1414.0000 0.0159
1415.1000 0.0159
1417.6000 0.0159
1419.8000 0.0160
1420.5000 0.0160
1424.3000 0.0160
1425.2000 0.0161
1426.6000 0.0161
1428.6000 0.0161
1433.9000 0.0162
1434.6000 0.0162
1438.7000 0.0163
1438.9000 0.0163
1440.4000 0.0163
1443.9000 0.0164
1454.2000 0.0164
1455.5000 0.0164
1456.5000 0.0165
1457.9000 0.0165
1465.7000 0.0165
1467.2000 0.0166
1467.6000 0.0166
1468.2000 0.0166
1473.5000 0.0167
1474.9000 0.0167
1478.9000 0.0167
1484.7000 0.0168
1484.9000 0.0168
1493.5000 0.0168
1494.8000 0.0169
1496.9000 0.0169
1498.9000 0.0169
1500.9000 0.0170
1501.4000 0.0170
1502.5000 0.0170
1502.8000 0.0171
1518.0000 0.0171
1518.4000 0.0172
1520.6000 0.0172
1521.6000 0.0172
1523.7000 0.0173
1526.3000 0.0173
1527.7000 0.0173
1534.6000 0.0174
1540.2000 0.0174
1544.6000 0.0174
1547.7000 0.0175
1562.6000 0.0175
1566.8000 0.0175
1569.4000 0.0176
1572.6000 0.0176
1573.8000 0.0176
1575.2000 0.0177
1578.2000 0.0177
1583.3000 0.0177
1586.0000 0.0178
1586.4000 0.0178
1586.7000 0.0178
1587.4000 0.0179
1587.8000 0.0179
1591.0000 0.0180
1595.0000 0.0180
1595.1000 0.0180
1599.6000 0.0181
1605.1000 0.0181
1606.0000 0.0181
1614.0000 0.0182
1615.3000 0.0182
1620.3000 0.0182
1621.0000 0.0183
1621.5000 0.0183
1622.7000 0.0183
1634.7000 0.0184
1634.7000 0.0184
1638.2000 0.0184
1640.6000 0.0185
1648.2000 0.0185
1648.3000 0.0185
1648.5000 0.0186
1661.3000 0.0186
1661.4000 0.0186
1663.2000 0.0187
1666.4000 0.0187
1671.5000 0.0187
1673.6000 0.0188
1675.5000 0.0188
1683.5000 0.0189
1683.7000 0.0189
1685.4000 0.0189
1685.4000 0.0190
1689.0000 0.0190
1692.9000 0.0190
1696.2000 0.0191
1697.3000 0.0191
1698.5000 0.0191
