# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
586.2000 M35 1000000 3 481.2000 S157 S164 591 N S157->S17->3_234->S164
828.5000 M88 1000000 4 564.5000 S32 S114 590 N S32->S173->2_224->S72->S114
887.2000 M189 1000000 4 320.2000 S195 S187 594 N S195->3_234->7_275->S151->S187
891.8000 M286 1000000 2 33.8000 S96 S149 599 N S96->6T_260->S149
916.3000 M144 1000000 3 484.3000 S19 S174 591 N S19->S118->4_246->S174
988.4000 M12 1000000 3 952.4000 S101 S134 584 N S101->3_234->7_275->S134
998.5000 M39 1000000 4 881.5000 S144 S2 585 N S144->S10->2_225->S27->S2
1063.2000 M69 1000000 5 856.2000 S190 S93 585 N S190->S137->2_225->S8->3_234->S93
1070.4000 M37 1000000 5 959.4000 S108 S5 584 N S108->S57->4_244->S8->3_234->S5
1098.0000 M245 1000000 4 363.0000 S19 S132 593 N S19->S118->4_246->7_275->S132
1127.6000 M188 1000000 4 563.6000 S108 S152 590 N S108->S57->4_246->7_275->S152
1135.6000 M228 1000000 3 451.6000 S148 S151 592 N S148->S97->6T_260->S151
1137.6000 M325 1000000 3 162.6000 S142 S187 597 N S142->6T_260->S151->S187
1151.7000 M152 1000000 2 695.7000 S28 S113 588 N S28->4_246->S113
1175.0000 M130 1000000 6 785.0000 S18 S14 586 N S18->3_234->7_275->S151->S187->4_245->S14
1181.2000 M54 1000000 4 1019.2000 S8 S183 583 N S8->4_244->S151->7_275->S183
1187.2000 M174 1000000 3 665.2000 S97 S55 588 N S97->7_275->3_234->S55
1239.5000 M275 1000000 3 414.5000 S14 S134 593 N S14->S31->4_245->S134
1244.9000 M143 1000000 4 815.9000 S207 S181 586 N S207->S211->S20->2_224->S181
1245.1000 M263 1000000 2 456.1000 S20 S181 592 N S20->2_224->S181
1290.3000 M238 1000000 2 576.3000 S152 S5 590 N S152->7_275->S5
1299.7000 M250 1000000 4 549.7000 S30 S161 590 N S30->S116->4_245->S132->S161
1328.6000 M5 1000000 3 1313.6000 S194 S56 578 N S194->7_276->S201->S56
1343.8000 M338 1000000 3 329.8000 S187 S93 594 N S187->S151->6T_260->S93
1346.6000 M248 1000000 5 602.6000 S111 S5 589 N S111->4_245->S187->S151->6T_260->S5
1367.1000 M320 1000000 2 407.1000 S187 S108 593 N S187->4_245->S108
1368.5000 M132 1000000 3 972.5000 S32 S136 583 N S32->S173->2_224->S136
1368.7000 M168 1000000 5 864.7000 S127 S197 585 N S127->4_245->S116->S141->2_224->S197
1372.5000 M337 1000000 3 361.5000 S197 S141 593 N S197->S136->2_225->S141
1372.7000 M34 1000000 3 1270.7000 S187 S141 578 N S187->S151->2_225->S141
1418.7000 M30 1000000 2 1328.7000 S101 S211 577 N S101->3_234->S211
1419.3000 M124 1000000 4 1047.3000 S174 S55 582 N S174->S208->4_246->7_275->S55
1424.5000 M417 1000000 2 173.5000 S158 S47 597 N S158->9_305->S47
1424.5000 M53 1000000 2 1265.5000 S59 S119 578 N S59->3_234->S119
1430.6000 M44 1000000 7 1298.6000 S108 S20 578 N S108->S57->4_244->S8->3_234->S207->S211->S20
1430.8000 M183 1000000 5 881.8000 S5 S20 585 N S5->S93->3_234->S207->S211->S20
1462.1000 M78 1000000 5 1228.1000 S149 S180 579 N S149->S84->7_275->S161->4_246->S180
1464.0000 M153 1000000 2 1005.0000 S51 S124 583 N S51->3_235->S124
1470.1000 M329 1000000 3 483.1000 S134 S9 591 N S134->S113->7_275->S9
1478.4000 M99 1000000 4 1181.4000 S7 S64 580 N S7->S211->S20->2_224->S64
1498.0000 M220 1000000 3 838.0000 S127 S211 586 N S127->3_235->S207->S211
1511.1000 M361 1000000 2 428.1000 S112 S55 592 N S112->6T_260->S55
1524.1000 M107 1000000 4 1203.1000 S0 S133 579 N S0->S34->7_275->4_246->S133
1545.9000 M17 1000000 4 1494.9000 S118 S99 575 N S118->4_244->S161->2_225->S99
1550.7000 M7 1000000 7 1529.7000 S207 S196 574 N S207->S211->S20->2_224->S47->S94->3_234->S196
1582.1000 M356 1000000 2 514.1000 S151 S118 591 N S151->4_245->S118
1599.8000 M20 1000000 4 1539.8000 S98 S104 574 N S98->2_224->S20->9_305->S104
1600.0000 M165 1000000 2 1105.0000 S88 S104 581 N S88->9_305->S104
1616.9000 M43 1000000 7 1487.9000 S21 S45 575 N S21->S210->3_234->7_275->S151->S187->4_245->S45
1633.5000 M55 1000000 5 1468.5000 S117 S26 575 N S117->3_234->S151->S187->4_245->S26
1633.7000 M25 1000000 2 1558.7000 S187 S26 574 N S187->4_245->S26
1642.8000 M185 1000000 3 1087.8000 S115 S52 581 N S115->S195->3_234->S52
1651.8000 M392 1000000 2 475.8000 S170 S94 592 N S170->7_275->S94
1656.5000 M138 1000000 4 1242.5000 S208 S47 579 N S208->4_246->7_275->S94->S47
1679.5000 M24 1000000 2 1607.5000 S136 S20 573 N S136->2_225->S20
1688.9000 M83 1000000 4 1439.9000 S156 S111 576 N S156->2_225->S116->4_246->S111
1690.9000 M461 1000000 4 307.9000 S93 S100 594 N S93->S5->6T_260->S33->S100
1723.1000 M327 1000000 4 742.1000 S108 S124 587 N S108->S57->4_246->7_275->S124
1727.9000 M173 1000000 6 1208.9000 S2 S90 579 N S2->S27->2_225->S7->S207->7_275->S90
1728.4000 M202 1000000 4 1122.4000 S133 S199 581 N S133->4_245->S14->4_246->S199
1728.6000 M460 1000000 2 348.6000 S103 S199 594 N S103->4_246->S199
1760.8000 M258 1000000 2 986.8000 S124 S144 583 N S124->2_224->S144
1778.7000 M364 1000000 6 686.7000 S105 S131 588 N S105->9_305->S20->S211->S7->2_225->S131
1778.8000 M229 1000000 4 1091.8000 S7 S5 581 N S7->S211->S20->9_305->S5
1778.9000 M148 1000000 5 1334.9000 S83 S131 577 N S83->7_275->3_234->S119->2_225->S131
