# messageDelay  cumulativeProbability
5.0000 0.0002
5.0000 0.0003
5.0000 0.0005
5.0000 0.0007
5.0000 0.0009
5.0000 0.0010
5.0000 0.0012
5.0000 0.0014
5.0000 0.0016
5.0000 0.0017
5.0000 0.0019
5.0000 0.0021
5.0000 0.0023
5.0000 0.0024
5.0000 0.0026
5.0000 0.0028
5.0000 0.0030
5.0000 0.0031
5.7000 0.0033
12.3000 0.0035
80.0000 0.0036
85.1000 0.0038
105.2000 0.0040
109.7000 0.0042
121.9000 0.0043
142.1000 0.0045
148.4000 0.0047
148.8000 0.0049
156.1000 0.0050
199.4000 0.0052
205.9000 0.0054
239.4000 0.0056
261.7000 0.0057
264.0000 0.0059
292.2000 0.0061
320.5000 0.0063
324.0000 0.0064
325.7000 0.0066
338.3000 0.0068
340.2000 0.0069
364.2000 0.0071
374.5000 0.0073
394.3000 0.0075
400.3000 0.0076
412.0000 0.0078
416.0000 0.0080
417.3000 0.0082
418.5000 0.0083
425.1000 0.0085
430.6000 0.0087
435.2000 0.0089
440.1000 0.0090
456.7000 0.0092
459.1000 0.0094
464.1000 0.0095
467.6000 0.0097
468.7000 0.0099
469.8000 0.0101
479.7000 0.0102
482.7000 0.0104
485.4000 0.0106
492.1000 0.0108
497.8000 0.0109
497.9000 0.0111
500.6000 0.0113
526.6000 0.0115
537.3000 0.0116
538.8000 0.0118
544.4000 0.0120
548.7000 0.0122
549.0000 0.0123
555.7000 0.0125
557.5000 0.0127
561.6000 0.0128
564.1000 0.0130
581.4000 0.0132
583.1000 0.0134
587.0000 0.0135
589.0000 0.0137
595.0000 0.0139
609.4000 0.0141
612.7000 0.0142
639.0000 0.0144
642.1000 0.0146
642.2000 0.0148
650.1000 0.0149
651.4000 0.0151
659.6000 0.0153
675.7000 0.0155
680.6000 0.0156
685.8000 0.0158
692.4000 0.0160
696.2000 0.0161
699.6000 0.0163
706.5000 0.0165
723.0000 0.0167
755.5000 0.0168
765.6000 0.0170
782.5000 0.0172
785.8000 0.0174
786.6000 0.0175
789.0000 0.0177
792.6000 0.0179
794.7000 0.0181
797.1000 0.0182
798.8000 0.0184
798.9000 0.0186
800.6000 0.0187
805.1000 0.0189
805.8000 0.0191
806.1000 0.0193
806.9000 0.0194
812.3000 0.0196
818.5000 0.0198
819.7000 0.0200
823.3000 0.0201
832.9000 0.0203
833.7000 0.0205
838.3000 0.0207
840.5000 0.0208
856.8000 0.0210
858.9000 0.0212
882.1000 0.0214
884.9000 0.0215
902.5000 0.0217
910.0000 0.0219
918.2000 0.0220
923.6000 0.0222
926.0000 0.0224
932.9000 0.0226
933.8000 0.0227
936.7000 0.0229
937.0000 0.0231
940.8000 0.0233
941.0000 0.0234
944.1000 0.0236
944.2000 0.0238
949.0000 0.0240
950.5000 0.0241
954.2000 0.0243
955.7000 0.0245
957.3000 0.0247
959.5000 0.0248
962.5000 0.0250
967.2000 0.0252
969.9000 0.0253
973.7000 0.0255
984.7000 0.0257
992.7000 0.0259
997.1000 0.0260
1015.6000 0.0262
1020.1000 0.0264
1029.9000 0.0266
1036.2000 0.0267
1038.7000 0.0269
1043.3000 0.0271
1044.2000 0.0273
1048.1000 0.0274
1058.4000 0.0276
1066.0000 0.0278
1067.2000 0.0280
1067.6000 0.0281
1068.5000 0.0283
1069.0000 0.0285
1071.1000 0.0286
1077.9000 0.0288
1077.9000 0.0290
1079.6000 0.0292
1086.2000 0.0293
1092.3000 0.0295
1093.0000 0.0297
1093.6000 0.0299
1094.3000 0.0300
1102.1000 0.0302
1103.5000 0.0304
1109.8000 0.0306
1112.3000 0.0307
1113.9000 0.0309
1118.5000 0.0311
1120.2000 0.0312
1120.5000 0.0314
1130.0000 0.0316
1132.1000 0.0318
1133.7000 0.0319
1147.7000 0.0321
1148.9000 0.0323
1157.9000 0.0325
1161.0000 0.0326
1161.3000 0.0328
1164.3000 0.0330
1166.0000 0.0332
1168.7000 0.0333
1168.8000 0.0335
1172.3000 0.0337
1174.5000 0.0339
1174.6000 0.0340
1174.9000 0.0342
1175.4000 0.0344
1179.6000 0.0345
1180.2000 0.0347
1186.9000 0.0349
1190.9000 0.0351
1191.1000 0.0352
1191.8000 0.0354
1194.1000 0.0356
1194.5000 0.0358
1199.1000 0.0359
1205.0000 0.0361
1205.9000 0.0363
1209.7000 0.0365
1213.8000 0.0366
1230.2000 0.0368
1230.4000 0.0370
1231.1000 0.0372
1232.7000 0.0373
1236.8000 0.0375
1261.5000 0.0377
1265.4000 0.0378
1266.9000 0.0380
1268.9000 0.0382
1275.5000 0.0384
1278.7000 0.0385
1280.4000 0.0387
1284.5000 0.0389
1291.2000 0.0391
1291.9000 0.0392
1298.2000 0.0394
1299.1000 0.0396
1300.7000 0.0398
1302.4000 0.0399
1306.3000 0.0401
1309.6000 0.0403
1312.6000 0.0405
1312.7000 0.0406
1315.7000 0.0408
