# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
591.0000 M35 5000000 2 416.0000 S157 S164 393 N S157->3_234->S164
840.3000 M88 5000000 2 400.3000 S32 S114 393 N S32->2_224->S114
925.9000 M144 5000000 2 205.9000 S19 S174 396 N S19->4_246->S174
1014.7000 M39 5000000 3 819.7000 S144 S2 386 N S144->S10->2_225->S2
1068.0000 M69 5000000 4 723.0000 S190 S93 387 N S190->2_225->S8->3_234->S93
1253.8000 M143 5000000 4 538.8000 S207 S181 391 N S207->S211->S20->2_224->S181
1297.3000 M37 5000000 5 1112.3000 S108 S5 381 N S108->S57->4_244->S132->7_275->S5
1342.0000 M5 5000000 2 1317.0000 S194 S56 378 N S194->7_276->S56
1375.9000 M34 5000000 3 1205.9000 S187 S141 379 N S187->2_225->S116->S141
1429.2000 M44 5000000 6 1209.2000 S108 S20 379 N S108->S57->4_244->S8->3_234->S211->S20
1487.7000 M99 5000000 4 992.7000 S7 S64 383 N S7->S211->S20->2_224->S64
1684.4000 M24 5000000 2 1564.4000 S136 S20 373 N S136->2_225->S20
1783.6000 M229 5000000 4 638.6000 S7 S5 389 N S7->S211->S20->9_305->S5
1799.4000 M53 5000000 2 1534.4000 S59 S119 374 N S59->6T_260->S119
1832.8000 M150 5000000 2 1082.8000 S81 S47 381 N S81->7_276->S47
1905.4000 M128 5000000 2 1265.4000 S202 S151 378 N S202->2_224->S151
1933.4000 M174 5000000 3 1063.4000 S97 S55 382 N S97->S75->9_306->S55
1945.5000 M64 5000000 2 1625.5000 S94 S189 372 N S94->3_234->S189
2004.4000 M129 5000000 4 1359.4000 S123 S142 377 N S123->S127->3_235->9_305->S142
2011.3000 M170 5000000 4 1161.3000 S61 S23 380 N S61->S92->4_246->3_234->S23
2015.7000 M140 5000000 2 1315.7000 S65 S3 378 N S65->7_275->S3
2020.0000 M222 5000000 2 910.0000 S144 S14 384 N S144->2_224->S14
2024.4000 M357 5000000 2 239.4000 S26 S118 396 N S26->4_245->S118
2076.0000 M228 5000000 3 936.0000 S148 S151 384 N S148->S97->7_277->S151
2086.6000 M325 5000000 3 461.6000 S142 S187 392 N S142->7_277->S151->S187
2102.2000 M27 5000000 2 1967.2000 S71 S81 367 N S71->7_275->S81
2151.2000 M21 5000000 3 2046.2000 S83 S56 365 N S83->S96->7_275->S56
2184.3000 M256 5000000 3 904.3000 S154 S89 384 N S154->S9->3_235->S89
2188.8000 M250 5000000 3 938.8000 S30 S161 384 N S30->S141->2_224->S161
2192.5000 M76 5000000 4 1812.5000 S58 S173 369 N S58->3_234->S124->2_225->S173
2205.1000 M86 5000000 5 1775.1000 S163 S137 370 N S163->S82->7_275->S132->2_224->S137
2210.1000 M312 5000000 2 650.1000 S132 S190 389 N S132->2_224->S190
2228.8000 M71 5000000 4 1873.8000 S45 S2 368 N S45->4_246->S161->2_227->S2
2235.6000 M33 5000000 2 2070.6000 S67 S170 365 N S67->7_276->S170
2244.1000 M260 5000000 3 944.1000 S180 S62 384 N S180->S110->4_246->S62
2259.1000 M360 5000000 3 459.1000 S155 S132 392 N S155->S142->7_277->S132
2303.0000 M179 5000000 2 1408.0000 S112 S75 376 N S112->9_305->S75
2307.9000 M196 5000000 2 1327.9000 S40 S168 377 N S40->7_275->S168
2312.9000 M68 5000000 2 1972.9000 S96 S168 367 N S96->7_275->S168
2356.2000 M152 5000000 3 1596.2000 S28 S113 373 N S28->S15->4_245->S113
2410.8000 M294 5000000 3 940.8000 S163 S175 384 N S163->S82->9_306->S175
2417.8000 M163 5000000 2 1602.8000 S93 S129 373 N S93->9_305->S129
2422.2000 M67 5000000 2 2087.2000 S183 S161 365 N S183->7_276->S161
2427.8000 M95 5000000 7 1952.8000 S137 S185 367 N S137->S190->2_225->S8->3_234->S100->9_305->S185
2446.4000 M204 5000000 2 1426.4000 S97 S170 376 N S97->7_277->S170
2449.0000 M62 5000000 4 2139.0000 S61 S52 364 N S61->S92->4_246->3_234->S52
2496.3000 M238 5000000 2 1306.3000 S152 S5 378 N S152->7_277->S5
2501.8000 M56 5000000 3 2221.8000 S33 S204 362 N S33->S100->3_235->S204
2574.2000 M132 5000000 3 1914.2000 S32 S136 368 N S32->S173->2_226->S136
2594.4000 M479 5000000 2 199.4000 S85 S51 396 N S85->3_234->S51
2624.3000 M361 5000000 2 819.3000 S112 S55 386 N S112->7_277->S55
2627.6000 M192 5000000 3 1667.6000 S123 S150 372 N S123->S127->3_235->S150
2634.0000 M417 5000000 2 549.0000 S158 S47 390 N S158->9_307->S47
2650.5000 M115 5000000 4 2075.5000 S16 S187 365 N S16->S147->7_276->S151->S187
2658.4000 M119 5000000 5 2063.4000 S155 S17 365 N S155->S142->6T_260->S9->3_235->S17
2670.7000 M78 5000000 5 2280.7000 S149 S180 361 N S149->6T_260->S82->7_277->4_245->S180
2677.7000 M289 5000000 3 1232.7000 S192 S102 379 N S192->S72->2_226->S102
2718.4000 M267 5000000 2 1383.4000 S17 S51 376 N S17->3_236->S51
2723.4000 M149 5000000 2 1978.4000 S17 S51 367 N S17->3_236->S51
2725.7000 M221 5000000 5 1620.7000 S10 S103 372 N S10->S144->2_224->S31->4_245->S103
2728.4000 M284 5000000 2 1308.4000 S17 S51 378 N S17->3_236->S51
2730.7000 M107 5000000 6 2195.7000 S0 S133 363 N S0->S50->6T_260->S71->7_277->4_245->S133
2750.5000 M17 5000000 5 2665.5000 S118 S99 355 N S118->S19->4_246->S113->2_227->S99
2788.0000 M215 5000000 2 1713.0000 S62 S118 371 N S62->4_247->S118
2795.1000 M141 5000000 4 2090.1000 S178 S141 365 N S178->3_235->S8->4_245->S141
2810.0000 M165 5000000 2 1985.0000 S88 S104 366 N S88->9_307->S104
2848.6000 M185 5000000 2 1923.6000 S115 S52 367 N S115->3_236->S52
2903.7000 M276 5000000 2 1523.7000 S17 S107 374 N S17->3_236->S107
2977.6000 M157 5000000 4 2192.6000 S11 S75 363 N S11->3_236->S206->7_276->S75
2984.1000 M103 5000000 5 2469.1000 S103 S131 358 N S103->S133->4_245->S113->2_227->S131
3030.0000 M445 5000000 2 805.0000 S183 S88 386 N S183->7_277->S88
3095.6000 M307 5000000 3 1560.6000 S192 S187 373 N S192->S72->2_226->S187
