# messageDelay  cumulativeProbability
1.0000 0.0002
1.0000 0.0003
1.0000 0.0005
1.0000 0.0007
1.0000 0.0009
1.0000 0.0010
1.0000 0.0012
1.0000 0.0014
1.0000 0.0016
1.0000 0.0017
1.0000 0.0019
1.0000 0.0021
1.0000 0.0023
1.0000 0.0024
92.4000 0.0026
100.5000 0.0028
117.1000 0.0030
119.8000 0.0031
121.7000 0.0033
130.3000 0.0035
135.8000 0.0036
136.9000 0.0038
143.4000 0.0040
144.7000 0.0042
158.5000 0.0043
159.9000 0.0045
166.4000 0.0047
171.2000 0.0049
176.6000 0.0050
189.0000 0.0052
197.4000 0.0054
197.7000 0.0056
201.0000 0.0057
202.2000 0.0059
203.7000 0.0061
206.2000 0.0063
210.9000 0.0064
213.5000 0.0066
213.9000 0.0068
214.7000 0.0069
219.5000 0.0071
224.2000 0.0073
234.3000 0.0075
234.6000 0.0076
237.5000 0.0078
239.4000 0.0080
240.7000 0.0082
242.9000 0.0083
245.6000 0.0085
247.7000 0.0087
252.7000 0.0089
257.2000 0.0090
258.6000 0.0092
263.7000 0.0094
266.7000 0.0095
270.4000 0.0097
270.5000 0.0099
273.7000 0.0101
279.5000 0.0102
281.5000 0.0104
284.2000 0.0106
287.5000 0.0108
292.3000 0.0109
294.4000 0.0111
294.4000 0.0113
296.3000 0.0115
297.2000 0.0116
297.5000 0.0118
299.4000 0.0120
302.5000 0.0122
304.8000 0.0123
307.3000 0.0125
308.5000 0.0127
309.8000 0.0128
310.2000 0.0130
310.5000 0.0132
312.3000 0.0134
313.7000 0.0135
316.4000 0.0137
320.8000 0.0139
321.2000 0.0141
321.3000 0.0142
322.5000 0.0144
322.5000 0.0146
325.9000 0.0148
332.7000 0.0149
336.6000 0.0151
338.0000 0.0153
338.6000 0.0155
340.6000 0.0156
343.5000 0.0158
347.6000 0.0160
347.7000 0.0161
352.4000 0.0163
354.9000 0.0165
364.3000 0.0167
367.4000 0.0168
368.2000 0.0170
369.5000 0.0172
370.7000 0.0174
370.9000 0.0175
376.6000 0.0177
377.6000 0.0179
378.1000 0.0181
378.4000 0.0182
380.6000 0.0184
385.6000 0.0186
387.6000 0.0187
391.1000 0.0189
395.9000 0.0191
400.3000 0.0193
400.6000 0.0194
408.5000 0.0196
410.7000 0.0198
410.7000 0.0200
413.6000 0.0201
414.2000 0.0203
414.6000 0.0205
414.9000 0.0207
418.7000 0.0208
420.9000 0.0210
422.3000 0.0212
422.4000 0.0214
423.3000 0.0215
427.9000 0.0217
428.2000 0.0219
428.3000 0.0220
428.8000 0.0222
432.4000 0.0224
437.3000 0.0226
437.6000 0.0227
438.7000 0.0229
438.8000 0.0231
439.8000 0.0233
440.8000 0.0234
446.4000 0.0236
447.4000 0.0238
450.5000 0.0240
450.8000 0.0241
456.5000 0.0243
457.2000 0.0245
459.3000 0.0247
459.9000 0.0248
466.8000 0.0250
468.2000 0.0252
469.1000 0.0253
473.5000 0.0255
474.9000 0.0257
475.4000 0.0259
477.3000 0.0260
479.3000 0.0262
481.4000 0.0264
482.5000 0.0266
484.4000 0.0267
484.6000 0.0269
484.7000 0.0271
485.3000 0.0273
485.9000 0.0274
487.7000 0.0276
488.9000 0.0278
493.7000 0.0280
494.8000 0.0281
495.1000 0.0283
495.7000 0.0285
498.2000 0.0286
498.4000 0.0288
499.4000 0.0290
499.9000 0.0292
500.9000 0.0293
502.6000 0.0295
509.1000 0.0297
511.0000 0.0299
515.1000 0.0300
515.1000 0.0302
517.5000 0.0304
519.9000 0.0306
524.7000 0.0307
526.3000 0.0309
527.2000 0.0311
528.2000 0.0312
529.3000 0.0314
533.3000 0.0316
535.7000 0.0318
536.1000 0.0319
538.0000 0.0321
539.2000 0.0323
539.7000 0.0325
540.0000 0.0326
544.7000 0.0328
545.2000 0.0330
548.3000 0.0332
550.8000 0.0333
552.3000 0.0335
553.1000 0.0337
555.3000 0.0339
555.4000 0.0340
557.8000 0.0342
557.8000 0.0344
559.2000 0.0345
561.7000 0.0347
561.8000 0.0349
562.8000 0.0351
562.9000 0.0352
564.9000 0.0354
565.5000 0.0356
565.5000 0.0358
565.6000 0.0359
568.5000 0.0361
571.4000 0.0363
572.6000 0.0365
573.6000 0.0366
576.3000 0.0368
576.4000 0.0370
577.1000 0.0372
577.4000 0.0373
578.2000 0.0375
578.6000 0.0377
580.0000 0.0378
581.0000 0.0380
581.7000 0.0382
583.6000 0.0384
584.5000 0.0385
584.8000 0.0387
585.4000 0.0389
586.0000 0.0391
587.8000 0.0392
591.5000 0.0394
591.6000 0.0396
591.9000 0.0398
594.1000 0.0399
596.4000 0.0401
599.7000 0.0403
601.3000 0.0405
602.1000 0.0406
605.4000 0.0408
606.5000 0.0410
606.7000 0.0411
607.6000 0.0413
607.7000 0.0415
610.1000 0.0417
611.3000 0.0418
616.3000 0.0420
618.2000 0.0422
620.0000 0.0424
621.3000 0.0425
626.5000 0.0427
627.2000 0.0429
627.4000 0.0431
627.7000 0.0432
631.1000 0.0434
631.7000 0.0436
646.6000 0.0437
646.6000 0.0439
648.8000 0.0441
652.6000 0.0443
654.2000 0.0444
655.6000 0.0446
657.4000 0.0448
657.6000 0.0450
657.7000 0.0451
658.7000 0.0453
661.7000 0.0455
672.9000 0.0457
673.4000 0.0458
676.4000 0.0460
678.7000 0.0462
679.7000 0.0464
686.1000 0.0465
686.5000 0.0467
686.7000 0.0469
688.2000 0.0470
692.1000 0.0472
693.7000 0.0474
695.4000 0.0476
696.8000 0.0477
702.3000 0.0479
703.1000 0.0481
704.9000 0.0483
710.1000 0.0484
712.7000 0.0486
713.8000 0.0488
713.9000 0.0490
717.6000 0.0491
718.6000 0.0493
718.7000 0.0495
720.5000 0.0497
720.6000 0.0498
723.5000 0.0500
726.5000 0.0502
732.2000 0.0503
734.1000 0.0505
734.3000 0.0507
737.4000 0.0509
739.9000 0.0510
741.4000 0.0512
744.8000 0.0514
745.2000 0.0516
745.5000 0.0517
746.2000 0.0519
748.7000 0.0521
748.7000 0.0523
750.9000 0.0524
752.5000 0.0526
754.7000 0.0528
754.9000 0.0530
760.5000 0.0531
760.7000 0.0533
762.3000 0.0535
766.6000 0.0536
766.8000 0.0538
766.9000 0.0540
767.9000 0.0542
769.0000 0.0543
769.3000 0.0545
770.7000 0.0547
771.3000 0.0549
773.5000 0.0550
779.5000 0.0552
780.3000 0.0554
790.5000 0.0556
791.1000 0.0557
793.5000 0.0559
796.6000 0.0561
797.6000 0.0562
798.8000 0.0564
805.3000 0.0566
806.1000 0.0568
806.3000 0.0569
807.5000 0.0571
808.1000 0.0573
811.5000 0.0575
812.5000 0.0576
814.6000 0.0578
814.6000 0.0580
821.9000 0.0582
823.6000 0.0583
823.7000 0.0585
827.7000 0.0587
828.8000 0.0589
829.3000 0.0590
835.2000 0.0592
836.2000 0.0594
837.2000 0.0595
837.7000 0.0597
838.0000 0.0599
839.3000 0.0601
840.6000 0.0602
843.2000 0.0604
846.8000 0.0606
848.0000 0.0608
848.8000 0.0609
849.0000 0.0611
854.9000 0.0613
854.9000 0.0615
857.9000 0.0616
858.7000 0.0618
860.0000 0.0620
861.6000 0.0622
862.4000 0.0623
866.0000 0.0625
868.3000 0.0627
876.9000 0.0628
877.6000 0.0630
878.6000 0.0632
880.5000 0.0634
883.6000 0.0635
884.2000 0.0637
884.5000 0.0639
884.8000 0.0641
885.7000 0.0642
887.1000 0.0644
887.7000 0.0646
896.1000 0.0648
901.0000 0.0649
902.6000 0.0651
906.5000 0.0653
908.2000 0.0655
910.1000 0.0656
912.1000 0.0658
914.7000 0.0660
915.0000 0.0661
917.4000 0.0663
918.8000 0.0665
923.5000 0.0667
929.4000 0.0668
930.2000 0.0670
930.4000 0.0672
930.7000 0.0674
934.1000 0.0675
938.6000 0.0677
939.5000 0.0679
939.6000 0.0681
941.3000 0.0682
944.5000 0.0684
948.0000 0.0686
948.7000 0.0687
949.0000 0.0689
949.5000 0.0691
950.2000 0.0693
950.6000 0.0694
950.7000 0.0696
953.6000 0.0698
955.0000 0.0700
955.7000 0.0701
962.8000 0.0703
970.7000 0.0705
971.5000 0.0707
971.9000 0.0708
984.5000 0.0710
991.1000 0.0712
991.2000 0.0714
992.8000 0.0715
993.9000 0.0717
998.5000 0.0719
999.5000 0.0720
1003.5000 0.0722
1007.2000 0.0724
1007.3000 0.0726
1007.4000 0.0727
1008.5000 0.0729
1011.1000 0.0731
1011.4000 0.0733
1012.3000 0.0734
1013.6000 0.0736
1015.1000 0.0738
1018.1000 0.0740
1019.9000 0.0741
1020.0000 0.0743
1020.3000 0.0745
1023.4000 0.0747
1024.1000 0.0748
1028.5000 0.0750
1030.5000 0.0752
1037.8000 0.0753
1041.1000 0.0755
1043.6000 0.0757
1044.6000 0.0759
1044.9000 0.0760
1047.9000 0.0762
1055.5000 0.0764
1057.3000 0.0766
1057.8000 0.0767
1061.1000 0.0769
1064.1000 0.0771
1065.5000 0.0773
1065.6000 0.0774
1069.0000 0.0776
1069.6000 0.0778
1073.3000 0.0780
1087.7000 0.0781
1088.3000 0.0783
1097.3000 0.0785
1100.5000 0.0786
1100.6000 0.0788
1100.9000 0.0790
1101.1000 0.0792
1102.6000 0.0793
1111.4000 0.0795
1115.1000 0.0797
1117.0000 0.0799
1118.7000 0.0800
1119.0000 0.0802
1120.9000 0.0804
1121.0000 0.0806
1122.8000 0.0807
1123.2000 0.0809
1125.6000 0.0811
1129.0000 0.0812
1129.4000 0.0814
1132.0000 0.0816
1132.7000 0.0818
1133.0000 0.0819
1133.4000 0.0821
1134.4000 0.0823
1135.1000 0.0825
1135.8000 0.0826
1136.3000 0.0828
1138.6000 0.0830
1141.2000 0.0832
1142.7000 0.0833
1143.4000 0.0835
1143.8000 0.0837
1144.6000 0.0839
1145.6000 0.0840
1149.9000 0.0842
1152.5000 0.0844
1155.3000 0.0845
