# messageDelay  cumulativeProbability
1.0000 0.0000
1.0000 0.0001
1.0000 0.0001
1.0000 0.0001
1.0000 0.0002
1.0000 0.0002
1.0000 0.0002
1.0000 0.0003
1.0000 0.0003
1.0000 0.0003
1.0000 0.0004
1.0000 0.0004
1.0000 0.0005
1.0000 0.0005
1.0000 0.0005
1.0000 0.0006
1.0000 0.0006
1.0000 0.0006
1.0000 0.0007
1.0000 0.0007
1.0000 0.0007
1.0000 0.0008
1.0000 0.0008
1.0000 0.0008
1.0000 0.0009
1.0000 0.0009
1.0000 0.0009
1.0000 0.0010
1.0000 0.0010
1.0000 0.0010
1.0000 0.0011
1.0000 0.0011
1.0000 0.0011
1.0000 0.0012
1.0000 0.0012
1.0000 0.0013
1.0000 0.0013
1.0000 0.0013
1.0000 0.0014
1.0000 0.0014
1.0000 0.0014
1.0000 0.0015
1.0000 0.0015
1.0000 0.0015
1.0000 0.0016
1.0000 0.0016
1.0000 0.0016
1.0000 0.0017
1.0000 0.0017
1.0000 0.0017
1.0000 0.0018
1.0000 0.0018
1.0000 0.0018
1.0000 0.0019
1.0000 0.0019
1.0000 0.0019
1.0000 0.0020
1.0000 0.0020
1.0000 0.0020
1.0000 0.0021
1.0000 0.0021
1.0000 0.0022
1.0000 0.0022
1.0000 0.0022
1.0000 0.0023
1.0000 0.0023
1.0000 0.0023
1.0000 0.0024
1.0000 0.0024
1.0000 0.0024
1.0000 0.0025
1.0000 0.0025
1.0000 0.0025
1.0000 0.0026
1.0000 0.0026
1.0000 0.0026
1.0000 0.0027
1.0000 0.0027
1.0000 0.0027
1.0000 0.0028
1.0000 0.0028
1.0000 0.0028
1.0000 0.0029
1.0000 0.0029
1.0000 0.0030
1.0000 0.0030
1.0000 0.0030
1.0000 0.0031
1.0000 0.0031
1.0000 0.0031
1.0000 0.0032
1.0000 0.0032
1.0000 0.0032
1.0000 0.0033
1.0000 0.0033
1.0000 0.0033
1.0000 0.0034
1.0000 0.0034
1.0000 0.0034
1.0000 0.0035
1.0000 0.0035
1.0000 0.0035
1.0000 0.0036
1.0000 0.0036
1.0000 0.0036
1.0000 0.0037
1.0000 0.0037
1.0000 0.0037
1.0000 0.0038
1.0000 0.0038
1.0000 0.0039
1.0000 0.0039
1.0000 0.0039
1.0000 0.0040
1.0000 0.0040
1.0000 0.0040
1.0000 0.0041
1.0000 0.0041
1.0000 0.0041
1.0000 0.0042
1.0000 0.0042
1.0000 0.0042
1.0000 0.0043
1.0000 0.0043
1.0000 0.0043
1.0000 0.0044
1.0000 0.0044
1.3000 0.0044
1.5000 0.0045
1.6000 0.0045
2.0000 0.0045
2.0000 0.0046
2.0000 0.0046
2.0000 0.0047
2.0000 0.0047
2.0000 0.0047
2.0000 0.0048
2.0000 0.0048
2.0000 0.0048
2.0000 0.0049
3.4000 0.0049
32.4000 0.0049
39.3000 0.0050
44.7000 0.0050
50.6000 0.0050
51.2000 0.0051
54.4000 0.0051
54.9000 0.0051
55.0000 0.0052
60.8000 0.0052
61.4000 0.0052
61.8000 0.0053
61.8000 0.0053
62.0000 0.0053
66.8000 0.0054
67.6000 0.0054
71.0000 0.0055
71.1000 0.0055
71.4000 0.0055
71.5000 0.0056
75.1000 0.0056
77.0000 0.0056
78.8000 0.0057
81.5000 0.0057
85.0000 0.0057
85.5000 0.0058
87.1000 0.0058
87.1000 0.0058
92.0000 0.0059
95.2000 0.0059
97.0000 0.0059
98.3000 0.0060
100.1000 0.0060
100.9000 0.0060
101.5000 0.0061
101.9000 0.0061
103.8000 0.0061
105.9000 0.0062
106.9000 0.0062
108.2000 0.0063
110.0000 0.0063
112.1000 0.0063
112.2000 0.0064
116.9000 0.0064
118.0000 0.0064
118.1000 0.0065
119.2000 0.0065
119.7000 0.0065
122.1000 0.0066
123.5000 0.0066
123.7000 0.0066
124.9000 0.0067
127.4000 0.0067
127.9000 0.0067
128.2000 0.0068
129.9000 0.0068
131.7000 0.0068
132.5000 0.0069
132.7000 0.0069
132.9000 0.0069
133.2000 0.0070
134.1000 0.0070
134.6000 0.0070
136.9000 0.0071
137.3000 0.0071
145.1000 0.0072
146.8000 0.0072
147.5000 0.0072
147.8000 0.0073
148.0000 0.0073
149.5000 0.0073
149.7000 0.0074
150.8000 0.0074
153.8000 0.0074
154.5000 0.0075
154.7000 0.0075
155.2000 0.0075
161.6000 0.0076
162.0000 0.0076
162.1000 0.0076
163.2000 0.0077
163.7000 0.0077
165.1000 0.0077
165.5000 0.0078
165.8000 0.0078
166.3000 0.0078
168.7000 0.0079
169.3000 0.0079
172.0000 0.0080
172.8000 0.0080
175.8000 0.0080
175.9000 0.0081
176.5000 0.0081
176.7000 0.0081
177.6000 0.0082
179.1000 0.0082
180.5000 0.0082
181.3000 0.0083
182.6000 0.0083
183.8000 0.0083
184.0000 0.0084
184.9000 0.0084
185.3000 0.0084
185.9000 0.0085
186.8000 0.0085
187.3000 0.0085
189.1000 0.0086
190.5000 0.0086
190.5000 0.0086
191.3000 0.0087
192.4000 0.0087
193.4000 0.0088
193.4000 0.0088
193.7000 0.0088
193.7000 0.0089
194.0000 0.0089
194.6000 0.0089
194.6000 0.0090
194.9000 0.0090
195.9000 0.0090
196.6000 0.0091
197.8000 0.0091
197.9000 0.0091
198.8000 0.0092
198.9000 0.0092
200.0000 0.0092
201.0000 0.0093
201.6000 0.0093
202.9000 0.0093
203.3000 0.0094
203.6000 0.0094
205.0000 0.0094
205.3000 0.0095
205.4000 0.0095
208.6000 0.0095
208.9000 0.0096
209.9000 0.0096
210.1000 0.0097
211.2000 0.0097
211.7000 0.0097
211.8000 0.0098
213.0000 0.0098
215.7000 0.0098
216.0000 0.0099
217.0000 0.0099
217.8000 0.0099
218.7000 0.0100
219.5000 0.0100
220.0000 0.0100
220.5000 0.0101
220.8000 0.0101
222.0000 0.0101
222.5000 0.0102
223.8000 0.0102
226.2000 0.0102
228.2000 0.0103
230.4000 0.0103
230.6000 0.0103
231.3000 0.0104
231.5000 0.0104
233.1000 0.0105
233.6000 0.0105
234.3000 0.0105
236.0000 0.0106
236.1000 0.0106
237.2000 0.0106
237.8000 0.0107
238.0000 0.0107
238.4000 0.0107
238.7000 0.0108
239.4000 0.0108
240.4000 0.0108
240.6000 0.0109
240.6000 0.0109
240.6000 0.0109
240.9000 0.0110
241.6000 0.0110
242.1000 0.0110
242.4000 0.0111
243.0000 0.0111
244.0000 0.0111
246.6000 0.0112
246.6000 0.0112
246.7000 0.0113
247.3000 0.0113
247.5000 0.0113
247.8000 0.0114
247.9000 0.0114
248.2000 0.0114
248.8000 0.0115
249.9000 0.0115
250.0000 0.0115
250.5000 0.0116
250.6000 0.0116
250.7000 0.0116
252.5000 0.0117
253.8000 0.0117
255.2000 0.0117
255.3000 0.0118
255.4000 0.0118
255.9000 0.0118
256.0000 0.0119
256.4000 0.0119
256.9000 0.0119
257.1000 0.0120
257.7000 0.0120
258.4000 0.0120
259.0000 0.0121
259.7000 0.0121
260.6000 0.0122
261.9000 0.0122
262.0000 0.0122
262.9000 0.0123
263.2000 0.0123
265.1000 0.0123
265.4000 0.0124
265.5000 0.0124
266.1000 0.0124
267.6000 0.0125
267.7000 0.0125
267.8000 0.0125
270.8000 0.0126
271.8000 0.0126
272.4000 0.0126
273.0000 0.0127
273.3000 0.0127
273.8000 0.0127
