# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1844.0000 M613 5000000 1 5.0000 S27 S14 599 N S27->S14
3245.0000 M1080 5000000 1 5.0000 S51 S70 599 N S51->S70
3806.0000 M1267 5000000 1 5.0000 S51 S70 599 N S51->S70
4142.0000 M1379 5000000 1 5.0000 S45 S0 599 N S45->S0
5693.0000 M1896 5000000 1 5.0000 S31 S4 599 N S31->S4
5810.0000 M1935 5000000 1 5.0000 S6 S1 599 N S6->S1
6323.0000 M2106 5000000 1 5.0000 S73 S40 599 N S73->S40
6815.0000 M2270 5000000 1 5.0000 S1 S6 599 N S1->S6
7130.0000 M2375 5000000 1 5.0000 S12 S61 599 N S12->S61
7346.0000 M2447 5000000 1 5.0000 S40 S73 599 N S40->S73
8453.0000 M2816 5000000 1 5.0000 S26 S25 599 N S26->S25
8702.0000 M2899 5000000 1 5.0000 S6 S60 599 N S6->S60
8840.0000 M2945 5000000 1 5.0000 S45 S0 599 N S45->S0
9392.0000 M3129 5000000 1 5.0000 S77 S3 599 N S77->S3
9524.0000 M3173 5000000 1 5.0000 S73 S40 599 N S73->S40
10499.0000 M3498 5000000 1 5.0000 S60 S1 599 N S60->S1
10814.0000 M3603 5000000 1 5.0000 S73 S40 599 N S73->S40
10835.0000 M3610 5000000 1 5.0000 S6 S60 599 N S6->S60
11204.0000 M3733 5000000 1 5.0000 S6 S1 599 N S6->S1
11630.0000 M3875 5000000 1 5.0000 S61 S72 599 N S61->S72
12215.0000 M4070 5000000 1 5.0000 S14 S27 599 N S14->S27
12449.0000 M4148 5000000 1 5.0000 S35 S77 599 N S35->S77
12530.0000 M4175 5000000 1 5.0000 S12 S61 599 N S12->S61
12584.0000 M4193 5000000 1 5.0000 S6 S1 599 N S6->S1
13292.0000 M4429 5000000 1 5.0000 S45 S0 599 N S45->S0
13697.0000 M4564 5000000 1 5.0000 S73 S40 599 N S73->S40
13898.0000 M4631 5000000 1 5.0000 S4 S31 599 N S4->S31
14306.0000 M4767 5000000 1 5.0000 S72 S61 599 N S72->S61
14483.0000 M4826 5000000 1 5.0000 S16 S67 599 N S16->S67
16025.0000 M5340 5000000 1 5.0000 S70 S51 599 N S70->S51
16934.0000 M5643 5000000 1 5.0000 S40 S73 599 N S40->S73
17225.0000 M5740 5000000 1 5.0000 S6 S1 599 N S6->S1
17588.0000 M5861 5000000 1 5.0000 S67 S16 599 N S67->S16
18584.0000 M6193 5000000 1 5.0000 S51 S70 599 N S51->S70
18962.0000 M6319 5000000 1 5.0000 S45 S0 599 N S45->S0
20951.0000 M6982 5000000 1 5.0000 S4 S31 599 N S4->S31
22376.0000 M7457 5000000 1 5.0000 S67 S16 599 N S67->S16
22799.0000 M7598 5000000 1 5.0000 S12 S61 599 N S12->S61
23480.0000 M7825 5000000 1 5.0000 S60 S1 599 N S60->S1
24053.0000 M8016 5000000 1 5.0000 S78 S72 599 N S78->S72
25721.0000 M8572 5000000 1 5.0000 S72 S12 599 N S72->S12
26327.0000 M8774 5000000 1 5.0000 S60 S6 599 N S60->S6
26801.0000 M8932 5000000 1 5.0000 S0 S45 599 N S0->S45
27335.0000 M9110 5000000 1 5.0000 S51 S70 599 N S51->S70
27980.0000 M9325 5000000 1 5.0000 S25 S26 599 N S25->S26
