# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1840.0000 M613 5000000 1 1.0000 S27 S14 599 N S27->S14
3241.0000 M1080 5000000 1 1.0000 S51 S70 599 N S51->S70
3802.0000 M1267 5000000 1 1.0000 S51 S70 599 N S51->S70
4138.0000 M1379 5000000 1 1.0000 S45 S0 599 N S45->S0
5689.0000 M1896 5000000 1 1.0000 S31 S4 599 N S31->S4
5806.0000 M1935 5000000 1 1.0000 S6 S1 599 N S6->S1
6319.0000 M2106 5000000 1 1.0000 S73 S40 599 N S73->S40
6811.0000 M2270 5000000 1 1.0000 S1 S6 599 N S1->S6
7126.0000 M2375 5000000 1 1.0000 S12 S61 599 N S12->S61
7342.0000 M2447 5000000 1 1.0000 S40 S73 599 N S40->S73
8449.0000 M2816 5000000 1 1.0000 S26 S25 599 N S26->S25
8698.0000 M2899 5000000 1 1.0000 S6 S60 599 N S6->S60
8836.0000 M2945 5000000 1 1.0000 S45 S0 599 N S45->S0
9388.0000 M3129 5000000 1 1.0000 S77 S3 599 N S77->S3
9520.0000 M3173 5000000 1 1.0000 S73 S40 599 N S73->S40
10495.0000 M3498 5000000 1 1.0000 S60 S1 599 N S60->S1
10810.0000 M3603 5000000 1 1.0000 S73 S40 599 N S73->S40
10831.0000 M3610 5000000 1 1.0000 S6 S60 599 N S6->S60
11200.0000 M3733 5000000 1 1.0000 S6 S1 599 N S6->S1
11626.0000 M3875 5000000 1 1.0000 S61 S72 599 N S61->S72
12211.0000 M4070 5000000 1 1.0000 S14 S27 599 N S14->S27
12445.0000 M4148 5000000 1 1.0000 S35 S77 599 N S35->S77
12526.0000 M4175 5000000 1 1.0000 S12 S61 599 N S12->S61
12580.0000 M4193 5000000 1 1.0000 S6 S1 599 N S6->S1
13288.0000 M4429 5000000 1 1.0000 S45 S0 599 N S45->S0
13693.0000 M4564 5000000 1 1.0000 S73 S40 599 N S73->S40
13894.0000 M4631 5000000 1 1.0000 S4 S31 599 N S4->S31
14302.0000 M4767 5000000 1 1.0000 S72 S61 599 N S72->S61
14479.0000 M4826 5000000 1 1.0000 S16 S67 599 N S16->S67
16021.0000 M5340 5000000 1 1.0000 S70 S51 599 N S70->S51
16930.0000 M5643 5000000 1 1.0000 S40 S73 599 N S40->S73
17221.0000 M5740 5000000 1 1.0000 S6 S1 599 N S6->S1
17584.0000 M5861 5000000 1 1.0000 S67 S16 599 N S67->S16
18580.0000 M6193 5000000 1 1.0000 S51 S70 599 N S51->S70
18958.0000 M6319 5000000 1 1.0000 S45 S0 599 N S45->S0
20947.0000 M6982 5000000 1 1.0000 S4 S31 599 N S4->S31
22372.0000 M7457 5000000 1 1.0000 S67 S16 599 N S67->S16
22795.0000 M7598 5000000 1 1.0000 S12 S61 599 N S12->S61
23476.0000 M7825 5000000 1 1.0000 S60 S1 599 N S60->S1
24049.0000 M8016 5000000 1 1.0000 S78 S72 599 N S78->S72
25717.0000 M8572 5000000 1 1.0000 S72 S12 599 N S72->S12
26323.0000 M8774 5000000 1 1.0000 S60 S6 599 N S60->S6
26797.0000 M8932 5000000 1 1.0000 S0 S45 599 N S0->S45
27331.0000 M9110 5000000 1 1.0000 S51 S70 599 N S51->S70
27976.0000 M9325 5000000 1 1.0000 S25 S26 599 N S25->S26
