# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
587.0000 M35 1000000 2 412.0000 S157 S164 193 N S157->3_234->S164
832.9000 M88 1000000 2 392.9000 S32 S114 193 N S32->2_224->S114
917.9000 M144 1000000 2 197.9000 S19 S174 196 N S19->4_246->S174
1004.7000 M39 1000000 2 809.7000 S144 S2 186 N S144->2_225->S2
1152.5000 M152 1000000 2 392.5000 S28 S113 193 N S28->4_246->S113
1245.8000 M143 1000000 2 530.8000 S207 S181 191 N S207->2_224->S181
1335.4000 M5 1000000 2 1310.4000 S194 S56 178 N S194->7_276->S56
1373.3000 M34 1000000 2 1203.3000 S187 S141 179 N S187->2_225->S141
1419.7000 M30 1000000 2 1269.7000 S101 S211 178 N S101->3_234->S211
1425.2000 M53 1000000 2 1160.2000 S59 S119 180 N S59->3_234->S119
1461.3000 M153 1000000 2 696.3000 S51 S124 188 N S51->3_235->S124
1479.3000 M99 1000000 2 984.3000 S7 S64 183 N S7->2_224->S64
1551.4000 M7 1000000 2 1516.4000 S207 S196 174 N S207->3_234->S196
1592.7000 M228 1000000 2 452.7000 S148 S151 192 N S148->9_306->S151
1600.6000 M165 1000000 2 775.6000 S88 S104 187 N S88->9_305->S104
1634.2000 M25 1000000 2 1509.2000 S187 S26 174 N S187->4_245->S26
1680.2000 M24 1000000 2 1560.2000 S136 S20 173 N S136->2_225->S20
1729.2000 M202 1000000 2 719.2000 S133 S199 188 N S133->4_246->S199
1779.6000 M229 1000000 2 634.6000 S7 S5 189 N S7->9_305->S5
1788.5000 M113 1000000 2 1223.5000 S20 S93 179 N S20->9_305->S93
1814.3000 M150 1000000 2 1064.3000 S81 S47 182 N S81->7_276->S47
1873.3000 M105 1000000 2 1348.3000 S124 S59 177 N S124->3_235->S59
1899.3000 M128 1000000 2 1259.3000 S202 S151 179 N S202->2_224->S151
1901.4000 M286 1000000 2 471.4000 S96 S149 192 N S96->7_277->S149
1929.4000 M174 1000000 2 1059.4000 S97 S55 182 N S97->9_306->S55
1941.5000 M136 1000000 2 1261.5000 S151 S189 178 N S151->3_234->S189
1942.5000 M64 1000000 2 1622.5000 S94 S189 172 N S94->3_234->S189
2011.7000 M140 1000000 2 1311.7000 S65 S3 178 N S65->7_275->S3
2017.3000 M222 1000000 2 907.3000 S144 S14 184 N S144->2_224->S14
2019.8000 M14 1000000 2 1949.8000 S192 S38 167 N S192->2_225->S38
2020.4000 M357 1000000 2 235.4000 S26 S118 196 N S26->4_245->S118
2049.3000 M219 1000000 2 954.3000 S65 S104 184 N S65->7_276->S104
2061.3000 M345 1000000 2 336.3000 S5 S82 194 N S5->9_305->S82
2077.6000 M325 1000000 2 452.6000 S142 S187 192 N S142->7_277->S187
2079.5000 M275 1000000 2 704.5000 S14 S134 188 N S14->2_224->S134
2080.5000 M70 1000000 2 1730.5000 S2 S134 171 N S2->2_224->S134
2085.8000 M27 1000000 2 1950.8000 S71 S81 167 N S71->7_275->S81
2108.8000 M189 1000000 2 1163.8000 S195 S187 180 N S195->3_236->S187
2121.3000 M285 1000000 2 696.3000 S104 S149 188 N S104->9_305->S149
2141.1000 M250 1000000 2 891.1000 S30 S161 185 N S30->2_224->S161
2147.2000 M277 1000000 2 762.2000 S154 S56 187 N S154->7_275->S56
2148.2000 M21 1000000 2 2043.2000 S83 S56 165 N S83->7_275->S56
2170.8000 M183 1000000 2 1255.8000 S5 S20 179 N S5->9_306->S20
2175.3000 M266 1000000 2 845.3000 S206 S22 185 N S206->3_235->S22
2176.3000 M256 1000000 2 896.3000 S154 S89 185 N S154->3_235->S89
2188.5000 M172 1000000 2 1328.5000 S72 S173 177 N S72->2_225->S173
2202.2000 M312 1000000 2 642.2000 S132 S190 189 N S132->2_224->S190
2211.0000 M178 1000000 2 1321.0000 S199 S44 177 N S199->4_246->S44
2230.6000 M33 1000000 2 2065.6000 S67 S170 165 N S67->7_276->S170
2230.7000 M272 1000000 2 870.7000 S163 S96 185 N S163->9_305->S96
2231.7000 M313 1000000 2 666.7000 S55 S83 188 N S55->9_305->S83
2236.6000 M260 1000000 2 936.6000 S180 S62 184 N S180->4_246->S62
2255.1000 M360 1000000 2 455.1000 S155 S132 192 N S155->7_277->S132
2299.0000 M179 1000000 2 1404.0000 S112 S75 176 N S112->9_305->S75
2301.8000 M245 1000000 2 1076.8000 S19 S132 182 N S19->4_245->S132
2303.8000 M196 1000000 2 1323.8000 S40 S168 177 N S40->7_275->S168
2304.8000 M68 1000000 2 1964.8000 S96 S168 167 N S96->7_275->S168
2355.7000 M372 1000000 2 495.7000 S58 S101 191 N S58->3_235->S101
2364.4000 M330 1000000 2 714.4000 S135 S68 188 N S135->6T_260->S68
2379.5000 M294 1000000 2 909.5000 S163 S175 184 N S163->9_306->S175
2388.0000 M361 1000000 2 583.0000 S112 S55 190 N S112->3_236->S55
2408.1000 M50 1000000 2 2158.1000 S164 S21 164 N S164->3_235->S21
2413.8000 M163 1000000 2 1598.8000 S93 S129 173 N S93->9_305->S129
2418.2000 M67 1000000 2 2083.2000 S183 S161 165 N S183->7_276->S161
2418.3000 M339 1000000 2 723.3000 S151 S95 187 N S151->9_305->S95
2442.4000 M204 1000000 2 1422.4000 S97 S170 176 N S97->7_277->S170
2445.2000 M263 1000000 2 1130.2000 S20 S181 181 N S20->2_226->S181
2452.5000 M350 1000000 2 702.5000 S94 S1 188 N S94->9_306->S1
2472.8000 M106 1000000 2 1942.8000 S55 S11 167 N S55->3_235->S11
2473.8000 M56 1000000 2 2193.8000 S33 S204 163 N S33->3_235->S204
2491.2000 M238 1000000 2 1301.2000 S152 S5 178 N S152->7_277->S5
2497.0000 M254 1000000 2 1227.0000 S123 S132 179 N S123->4_247->S132
2535.0000 M287 1000000 2 1100.0000 S206 S86 181 N S206->3_235->S86
2546.4000 M415 1000000 2 471.4000 S127 S126 192 N S127->3_234->S126
2570.2000 M132 1000000 2 1910.2000 S32 S136 168 N S32->2_226->S136
2573.2000 M337 1000000 2 888.2000 S197 S141 185 N S197->2_227->S141
2590.4000 M479 1000000 2 195.4000 S85 S51 196 N S85->3_234->S51
2599.6000 M297 1000000 2 1114.6000 S89 S150 181 N S89->3_235->S150
2600.6000 M81 1000000 2 2195.6000 S107 S150 163 N S107->3_235->S150
2601.6000 M192 1000000 2 1641.6000 S123 S150 172 N S123->3_235->S150
2602.5000 M32 1000000 2 2442.5000 S81 S117 159 N S81->7_276->S117
2625.4000 M417 1000000 2 540.4000 S158 S47 190 N S158->9_307->S47
2641.4000 M115 1000000 2 2066.4000 S16 S187 165 N S16->7_276->S187
2657.6000 M375 1000000 2 782.6000 S112 S124 186 N S112->3_236->S124
2672.0000 M329 1000000 2 1027.0000 S134 S9 182 N S134->7_277->S9
2673.7000 M384 1000000 2 753.7000 S77 S102 187 N S77->2_226->S102
2674.7000 M289 1000000 2 1229.7000 S192 S102 179 N S192->2_226->S102
2697.9000 M267 1000000 2 1362.9000 S17 S51 177 N S17->3_236->S51
2698.9000 M284 1000000 2 1278.9000 S17 S51 178 N S17->3_236->S51
2699.1000 M220 1000000 2 1599.1000 S127 S211 173 N S127->3_234->S211
2699.9000 M149 1000000 2 1954.9000 S17 S51 167 N S17->3_236->S51
2783.3000 M215 1000000 2 1708.3000 S62 S118 171 N S62->4_247->S118
2807.4000 M454 1000000 2 537.4000 S148 S117 191 N S148->9_308->S117
2843.1000 M185 1000000 2 1918.1000 S115 S52 168 N S115->3_236->S52
2853.2000 M392 1000000 2 893.2000 S170 S94 185 N S170->7_277->S94
2894.2000 M186 1000000 2 1964.2000 S65 S83 167 N S65->7_276->S83
2899.7000 M276 1000000 2 1519.7000 S17 S107 174 N S17->3_236->S107
2930.6000 M460 1000000 2 630.6000 S103 S199 189 N S103->4_245->S199
3026.0000 M445 1000000 2 801.0000 S183 S88 186 N S183->7_277->S88
3085.6000 M385 1000000 2 1160.6000 S206 S65 180 N S206->7_277->S65
3091.6000 M307 1000000 2 1556.6000 S192 S187 174 N S192->2_226->S187
3104.1000 M504 1000000 2 584.1000 S126 S184 190 N S126->3_236->S184
3138.9000 M429 1000000 2 993.9000 S47 S117 183 N S47->9_307->S117
3164.3000 M555 1000000 2 389.3000 S7 S147 193 N S7->7_277->S147
3182.1000 M410 1000000 2 1132.1000 S93 S187 181 N S93->9_307->S187
3194.4000 M553 1000000 2 429.4000 S33 S151 192 N S33->3_234->S151
3197.7000 M443 1000000 2 982.7000 S189 S23 183 N S189->3_236->S23
3216.7000 M397 1000000 2 1231.7000 S20 S14 179 N S20->2_226->S14
3234.3000 M554 1000000 2 464.3000 S127 S49 192 N S127->4_245->S49
3259.8000 M461 1000000 2 954.8000 S93 S100 184 N S93->9_308->S100
3265.7000 M560 1000000 2 465.7000 S104 S8 192 N S104->3_234->S8
3278.4000 M200 1000000 2 2278.4000 S171 S40 162 N S171->7_277->S40
3293.6000 M446 1000000 2 1063.6000 S180 S25 182 N S180->4_245->S25
3367.3000 M556 1000000 2 587.3000 S61 S28 190 N S61->4_247->S28
3403.6000 M319 1000000 2 1808.6000 S114 S190 169 N S114->2_226->S190
3404.2000 M522 1000000 2 794.2000 S113 S2 186 N S113->2_224->S2
3414.7000 M438 1000000 2 1224.7000 S150 S42 179 N S150->3_237->S42
3438.4000 M379 1000000 2 1543.4000 S111 S62 174 N S111->4_245->S62
3466.4000 M448 1000000 2 1226.4000 S161 S156 179 N S161->2_224->S156
3491.0000 M698 1000000 1 1.0000 S48 S120 199 N S48->S120
3502.4000 M311 1000000 2 1947.4000 S1 S97 167 N S1->9_307->S97
3503.4000 M589 1000000 2 558.4000 S117 S97 190 N S117->9_307->S97
3530.2000 M390 1000000 2 1580.2000 S41 S158 173 N S41->9_308->S158
3621.9000 M207 1000000 2 2586.9000 S5 S140 156 N S5->3_234->S140
3645.0000 M577 1000000 2 760.0000 S186 S113 187 N S186->4_246->S113
3652.4000 M563 1000000 2 837.4000 S88 S1 186 N S88->9_308->S1
3672.0000 M566 1000000 2 842.0000 S5 S204 185 N S5->3_234->S204
3673.0000 M293 1000000 2 2208.0000 S107 S204 163 N S107->3_234->S204
3702.6000 M578 1000000 2 812.6000 S102 S197 186 N S102->2_224->S197
3713.7000 M435 1000000 2 1538.7000 S176 S100 174 N S176->3_237->S100
3714.7000 M582 1000000 2 804.7000 S206 S100 186 N S206->3_237->S100
3731.7000 M488 1000000 2 1291.7000 S22 S18 178 N S22->3_234->S18
3743.7000 M451 1000000 2 1488.7000 S185 S205 175 N S185->9_308->S205
3798.9000 M468 1000000 2 1458.9000 S47 S176 175 N S47->3_234->S176
3820.7000 M669 1000000 2 475.7000 S183 S55 192 N S183->7_279->S55
3834.4000 M628 1000000 2 694.4000 S136 S74 188 N S136->2_224->S74
3853.7000 M663 1000000 2 538.7000 S210 S17 191 N S210->3_234->S17
3860.4000 M676 1000000 2 480.4000 S206 S155 191 N S206->7_278->S155
3922.0000 M470 1000000 2 1572.0000 S57 S103 173 N S57->4_247->S103
3947.0000 M430 1000000 2 1797.0000 S186 S92 170 N S186->4_246->S92
3948.0000 M622 1000000 2 838.0000 S113 S92 186 N S113->4_246->S92
3951.3000 M597 1000000 2 966.3000 S58 S196 183 N S58->3_237->S196
4038.1000 M503 1000000 2 1523.1000 S189 S154 174 N S189->3_236->S154
4040.3000 M529 1000000 2 1395.3000 S18 S130 176 N S18->3_237->S130
4040.9000 M571 1000000 2 1185.9000 S74 S119 180 N S74->2_224->S119
4045.3000 M576 1000000 2 1165.3000 S124 S52 180 N S124->3_237->S52
4063.0000 M539 1000000 2 1368.0000 S156 S47 177 N S156->2_224->S47
4098.9000 M659 1000000 2 803.9000 S117 S107 186 N S117->3_237->S107
4103.6000 M481 1000000 2 1698.6000 S155 S119 171 N S155->7_279->S119
4160.2000 M603 1000000 2 1145.2000 S133 S109 180 N S133->4_247->S109
4162.1000 M258 1000000 2 2872.1000 S124 S144 152 N S124->2_225->S144
4162.4000 M338 1000000 2 2472.4000 S187 S93 158 N S187->9_305->S93
4175.1000 M601 1000000 2 1170.1000 S211 S10 180 N S211->2_225->S10
4187.7000 M786 1000000 2 257.7000 S148 S83 195 N S148->7_276->S83
4223.7000 M843 1000000 2 8.7000 S5 S42 199 N S5->9_306->S42
4277.0000 M775 1000000 2 402.0000 S180 S127 193 N S180->4_247->S127
4285.1000 M514 1000000 2 1715.1000 S21 S127 171 N S21->3_237->S127
4292.6000 M635 1000000 2 1117.6000 S209 S187 181 N S209->2_225->S187
4336.7000 M376 1000000 2 2456.7000 S40 S50 159 N S40->7_278->S50
4352.8000 M716 1000000 2 772.8000 S143 S202 187 N S143->2_227->S202
4401.0000 M880 1000000 1 1.0000 S108 S57 199 N S108->S57
4407.4000 M680 1000000 2 1007.4000 S178 S187 183 N S178->3_236->S187
4423.7000 M528 1000000 2 1783.7000 S142 S200 170 N S142->7_279->S200
4427.7000 M679 1000000 2 1032.7000 S116 S143 182 N S116->2_224->S143
4450.7000 M793 1000000 2 485.7000 S88 S55 191 N S88->7_275->S55
4459.9000 M678 1000000 2 1069.9000 S129 S100 182 N S129->9_305->S100
4460.9000 M755 1000000 2 685.9000 S149 S100 188 N S149->9_305->S100
4480.7000 M544 1000000 2 1760.7000 S135 S134 170 N S135->2_225->S134
4487.1000 M650 1000000 2 1237.1000 S132 S81 179 N S132->7_279->S81
