# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
591.0000 M35 5000000 2 416.0000 S157 S164 193 N S157->3_234->S164
844.4000 M88 5000000 2 404.4000 S32 S114 193 N S32->2_224->S114
925.9000 M144 5000000 2 205.9000 S19 S174 196 N S19->4_246->S174
1008.7000 M39 5000000 2 813.7000 S144 S2 186 N S144->2_225->S2
1156.5000 M152 5000000 2 396.5000 S28 S113 193 N S28->4_246->S113
1249.8000 M143 5000000 2 534.8000 S207 S181 191 N S207->2_224->S181
1339.4000 M5 5000000 2 1314.4000 S194 S56 178 N S194->7_276->S56
1381.1000 M34 5000000 2 1211.1000 S187 S141 179 N S187->2_225->S141
1430.4000 M53 5000000 2 1165.4000 S59 S119 180 N S59->3_234->S119
1465.4000 M153 5000000 2 700.4000 S51 S124 188 N S51->3_235->S124
1492.7000 M99 5000000 2 997.7000 S7 S64 183 N S7->2_224->S64
1596.7000 M228 5000000 2 456.7000 S148 S151 192 N S148->9_306->S151
1604.6000 M165 5000000 2 779.6000 S88 S104 187 N S88->9_305->S104
1638.2000 M25 5000000 2 1513.2000 S187 S26 174 N S187->4_245->S26
1694.1000 M24 5000000 2 1574.1000 S136 S20 173 N S136->2_225->S20
1733.2000 M202 5000000 2 723.2000 S133 S199 187 N S133->4_246->S199
1786.4000 M229 5000000 2 641.4000 S7 S5 189 N S7->9_305->S5
1792.5000 M113 5000000 2 1227.5000 S20 S93 179 N S20->9_305->S93
1830.3000 M150 5000000 2 1080.3000 S81 S47 181 N S81->7_276->S47
1905.4000 M286 5000000 2 475.4000 S96 S149 192 N S96->7_277->S149
1915.5000 M128 5000000 2 1275.5000 S202 S151 178 N S202->2_224->S151
1933.4000 M174 5000000 2 1063.4000 S97 S55 182 N S97->9_306->S55
1945.5000 M136 5000000 2 1265.5000 S151 S189 178 N S151->3_234->S189
1950.5000 M64 5000000 2 1630.5000 S94 S189 172 N S94->3_234->S189
2015.7000 M140 5000000 2 1315.7000 S65 S3 178 N S65->7_275->S3
2023.8000 M14 5000000 2 1953.8000 S192 S38 167 N S192->2_225->S38
2024.4000 M357 5000000 2 239.4000 S26 S118 196 N S26->4_245->S118
2029.3000 M222 5000000 2 919.3000 S144 S14 184 N S144->2_224->S14
2053.3000 M219 5000000 2 958.3000 S65 S104 184 N S65->7_276->S104
2076.7000 M345 5000000 2 351.7000 S5 S82 194 N S5->9_305->S82
2083.5000 M275 5000000 2 708.5000 S14 S134 188 N S14->2_224->S134
2088.5000 M70 5000000 2 1738.5000 S2 S134 171 N S2->2_224->S134
2097.3000 M27 5000000 2 1962.3000 S71 S81 167 N S71->7_275->S81
2115.5000 M189 5000000 2 1170.5000 S195 S187 180 N S195->3_236->S187
2125.3000 M285 5000000 2 700.3000 S104 S149 188 N S104->9_305->S149
2145.1000 M250 5000000 2 895.1000 S30 S161 185 N S30->2_224->S161
2151.2000 M277 5000000 2 766.2000 S154 S56 187 N S154->7_275->S56
2156.2000 M21 5000000 2 2051.2000 S83 S56 165 N S83->7_275->S56
2179.3000 M266 5000000 2 849.3000 S206 S22 185 N S206->3_235->S22
2183.2000 M183 5000000 2 1268.2000 S5 S20 178 N S5->9_306->S20
2184.3000 M256 5000000 2 904.3000 S154 S89 184 N S154->3_235->S89
2192.5000 M172 5000000 2 1332.5000 S72 S173 177 N S72->2_225->S173
2210.1000 M312 5000000 2 650.1000 S132 S190 189 N S132->2_224->S190
2215.0000 M178 5000000 2 1325.0000 S199 S44 177 N S199->4_246->S44
2234.7000 M272 5000000 2 874.7000 S163 S96 185 N S163->9_305->S96
2235.6000 M33 5000000 2 2070.6000 S67 S170 165 N S67->7_276->S170
2239.7000 M313 5000000 2 674.7000 S55 S83 188 N S55->9_305->S83
2240.6000 M260 5000000 2 940.6000 S180 S62 184 N S180->4_246->S62
2259.1000 M360 5000000 2 459.1000 S155 S132 192 N S155->7_277->S132
2301.5000 M6 5000000 2 2271.5000 S47 S183 162 N S47->7_276->S183
2303.0000 M179 5000000 2 1408.0000 S112 S75 176 N S112->9_305->S75
2306.6000 M245 5000000 2 1081.6000 S19 S132 181 N S19->4_245->S132
2307.8000 M196 5000000 2 1327.8000 S40 S168 177 N S40->7_275->S168
2312.8000 M68 5000000 2 1972.8000 S96 S168 167 N S96->7_275->S168
2359.7000 M372 5000000 2 499.7000 S58 S101 191 N S58->3_235->S101
2376.5000 M187 5000000 2 1441.5000 S207 S68 175 N S207->6T_260->S68
2381.5000 M330 5000000 2 731.5000 S135 S68 187 N S135->6T_260->S68
2383.5000 M261 5000000 2 1078.5000 S7 S175 182 N S7->9_306->S175
2388.5000 M294 5000000 2 918.5000 S163 S175 184 N S163->9_306->S175
2412.1000 M50 5000000 2 2162.1000 S164 S21 163 N S164->3_235->S21
2417.8000 M163 5000000 2 1602.8000 S93 S129 173 N S93->9_305->S129
2422.2000 M67 5000000 2 2087.2000 S183 S161 165 N S183->7_276->S161
2422.8000 M339 5000000 2 727.8000 S151 S95 187 N S151->9_305->S95
2446.4000 M204 5000000 2 1426.4000 S97 S170 176 N S97->7_277->S170
2449.2000 M263 5000000 2 1134.2000 S20 S181 181 N S20->2_226->S181
2456.5000 M350 5000000 2 706.5000 S94 S1 188 N S94->9_306->S1
2476.8000 M106 5000000 2 1946.8000 S55 S11 167 N S55->3_235->S11
2481.8000 M56 5000000 2 2201.8000 S33 S204 163 N S33->3_235->S204
2495.2000 M238 5000000 2 1305.2000 S152 S5 178 N S152->7_277->S5
2501.0000 M254 5000000 2 1231.0000 S123 S132 179 N S123->4_247->S132
2549.9000 M287 5000000 2 1114.9000 S206 S86 181 N S206->3_235->S86
2550.4000 M415 5000000 2 475.4000 S127 S126 192 N S127->3_234->S126
2571.6000 M320 5000000 2 971.6000 S187 S108 183 N S187->4_247->S108
2574.2000 M132 5000000 2 1914.2000 S32 S136 168 N S32->2_226->S136
2580.6000 M337 5000000 2 895.6000 S197 S141 185 N S197->2_227->S141
2594.4000 M479 5000000 2 199.4000 S85 S51 196 N S85->3_234->S51
2607.6000 M192 5000000 2 1647.6000 S123 S150 172 N S123->3_235->S150
2612.6000 M81 5000000 2 2207.6000 S107 S150 163 N S107->3_235->S150
2617.6000 M297 5000000 2 1132.6000 S89 S150 181 N S89->3_235->S150
2621.2000 M32 5000000 2 2461.2000 S81 S117 158 N S81->7_276->S117
2624.3000 M361 5000000 2 819.3000 S112 S55 186 N S112->7_277->S55
2632.3000 M417 5000000 2 547.3000 S158 S47 190 N S158->9_307->S47
2661.6000 M375 5000000 2 786.6000 S112 S124 186 N S112->3_236->S124
2676.0000 M329 5000000 2 1031.0000 S134 S9 182 N S134->7_277->S9
2677.7000 M384 5000000 2 757.7000 S77 S102 187 N S77->2_226->S102
2682.7000 M289 5000000 2 1237.7000 S192 S102 179 N S192->2_226->S102
2703.4000 M267 5000000 2 1368.4000 S17 S51 177 N S17->3_236->S51
2708.4000 M149 5000000 2 1963.4000 S17 S51 167 N S17->3_236->S51
2713.4000 M284 5000000 2 1293.4000 S17 S51 178 N S17->3_236->S51
2767.4000 M7 5000000 2 2732.4000 S207 S196 154 N S207->3_236->S196
2802.8000 M356 5000000 2 1022.8000 S151 S118 182 N S151->4_247->S118
2807.8000 M215 5000000 2 1732.8000 S62 S118 171 N S62->4_247->S118
2811.8000 M454 5000000 2 541.8000 S148 S117 190 N S148->9_308->S117
2853.6000 M185 5000000 2 1928.6000 S115 S52 167 N S115->3_236->S52
2857.2000 M392 5000000 2 897.2000 S170 S94 185 N S170->7_277->S94
2903.7000 M276 5000000 2 1523.7000 S17 S107 174 N S17->3_236->S107
2915.2000 M186 5000000 2 1985.2000 S65 S83 166 N S65->7_276->S83
2934.6000 M460 5000000 2 634.6000 S103 S199 189 N S103->4_245->S199
2965.5000 M258 5000000 2 1675.5000 S124 S144 172 N S124->2_226->S144
3030.0000 M445 5000000 2 805.0000 S183 S88 186 N S183->7_277->S88
3080.4000 M105 5000000 2 2555.4000 S124 S59 157 N S124->3_234->S59
3089.6000 M385 5000000 2 1164.6000 S206 S65 180 N S206->7_277->S65
3095.6000 M307 5000000 2 1560.6000 S192 S187 173 N S192->2_226->S187
3114.1000 M504 5000000 2 594.1000 S126 S184 190 N S126->3_236->S184
3145.3000 M65 5000000 2 2820.3000 S206 S34 152 N S206->7_276->S34
3145.7000 M429 5000000 2 1000.7000 S47 S117 183 N S47->3_234->S117
3198.4000 M553 5000000 2 433.4000 S33 S151 192 N S33->3_234->S151
3201.7000 M443 5000000 2 986.7000 S189 S23 183 N S189->3_236->S23
3213.6000 M410 5000000 2 1163.6000 S93 S187 180 N S93->3_234->S187
3269.5000 M461 5000000 2 964.5000 S93 S100 183 N S93->9_308->S100
3269.7000 M560 5000000 2 469.7000 S104 S8 192 N S104->3_234->S8
3282.4000 M200 5000000 2 2282.4000 S171 S40 161 N S171->7_277->S40
3297.6000 M446 5000000 2 1067.6000 S180 S25 182 N S180->4_245->S25
3361.9000 M347 5000000 2 1626.9000 S119 S201 172 N S119->7_277->S201
3375.0000 M556 5000000 2 595.0000 S61 S28 190 N S61->4_247->S28
3408.2000 M522 5000000 2 798.2000 S113 S2 186 N S113->2_224->S2
3423.6000 M319 5000000 2 1828.6000 S114 S190 169 N S114->2_226->S190
