# messageDelay  cumulativeProbability
0.2000 0.0000
0.2000 0.0001
0.2000 0.0001
0.2000 0.0001
0.2000 0.0002
0.2000 0.0002
0.2000 0.0002
0.2000 0.0003
0.2000 0.0003
0.2000 0.0003
0.2000 0.0004
0.2000 0.0004
0.2000 0.0005
0.2000 0.0005
0.2000 0.0005
0.2000 0.0006
0.2000 0.0006
0.2000 0.0006
0.2000 0.0007
0.2000 0.0007
0.2000 0.0007
0.2000 0.0008
0.2000 0.0008
0.2000 0.0008
0.2000 0.0009
0.2000 0.0009
0.2000 0.0009
0.2000 0.0010
0.2000 0.0010
0.2000 0.0010
0.2000 0.0011
0.2000 0.0011
0.2000 0.0011
0.2000 0.0012
0.2000 0.0012
0.2000 0.0013
0.2000 0.0013
0.2000 0.0013
0.2000 0.0014
0.2000 0.0014
0.2000 0.0014
0.2000 0.0015
0.2000 0.0015
0.2000 0.0015
0.2000 0.0016
0.2000 0.0016
0.2000 0.0016
0.2000 0.0017
0.2000 0.0017
0.2000 0.0017
0.2000 0.0018
0.2000 0.0018
0.2000 0.0018
0.2000 0.0019
0.2000 0.0019
0.2000 0.0019
0.2000 0.0020
0.2000 0.0020
0.2000 0.0020
0.2000 0.0021
0.2000 0.0021
0.2000 0.0022
0.2000 0.0022
0.2000 0.0022
0.2000 0.0023
0.2000 0.0023
0.2000 0.0023
0.2000 0.0024
0.2000 0.0024
0.2000 0.0024
0.2000 0.0025
0.2000 0.0025
0.2000 0.0025
0.2000 0.0026
0.2000 0.0026
0.2000 0.0026
0.2000 0.0027
0.2000 0.0027
0.2000 0.0027
0.2000 0.0028
0.2000 0.0028
0.2000 0.0028
0.2000 0.0029
0.2000 0.0029
0.2000 0.0030
0.2000 0.0030
0.2000 0.0030
0.2000 0.0031
0.2000 0.0031
0.2000 0.0031
0.2000 0.0032
0.2000 0.0032
0.2000 0.0032
0.2000 0.0033
0.2000 0.0033
0.2000 0.0033
0.2000 0.0034
0.2000 0.0034
0.2000 0.0034
0.2000 0.0035
0.2000 0.0035
0.2000 0.0035
0.2000 0.0036
0.2000 0.0036
0.2000 0.0036
0.2000 0.0037
0.2000 0.0037
0.2000 0.0037
0.2000 0.0038
0.2000 0.0038
0.2000 0.0039
0.2000 0.0039
0.2000 0.0039
5.3000 0.0040
15.6000 0.0040
18.5000 0.0040
19.4000 0.0041
23.7000 0.0041
32.2000 0.0041
33.8000 0.0042
42.7000 0.0042
43.1000 0.0042
47.1000 0.0043
49.3000 0.0043
53.0000 0.0043
53.3000 0.0044
54.1000 0.0044
55.9000 0.0044
57.0000 0.0045
59.7000 0.0045
61.2000 0.0045
61.6000 0.0046
63.6000 0.0046
64.5000 0.0047
64.6000 0.0047
67.4000 0.0047
68.9000 0.0048
70.5000 0.0048
70.6000 0.0048
76.2000 0.0049
77.6000 0.0049
80.0000 0.0049
80.8000 0.0050
80.9000 0.0050
81.3000 0.0050
81.5000 0.0051
84.9000 0.0051
85.4000 0.0051
85.8000 0.0052
89.4000 0.0052
90.0000 0.0052
90.1000 0.0053
93.3000 0.0053
94.5000 0.0053
96.0000 0.0054
98.1000 0.0054
98.2000 0.0055
99.9000 0.0055
100.0000 0.0055
100.2000 0.0056
101.1000 0.0056
101.9000 0.0056
102.5000 0.0057
103.5000 0.0057
103.7000 0.0057
103.9000 0.0058
104.4000 0.0058
106.4000 0.0058
106.5000 0.0059
106.8000 0.0059
108.3000 0.0059
110.8000 0.0060
111.8000 0.0060
112.0000 0.0060
113.0000 0.0061
119.3000 0.0061
120.3000 0.0061
122.7000 0.0062
123.2000 0.0062
123.6000 0.0063
123.9000 0.0063
127.9000 0.0063
129.5000 0.0064
129.6000 0.0064
130.6000 0.0064
131.1000 0.0065
131.5000 0.0065
131.6000 0.0065
134.5000 0.0066
136.5000 0.0066
138.1000 0.0066
138.3000 0.0067
140.6000 0.0067
141.4000 0.0067
143.5000 0.0068
144.4000 0.0068
144.6000 0.0068
144.8000 0.0069
145.9000 0.0069
146.5000 0.0069
147.0000 0.0070
147.9000 0.0070
148.9000 0.0070
148.9000 0.0071
150.1000 0.0071
150.3000 0.0072
150.5000 0.0072
150.6000 0.0072
153.8000 0.0073
154.5000 0.0073
155.6000 0.0073
155.8000 0.0074
156.6000 0.0074
157.0000 0.0074
157.1000 0.0075
157.3000 0.0075
157.5000 0.0075
159.4000 0.0076
160.1000 0.0076
160.2000 0.0076
160.6000 0.0077
160.9000 0.0077
162.5000 0.0077
162.6000 0.0078
163.2000 0.0078
164.2000 0.0078
164.6000 0.0079
165.4000 0.0079
166.4000 0.0080
168.6000 0.0080
169.4000 0.0080
170.1000 0.0081
173.6000 0.0081
173.7000 0.0081
173.9000 0.0082
174.3000 0.0082
177.1000 0.0082
179.0000 0.0083
179.8000 0.0083
181.6000 0.0083
183.1000 0.0084
184.2000 0.0084
186.2000 0.0084
187.8000 0.0085
187.9000 0.0085
190.1000 0.0085
191.1000 0.0086
191.1000 0.0086
191.2000 0.0086
191.9000 0.0087
193.6000 0.0087
194.0000 0.0088
196.3000 0.0088
196.6000 0.0088
198.9000 0.0089
202.7000 0.0089
204.8000 0.0089
205.4000 0.0090
205.6000 0.0090
206.0000 0.0090
206.3000 0.0091
206.9000 0.0091
207.0000 0.0091
207.9000 0.0092
210.2000 0.0092
210.4000 0.0092
210.7000 0.0093
210.8000 0.0093
211.1000 0.0093
213.0000 0.0094
214.3000 0.0094
214.6000 0.0094
216.9000 0.0095
218.2000 0.0095
219.7000 0.0095
220.3000 0.0096
221.3000 0.0096
222.0000 0.0097
222.9000 0.0097
223.6000 0.0097
224.1000 0.0098
225.1000 0.0098
229.0000 0.0098
229.9000 0.0099
230.1000 0.0099
230.7000 0.0099
230.9000 0.0100
232.7000 0.0100
232.8000 0.0100
233.1000 0.0101
233.6000 0.0101
233.7000 0.0101
233.7000 0.0102
234.0000 0.0102
234.9000 0.0102
236.7000 0.0103
238.1000 0.0103
238.7000 0.0103
240.4000 0.0104
242.0000 0.0104
242.2000 0.0105
242.9000 0.0105
243.1000 0.0105
243.1000 0.0106
243.2000 0.0106
244.3000 0.0106
245.1000 0.0107
246.0000 0.0107
250.7000 0.0107
252.2000 0.0108
255.9000 0.0108
257.0000 0.0108
257.7000 0.0109
258.1000 0.0109
258.2000 0.0109
260.3000 0.0110
260.7000 0.0110
262.8000 0.0110
263.2000 0.0111
265.2000 0.0111
266.6000 0.0111
268.2000 0.0112
268.6000 0.0112
