# time  ID  size  fromHost  toHost  TTL  isResponse
3.0000 M1 1000000 S198 S84 600 N 
6.0000 M2 1000000 S25 S79 600 N 
9.0000 M3 1000000 S131 S76 600 N 
12.0000 M4 1000000 S202 S61 600 N 
15.0000 M5 1000000 S194 S56 600 N 
18.0000 M6 1000000 S47 S183 600 N 
21.0000 M7 1000000 S207 S196 600 N 
24.0000 M8 1000000 S106 S140 600 N 
27.0000 M9 1000000 S211 S180 600 N 
30.0000 M10 1000000 S53 S145 600 N 
33.0000 M11 1000000 S55 S212 600 N 
36.0000 M12 1000000 S101 S134 600 N 
39.0000 M13 1000000 S180 S6 600 N 
42.0000 M14 1000000 S192 S38 600 N 
45.0000 M15 1000000 S145 S78 600 N 
48.0000 M16 1000000 S21 S73 600 N 
51.0000 M17 1000000 S118 S99 600 N 
54.0000 M18 1000000 S197 S208 600 N 
57.0000 M19 1000000 S116 S169 600 N 
60.0000 M20 1000000 S98 S104 600 N 
63.0000 M21 1000000 S83 S56 600 N 
66.0000 M22 1000000 S160 S11 600 N 
69.0000 M23 1000000 S203 S36 600 N 
72.0000 M24 1000000 S136 S20 600 N 
75.0000 M25 1000000 S187 S26 600 N 
78.0000 M26 1000000 S48 S135 600 N 
81.0000 M27 1000000 S71 S81 600 N 
84.0000 M28 1000000 S61 S140 600 N 
87.0000 M29 1000000 S177 S64 600 N 
90.0000 M30 1000000 S101 S211 600 N 
93.0000 M31 1000000 S87 S142 600 N 
96.0000 M32 1000000 S81 S117 600 N 
99.0000 M33 1000000 S67 S170 600 N 
102.0000 M34 1000000 S187 S141 600 N 
105.0000 M35 1000000 S157 S164 600 N 
108.0000 M36 1000000 S3 S32 600 N 
111.0000 M37 1000000 S108 S5 600 N 
114.0000 M38 1000000 S211 S125 600 N 
117.0000 M39 1000000 S144 S2 600 N 
120.0000 M40 1000000 S6 S48 600 N 
123.0000 M41 1000000 S77 S15 600 N 
126.0000 M42 1000000 S66 S183 600 N 
129.0000 M43 1000000 S21 S45 600 N 
132.0000 M44 1000000 S108 S20 600 N 
135.0000 M45 1000000 S191 S171 600 N 
138.0000 M46 1000000 S126 S125 600 N 
141.0000 M47 1000000 S185 S13 600 N 
144.0000 M48 1000000 S51 S44 600 N 
147.0000 M49 1000000 S167 S133 600 N 
150.0000 M50 1000000 S164 S21 600 N 
153.0000 M51 1000000 S77 S4 600 N 
156.0000 M52 1000000 S125 S165 600 N 
159.0000 M53 1000000 S59 S119 600 N 
162.0000 M54 1000000 S8 S183 600 N 
165.0000 M55 1000000 S117 S26 600 N 
168.0000 M56 1000000 S33 S204 600 N 
171.0000 M57 1000000 S15 S82 600 N 
174.0000 M58 1000000 S145 S39 600 N 
