# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
591.0000 M35 5000000 3 486.0000 S157 S164 591 N S157->S17->3_234->S164
925.9000 M144 5000000 3 493.9000 S19 S174 591 N S19->S118->4_246->S174
1009.6000 M39 5000000 3 892.6000 S144 S2 585 N S144->S10->2_225->S2
1105.8000 M245 5000000 3 370.8000 S19 S132 593 N S19->S118->4_246->S132
1140.4000 M228 5000000 2 456.4000 S148 S151 592 N S148->6T_260->S151
1155.4000 M325 5000000 2 180.4000 S142 S187 596 N S142->6T_260->S187
1156.5000 M152 5000000 2 700.5000 S28 S113 588 N S28->4_246->S113
1295.1000 M238 5000000 2 581.1000 S152 S5 590 N S152->7_275->S5
1341.9000 M5 5000000 2 1326.9000 S194 S56 577 N S194->7_276->S56
1380.9000 M337 5000000 3 369.9000 S197 S141 593 N S197->S136->2_225->S141
1385.9000 M34 5000000 2 1283.9000 S187 S141 578 N S187->2_225->S141
1424.1000 M174 5000000 2 902.1000 S97 S55 584 N S97->7_275->S55
1432.7000 M53 5000000 2 1273.7000 S59 S119 578 N S59->3_234->S119
1477.0000 M329 5000000 2 490.0000 S134 S9 591 N S134->7_275->S9
1604.6000 M165 5000000 2 1109.6000 S88 S104 581 N S88->9_305->S104
1656.6000 M392 5000000 2 480.6000 S170 S94 591 N S170->7_275->S94
1693.6000 M44 5000000 4 1561.6000 S108 S20 573 N S108->4_244->S161->2_225->S20
1698.6000 M24 5000000 2 1626.6000 S136 S20 572 N S136->2_225->S20
1733.7000 M460 5000000 2 353.7000 S103 S199 594 N S103->4_246->S199
1738.7000 M202 5000000 4 1132.7000 S133 S199 581 N S133->4_245->S110->4_246->S199
1783.6000 M229 5000000 4 1096.6000 S7 S5 581 N S7->S211->S20->9_305->S5
1797.7000 M153 5000000 4 1338.7000 S51 S124 577 N S51->3_235->S90->7_276->S124
1820.3000 M150 5000000 2 1370.3000 S81 S47 577 N S81->7_276->S47
1905.3000 M128 5000000 2 1521.3000 S202 S151 574 N S202->2_224->S151
1909.0000 M504 5000000 2 397.0000 S126 S184 593 N S126->3_234->S184
1933.4000 M361 5000000 4 850.4000 S112 S55 585 N S112->6T_260->S59->9_306->S55
2015.6000 M140 5000000 2 1595.6000 S65 S3 573 N S65->7_275->S3
2023.8000 M14 5000000 5 1981.8000 S192 S38 566 N S192->S72->2_224->S131->2_225->S38
2024.4000 M357 5000000 2 953.4000 S26 S118 584 N S26->4_245->S118
2036.7000 M222 5000000 6 1370.7000 S144 S14 577 N S144->S10->2_225->S27->S2->2_224->S14
2069.0000 M560 5000000 2 389.0000 S104 S8 593 N S104->3_235->S8
2083.4000 M70 5000000 2 1873.4000 S2 S134 568 N S2->2_224->S134
2091.7000 M454 5000000 3 729.7000 S148 S117 587 N S148->S97->7_277->S117
2097.3000 M446 5000000 3 759.3000 S180 S25 587 N S180->S110->4_246->S25
2099.0000 M698 5000000 1 5.0000 S48 S120 599 N S48->S120
2107.8000 M27 5000000 2 2026.8000 S71 S81 566 N S71->7_275->S81
2151.5000 M21 5000000 2 2088.5000 S83 S56 565 N S83->7_275->S56
2192.5000 M172 5000000 4 1676.5000 S72 S173 572 N S72->2_224->S131->2_225->S173
2206.3000 M58 5000000 4 2032.3000 S145 S39 566 N S145->9_305->S88->7_275->S39
2208.8000 M522 5000000 3 642.8000 S113 S2 589 N S113->S134->2_227->S2
2214.9000 M48 5000000 4 2070.9000 S51 S44 565 N S51->S121->3_234->4_246->S44
2219.9000 M178 5000000 4 1685.9000 S199 S44 571 N S199->4_245->S110->4_246->S44
2235.6000 M33 5000000 2 2136.6000 S67 S170 564 N S67->7_276->S170
2244.9000 M379 5000000 2 1107.9000 S111 S62 581 N S111->4_246->S62
2249.9000 M260 5000000 3 1469.9000 S180 S62 575 N S180->S110->4_246->S62
2257.1000 M438 5000000 2 943.1000 S150 S42 584 N S150->3_236->S42
2272.0000 M448 5000000 2 928.0000 S161 S156 584 N S161->2_227->S156
2301.5000 M6 5000000 5 2283.5000 S47 S183 561 N S47->S94->9_305->S104->7_276->S183
2303.0000 M179 5000000 5 1766.0000 S112 S75 570 N S112->6T_260->S59->S42->9_305->S75
2307.8000 M196 5000000 5 1719.8000 S40 S168 571 N S40->S81->7_276->S65->7_275->S168
2308.0000 M311 5000000 2 1375.0000 S1 S97 577 N S1->9_305->S97
2312.8000 M68 5000000 3 2108.8000 S96 S168 564 N S96->S83->7_275->S168
2332.1000 M188 5000000 6 1768.1000 S108 S152 570 N S108->S57->4_246->S161->S132->7_277->S152
2333.4000 M390 5000000 2 1163.4000 S41 S158 580 N S41->9_306->S158
2366.4000 M592 5000000 2 590.4000 S135 S4 590 N S135->6T_260->S4
2371.4000 M330 5000000 2 1381.4000 S135 S68 576 N S135->6T_260->S68
2422.2000 M67 5000000 4 2221.2000 S183 S161 562 N S183->7_275->S104->7_276->S161
2456.5000 M350 5000000 4 1406.5000 S94 S1 576 N S94->7_276->S33->9_306->S1
2476.8000 M106 5000000 4 2158.8000 S55 S11 564 N S55->S104->6T_260->3_235->S11
2481.8000 M293 5000000 2 1602.8000 S107 S204 573 N S107->3_235->S204
2486.8000 M56 5000000 3 2318.8000 S33 S204 561 N S33->S100->3_235->S204
2496.3000 M37 5000000 4 2385.3000 S108 S5 560 N S108->4_244->S132->7_277->S5
2503.7000 M91 5000000 6 2230.7000 S58 S136 562 N S58->3_234->S8->4_245->S31->2_227->S136
2534.5000 M435 5000000 3 1229.5000 S176 S100 579 N S176->S150->3_236->S100
2534.9000 M488 5000000 2 1070.9000 S22 S18 582 N S22->3_235->S18
2578.2000 M132 5000000 2 2182.2000 S32 S136 563 N S32->2_226->S136
2594.4000 M479 5000000 2 1157.4000 S85 S51 580 N S85->3_234->S51
2611.1000 M32 5000000 2 2515.1000 S81 S117 558 N S81->7_276->S117
2640.9000 M553 5000000 3 981.9000 S33 S151 583 N S33->S100->7_276->S151
2645.0000 M880 5000000 1 5.0000 S108 S57 599 N S108->S57
2646.1000 M417 5000000 2 1395.1000 S158 S47 576 N S158->9_307->S47
2658.4000 M119 5000000 5 2301.4000 S155 S17 561 N S155->S142->6T_260->S117->3_235->S17
2703.4000 M284 5000000 3 1851.4000 S17 S51 569 N S17->S157->3_236->S51
2704.2000 M30 5000000 2 2614.2000 S101 S211 556 N S101->3_234->S211
2725.4000 M268 5000000 5 1921.4000 S58 S82 567 N S58->3_234->S33->S100->7_276->S82
2750.5000 M17 5000000 4 2699.5000 S118 S99 555 N S118->4_246->S161->2_227->S99
2752.4000 M349 5000000 4 1705.4000 S183 S126 571 N S183->7_275->S55->3_236->S126
2785.7000 M285 5000000 6 1930.7000 S104 S149 567 N S104->S55->3_234->S33->S100->7_276->S149
2788.0000 M215 5000000 2 2143.0000 S62 S118 564 N S62->4_247->S118
2814.6000 M327 5000000 5 1833.6000 S108 S124 569 N S108->S57->4_246->S161->2_227->S124
2839.5000 M25 5000000 6 2764.5000 S187 S26 553 N S187->S151->4_246->S110->S180->4_247->S26
2842.2000 M503 5000000 3 1333.2000 S189 S154 577 N S189->S172->3_234->S154
2844.6000 M571 5000000 3 1131.6000 S74 S119 581 N S74->S181->2_227->S119
2895.1000 M272 5000000 5 2079.1000 S163 S96 565 N S163->S82->7_277->S152->7_276->S96
2900.1000 M313 5000000 6 1961.1000 S55 S83 567 N S55->S104->6T_260->S33->S100->7_276->S83
2912.0000 M969 5000000 1 5.0000 S102 S64 599 N S102->S64
2931.2000 M375 5000000 2 1806.2000 S112 S124 569 N S112->7_277->S124
2984.1000 M148 5000000 4 2540.1000 S83 S131 557 N S83->6T_260->S151->2_227->S131
3003.5000 M113 5000000 2 2664.5000 S20 S93 555 N S20->9_307->S93
3051.1000 M804 5000000 2 639.1000 S62 S109 589 N S62->4_246->S109
3082.6000 M775 5000000 3 757.6000 S180 S127 587 N S180->S110->4_245->S127
3111.8000 M256 5000000 5 2343.8000 S154 S89 560 N S154->S9->3_235->S115->3_237->S89
3125.1000 M891 5000000 2 452.1000 S90 S33 592 N S90->7_278->S33
3141.1000 M376 5000000 3 2013.1000 S40 S50 566 N S40->S81->7_276->S50
3145.5000 M136 5000000 2 2737.5000 S151 S189 554 N S151->3_236->S189
3146.1000 M65 5000000 5 2951.1000 S206 S34 550 N S206->S117->3_234->S33->7_276->S34
3150.5000 M64 5000000 5 2958.5000 S94 S189 550 N S94->9_305->S104->S55->3_236->S189
3155.9000 M716 5000000 2 1007.9000 S143 S202 583 N S143->2_225->S202
3173.6000 M410 5000000 5 1943.6000 S93 S187 567 N S93->S5->7_276->S161->2_224->S187
3197.0000 M1064 5000000 1 5.0000 S121 S51 599 N S121->S51
3211.5000 M680 5000000 2 1171.5000 S178 S187 580 N S178->3_234->S187
3251.0000 M1082 5000000 1 5.0000 S96 S83 599 N S96->S83
3254.1000 M219 5000000 4 2597.1000 S65 S104 556 N S65->7_275->S205->7_278->S104
3264.4000 M755 5000000 3 999.4000 S149 S100 583 N S149->S84->9_308->S100
3269.4000 M582 5000000 3 1523.4000 S206 S100 574 N S206->S117->9_308->S100
3270.6000 M942 5000000 3 444.6000 S19 S61 592 N S19->S118->4_247->S61
3282.4000 M200 5000000 2 2682.4000 S171 S40 555 N S171->7_277->S40
3291.7000 M443 5000000 6 1962.7000 S189 S23 567 N S189->S172->3_234->S198->S85->3_236->S23
3371.3000 M556 5000000 2 1703.3000 S61 S28 571 N S61->4_247->S28
3379.0000 M182 5000000 5 2833.0000 S31 S89 552 N S31->S14->2_225->S8->3_234->S89
3384.0000 M203 5000000 5 2775.0000 S149 S22 553 N S149->S84->7_275->S117->3_234->S22
3389.0000 M266 5000000 3 2591.0000 S206 S22 556 N S206->S117->3_234->S22
3393.6000 M76 5000000 6 3165.6000 S58 S173 547 N S58->3_234->S8->4_245->S31->2_227->S173
3408.6000 M312 5000000 7 2472.6000 S132 S190 558 N S132->S161->2_227->S113->2_224->S8->2_226->S190
3408.9000 M71 5000000 5 3195.9000 S45 S2 546 N S45->S26->4_245->S161->2_224->S2
3434.8000 M727 5000000 2 1253.8000 S168 S96 579 N S168->9_307->S96
3467.8000 M874 5000000 4 845.8000 S31 S93 585 N S31->2_224->S151->3_237->S93
3490.4000 M1091 5000000 3 217.4000 S144 S209 596 N S144->S10->2_224->S209
3502.4000 M250 5000000 3 2752.4000 S30 S161 554 N S30->S116->4_247->S161
3612.4000 M50 5000000 5 3462.4000 S164 S21 542 N S164->3_236->S115->S195->3_234->S21
3614.4000 M728 5000000 2 1430.4000 S168 S67 576 N S168->7_277->S67
3623.0000 M826 5000000 6 1145.0000 S156 S102 580 N S156->S209->2_226->S144->S10->2_224->S102
3623.1000 M908 5000000 3 899.1000 S33 S161 585 N S33->S100->7_278->S161
3646.8000 M204 5000000 2 3034.8000 S97 S170 549 N S97->7_279->S170
3653.3000 M759 5000000 2 1376.3000 S44 S113 577 N S44->4_246->S113
3656.4000 M563 5000000 5 1967.4000 S88 S1 567 N S88->9_307->S104->S55->9_308->S1
3658.3000 M577 5000000 2 1927.3000 S186 S113 567 N S186->4_246->S113
3701.9000 M614 5000000 2 1859.9000 S63 S132 569 N S63->4_246->S132
3711.2000 M346 5000000 5 2673.2000 S126 S145 555 N S126->3_234->S104->S55->9_308->S145
3712.2000 M184 5000000 6 3160.2000 S8 S83 547 N S8->2_225->S151->7_275->S112->9_305->S83
3713.6000 M690 5000000 3 1643.6000 S23 S85 572 N S23->S122->3_236->S85
