# messageDelay  cumulativeProbability
1.0000 0.0000
1.0000 0.0001
1.0000 0.0001
1.0000 0.0001
1.0000 0.0002
1.0000 0.0002
1.0000 0.0002
1.0000 0.0003
1.0000 0.0003
1.0000 0.0003
1.0000 0.0004
1.0000 0.0004
1.0000 0.0005
1.0000 0.0005
1.0000 0.0005
1.0000 0.0006
1.0000 0.0006
1.0000 0.0006
1.0000 0.0007
1.0000 0.0007
1.0000 0.0007
1.0000 0.0008
1.0000 0.0008
1.0000 0.0008
1.0000 0.0009
1.0000 0.0009
1.0000 0.0009
1.0000 0.0010
1.0000 0.0010
1.0000 0.0010
1.0000 0.0011
1.0000 0.0011
1.0000 0.0011
1.0000 0.0012
1.0000 0.0012
1.0000 0.0013
1.0000 0.0013
1.0000 0.0013
1.0000 0.0014
1.0000 0.0014
1.0000 0.0014
1.2000 0.0015
1.6000 0.0015
1.7000 0.0015
4.7000 0.0016
7.0000 0.0016
7.3000 0.0016
9.4000 0.0017
12.7000 0.0017
23.4000 0.0017
26.0000 0.0018
28.2000 0.0018
28.3000 0.0018
29.8000 0.0019
37.5000 0.0019
55.9000 0.0019
110.2000 0.0020
155.7000 0.0020
163.3000 0.0020
167.9000 0.0021
177.9000 0.0021
180.2000 0.0022
180.9000 0.0022
192.6000 0.0022
195.2000 0.0023
230.6000 0.0023
243.3000 0.0023
256.3000 0.0024
265.1000 0.0024
266.5000 0.0024
268.9000 0.0025
279.5000 0.0025
281.3000 0.0025
284.0000 0.0026
292.5000 0.0026
318.6000 0.0026
325.2000 0.0027
327.7000 0.0027
328.4000 0.0027
328.7000 0.0028
332.9000 0.0028
335.9000 0.0028
339.8000 0.0029
344.6000 0.0029
350.6000 0.0030
350.8000 0.0030
352.4000 0.0030
354.4000 0.0031
355.2000 0.0031
361.0000 0.0031
368.5000 0.0032
375.6000 0.0032
379.1000 0.0032
383.2000 0.0033
386.9000 0.0033
389.4000 0.0033
394.9000 0.0034
396.6000 0.0034
401.1000 0.0034
410.8000 0.0035
419.8000 0.0035
419.9000 0.0035
421.3000 0.0036
424.4000 0.0036
425.8000 0.0036
433.1000 0.0037
435.9000 0.0037
442.7000 0.0037
444.5000 0.0038
445.6000 0.0038
451.5000 0.0039
452.6000 0.0039
460.9000 0.0039
462.5000 0.0040
468.6000 0.0040
487.1000 0.0040
489.8000 0.0041
491.5000 0.0041
491.7000 0.0041
497.1000 0.0042
500.9000 0.0042
502.0000 0.0042
502.9000 0.0043
515.4000 0.0043
533.0000 0.0043
534.7000 0.0044
535.5000 0.0044
537.6000 0.0044
539.2000 0.0045
542.6000 0.0045
551.5000 0.0045
553.1000 0.0046
555.9000 0.0046
557.0000 0.0047
557.7000 0.0047
557.9000 0.0047
560.9000 0.0048
562.9000 0.0048
563.3000 0.0048
573.0000 0.0049
575.2000 0.0049
582.5000 0.0049
585.9000 0.0050
592.8000 0.0050
594.8000 0.0050
596.7000 0.0051
598.3000 0.0051
602.6000 0.0051
608.2000 0.0052
611.0000 0.0052
611.8000 0.0052
613.4000 0.0053
614.1000 0.0053
617.0000 0.0053
617.6000 0.0054
619.4000 0.0054
621.1000 0.0055
623.8000 0.0055
624.5000 0.0055
625.4000 0.0056
630.5000 0.0056
632.5000 0.0056
633.3000 0.0057
636.8000 0.0057
640.4000 0.0057
644.5000 0.0058
644.7000 0.0058
646.3000 0.0058
647.2000 0.0059
649.4000 0.0059
649.5000 0.0059
654.0000 0.0060
656.0000 0.0060
657.3000 0.0060
657.9000 0.0061
659.5000 0.0061
660.7000 0.0061
661.4000 0.0062
663.6000 0.0062
663.8000 0.0063
667.0000 0.0063
676.2000 0.0063
676.2000 0.0064
677.0000 0.0064
680.8000 0.0064
681.0000 0.0065
681.7000 0.0065
695.7000 0.0065
698.6000 0.0066
699.0000 0.0066
700.1000 0.0066
702.6000 0.0067
705.6000 0.0067
706.3000 0.0067
707.0000 0.0068
708.9000 0.0068
711.6000 0.0068
712.9000 0.0069
713.2000 0.0069
716.4000 0.0069
720.3000 0.0070
727.5000 0.0070
729.3000 0.0070
734.3000 0.0071
735.2000 0.0071
743.0000 0.0072
746.9000 0.0072
751.8000 0.0072
752.3000 0.0073
754.3000 0.0073
757.1000 0.0073
757.8000 0.0074
768.8000 0.0074
770.0000 0.0074
773.4000 0.0075
774.8000 0.0075
777.8000 0.0075
778.8000 0.0076
779.7000 0.0076
781.6000 0.0076
781.8000 0.0077
781.9000 0.0077
782.6000 0.0077
783.3000 0.0078
783.4000 0.0078
785.1000 0.0078
798.0000 0.0079
802.3000 0.0079
806.5000 0.0080
807.4000 0.0080
820.3000 0.0080
821.4000 0.0081
824.9000 0.0081
827.2000 0.0081
828.0000 0.0082
831.1000 0.0082
832.2000 0.0082
833.7000 0.0083
840.7000 0.0083
842.4000 0.0083
843.8000 0.0084
845.8000 0.0084
849.8000 0.0084
850.1000 0.0085
856.5000 0.0085
858.6000 0.0085
859.8000 0.0086
860.2000 0.0086
860.6000 0.0086
860.8000 0.0087
863.3000 0.0087
866.6000 0.0088
871.2000 0.0088
871.7000 0.0088
876.2000 0.0089
876.7000 0.0089
877.9000 0.0089
878.3000 0.0090
882.8000 0.0090
886.1000 0.0090
886.2000 0.0091
891.4000 0.0091
894.5000 0.0091
899.5000 0.0092
902.6000 0.0092
904.3000 0.0092
909.5000 0.0093
911.0000 0.0093
912.2000 0.0093
912.7000 0.0094
913.0000 0.0094
913.1000 0.0094
919.2000 0.0095
921.2000 0.0095
921.6000 0.0095
929.7000 0.0096
930.8000 0.0096
931.7000 0.0097
931.8000 0.0097
932.6000 0.0097
933.2000 0.0098
934.8000 0.0098
935.6000 0.0098
943.9000 0.0099
944.8000 0.0099
946.5000 0.0099
947.6000 0.0100
947.6000 0.0100
949.4000 0.0100
951.4000 0.0101
953.5000 0.0101
958.0000 0.0101
958.0000 0.0102
960.7000 0.0102
961.5000 0.0102
962.8000 0.0103
963.7000 0.0103
965.7000 0.0103
967.7000 0.0104
974.3000 0.0104
976.2000 0.0105
978.8000 0.0105
979.3000 0.0105
986.6000 0.0106
986.6000 0.0106
992.9000 0.0106
995.6000 0.0107
995.9000 0.0107
998.2000 0.0107
1000.0000 0.0108
1001.6000 0.0108
1002.5000 0.0108
1004.4000 0.0109
1007.0000 0.0109
1007.3000 0.0109
1008.6000 0.0110
1009.0000 0.0110
1009.6000 0.0110
1014.3000 0.0111
1018.7000 0.0111
1019.7000 0.0111
1028.8000 0.0112
1029.5000 0.0112
1031.2000 0.0113
1037.9000 0.0113
1042.2000 0.0113
1042.5000 0.0114
1042.6000 0.0114
1044.6000 0.0114
1045.3000 0.0115
1047.9000 0.0115
1048.6000 0.0115
1051.0000 0.0116
1053.1000 0.0116
1056.9000 0.0116
1058.2000 0.0117
1058.6000 0.0117
1059.4000 0.0117
1062.8000 0.0118
1063.0000 0.0118
1065.2000 0.0118
1068.2000 0.0119
1072.2000 0.0119
1073.4000 0.0119
1075.5000 0.0120
1076.6000 0.0120
1079.4000 0.0120
1079.8000 0.0121
1080.0000 0.0121
1082.0000 0.0122
1085.6000 0.0122
1086.4000 0.0122
1090.2000 0.0123
1097.0000 0.0123
1098.6000 0.0123
1099.4000 0.0124
1101.7000 0.0124
1103.8000 0.0124
1108.5000 0.0125
1109.4000 0.0125
1111.5000 0.0125
