# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
216.0000 M43 1000000 1 1.0000 S3 S1 199 N S3->S1
761.0000 M152 1000000 1 1.0000 S9 S6 199 N S9->S6
4796.0000 M959 1000000 1 1.0000 S1 S3 199 N S1->S3
6551.0000 M1310 1000000 1 1.0000 S58 S57 199 N S58->S57
8566.0000 M1713 1000000 1 1.0000 S57 S58 199 N S57->S58
10806.0000 M2161 1000000 1 1.0000 S57 S58 199 N S57->S58
11176.0000 M2235 1000000 1 1.0000 S6 S9 199 N S6->S9
15421.0000 M3084 1000000 1 1.0000 S9 S6 199 N S9->S6
15606.0000 M3121 1000000 1 1.0000 S58 S57 199 N S58->S57
16446.0000 M3289 1000000 1 1.0000 S9 S6 199 N S9->S6
17196.0000 M3439 1000000 1 1.0000 S6 S9 199 N S6->S9
18006.0000 M3601 1000000 1 1.0000 S6 S9 199 N S6->S9
19236.0000 M3847 1000000 1 1.0000 S58 S57 199 N S58->S57
21051.0000 M4210 1000000 1 1.0000 S1 S3 199 N S1->S3
