# time  ID  size  fromHost  toHost  TTL  isResponse
5.0000 M1 5000000 S36 S46 600 N 
10.0000 M2 5000000 S31 S18 600 N 
15.0000 M3 5000000 S48 S13 600 N 
20.0000 M4 5000000 S16 S39 600 N 
25.0000 M5 5000000 S42 S49 600 N 
30.0000 M6 5000000 S13 S26 600 N 
35.0000 M7 5000000 S27 S46 600 N 
40.0000 M8 5000000 S44 S5 600 N 
45.0000 M9 5000000 S55 S43 600 N 
50.0000 M10 5000000 S3 S59 600 N 
55.0000 M11 5000000 S18 S29 600 N 
60.0000 M12 5000000 S39 S18 600 N 
65.0000 M13 5000000 S55 S47 600 N 
70.0000 M14 5000000 S53 S47 600 N 
75.0000 M15 5000000 S54 S33 600 N 
80.0000 M16 5000000 S30 S38 600 N 
85.0000 M17 5000000 S44 S19 600 N 
90.0000 M18 5000000 S13 S6 600 N 
95.0000 M19 5000000 S60 S54 600 N 
100.0000 M20 5000000 S0 S17 600 N 
105.0000 M21 5000000 S24 S23 600 N 
110.0000 M22 5000000 S26 S49 600 N 
115.0000 M23 5000000 S27 S22 600 N 
120.0000 M24 5000000 S55 S15 600 N 
125.0000 M25 5000000 S5 S50 600 N 
130.0000 M26 5000000 S53 S33 600 N 
135.0000 M27 5000000 S18 S41 600 N 
140.0000 M28 5000000 S10 S18 600 N 
145.0000 M29 5000000 S58 S22 600 N 
150.0000 M30 5000000 S11 S33 600 N 
155.0000 M31 5000000 S7 S20 600 N 
160.0000 M32 5000000 S29 S35 600 N 
165.0000 M33 5000000 S37 S1 600 N 
170.0000 M34 5000000 S41 S18 600 N 
175.0000 M35 5000000 S37 S8 600 N 
180.0000 M36 5000000 S57 S0 600 N 
185.0000 M37 5000000 S1 S27 600 N 
190.0000 M38 5000000 S38 S39 600 N 
195.0000 M39 5000000 S28 S25 600 N 
200.0000 M40 5000000 S58 S13 600 N 
205.0000 M41 5000000 S38 S41 600 N 
210.0000 M42 5000000 S60 S40 600 N 
215.0000 M43 5000000 S3 S1 600 N 
220.0000 M44 5000000 S47 S13 600 N 
225.0000 M45 5000000 S51 S55 600 N 
230.0000 M46 5000000 S25 S32 600 N 
235.0000 M47 5000000 S59 S12 600 N 
240.0000 M48 5000000 S51 S10 600 N 
245.0000 M49 5000000 S26 S30 600 N 
250.0000 M50 5000000 S40 S8 600 N 
255.0000 M51 5000000 S9 S27 600 N 
260.0000 M52 5000000 S5 S3 600 N 
265.0000 M53 5000000 S39 S12 600 N 
270.0000 M54 5000000 S26 S24 600 N 
275.0000 M55 5000000 S24 S9 600 N 
280.0000 M56 5000000 S55 S11 600 N 
285.0000 M57 5000000 S5 S14 600 N 
290.0000 M58 5000000 S32 S43 600 N 
295.0000 M59 5000000 S47 S45 600 N 
300.0000 M60 5000000 S43 S52 600 N 
305.0000 M61 5000000 S18 S17 600 N 
310.0000 M62 5000000 S59 S55 600 N 
315.0000 M63 5000000 S14 S6 600 N 
320.0000 M64 5000000 S28 S49 600 N 
325.0000 M65 5000000 S31 S16 600 N 
330.0000 M66 5000000 S14 S42 600 N 
335.0000 M67 5000000 S46 S42 600 N 
340.0000 M68 5000000 S39 S52 600 N 
345.0000 M69 5000000 S25 S30 600 N 
350.0000 M70 5000000 S51 S54 600 N 
355.0000 M71 5000000 S24 S20 600 N 
360.0000 M72 5000000 S26 S5 600 N 
365.0000 M73 5000000 S24 S9 600 N 
370.0000 M74 5000000 S22 S58 600 N 
375.0000 M75 5000000 S4 S27 600 N 
380.0000 M76 5000000 S25 S14 600 N 
385.0000 M77 5000000 S15 S59 600 N 
390.0000 M78 5000000 S41 S54 600 N 
395.0000 M79 5000000 S56 S4 600 N 
400.0000 M80 5000000 S45 S2 600 N 
405.0000 M81 5000000 S17 S50 600 N 
410.0000 M82 5000000 S8 S34 600 N 
415.0000 M83 5000000 S56 S57 600 N 
420.0000 M84 5000000 S25 S32 600 N 
425.0000 M85 5000000 S4 S28 600 N 
430.0000 M86 5000000 S49 S59 600 N 
435.0000 M87 5000000 S4 S16 600 N 
440.0000 M88 5000000 S34 S2 600 N 
445.0000 M89 5000000 S18 S12 600 N 
450.0000 M90 5000000 S26 S12 600 N 
455.0000 M91 5000000 S45 S29 600 N 
460.0000 M92 5000000 S45 S15 600 N 
465.0000 M93 5000000 S53 S4 600 N 
470.0000 M94 5000000 S52 S20 600 N 
475.0000 M95 5000000 S37 S46 600 N 
480.0000 M96 5000000 S7 S48 600 N 
485.0000 M97 5000000 S20 S54 600 N 
490.0000 M98 5000000 S37 S49 600 N 
495.0000 M99 5000000 S3 S37 600 N 
500.0000 M100 5000000 S53 S58 600 N 
505.0000 M101 5000000 S31 S40 600 N 
510.0000 M102 5000000 S43 S59 600 N 
515.0000 M103 5000000 S54 S45 600 N 
520.0000 M104 5000000 S24 S22 600 N 
525.0000 M105 5000000 S44 S23 600 N 
530.0000 M106 5000000 S5 S3 600 N 
535.0000 M107 5000000 S10 S46 600 N 
540.0000 M108 5000000 S4 S2 600 N 
545.0000 M109 5000000 S8 S3 600 N 
550.0000 M110 5000000 S55 S23 600 N 
555.0000 M111 5000000 S17 S51 600 N 
560.0000 M112 5000000 S28 S48 600 N 
565.0000 M113 5000000 S8 S30 600 N 
570.0000 M114 5000000 S16 S57 600 N 
575.0000 M115 5000000 S17 S11 600 N 
580.0000 M116 5000000 S58 S55 600 N 
585.0000 M117 5000000 S59 S28 600 N 
590.0000 M118 5000000 S27 S43 600 N 
595.0000 M119 5000000 S17 S22 600 N 
600.0000 M120 5000000 S44 S54 600 N 
605.0000 M121 5000000 S2 S10 600 N 
610.0000 M122 5000000 S39 S49 600 N 
615.0000 M123 5000000 S30 S28 600 N 
620.0000 M124 5000000 S12 S43 600 N 
625.0000 M125 5000000 S24 S9 600 N 
630.0000 M126 5000000 S7 S27 600 N 
635.0000 M127 5000000 S50 S6 600 N 
640.0000 M128 5000000 S53 S39 600 N 
645.0000 M129 5000000 S4 S22 600 N 
650.0000 M130 5000000 S53 S25 600 N 
655.0000 M131 5000000 S54 S26 600 N 
660.0000 M132 5000000 S20 S29 600 N 
665.0000 M133 5000000 S56 S59 600 N 
670.0000 M134 5000000 S25 S52 600 N 
675.0000 M135 5000000 S30 S3 600 N 
680.0000 M136 5000000 S31 S49 600 N 
685.0000 M137 5000000 S8 S12 600 N 
690.0000 M138 5000000 S60 S40 600 N 
695.0000 M139 5000000 S56 S41 600 N 
700.0000 M140 5000000 S17 S1 600 N 
705.0000 M141 5000000 S15 S45 600 N 
710.0000 M142 5000000 S0 S38 600 N 
715.0000 M143 5000000 S1 S25 600 N 
720.0000 M144 5000000 S43 S54 600 N 
725.0000 M145 5000000 S39 S1 600 N 
730.0000 M146 5000000 S15 S37 600 N 
735.0000 M147 5000000 S30 S54 600 N 
740.0000 M148 5000000 S15 S52 600 N 
745.0000 M149 5000000 S58 S26 600 N 
750.0000 M150 5000000 S5 S40 600 N 
755.0000 M151 5000000 S56 S22 600 N 
760.0000 M152 5000000 S9 S6 600 N 
765.0000 M153 5000000 S36 S47 600 N 
770.0000 M154 5000000 S58 S18 600 N 
775.0000 M155 5000000 S8 S48 600 N 
780.0000 M156 5000000 S18 S2 600 N 
785.0000 M157 5000000 S29 S36 600 N 
790.0000 M158 5000000 S9 S37 600 N 
795.0000 M159 5000000 S39 S36 600 N 
800.0000 M160 5000000 S26 S44 600 N 
805.0000 M161 5000000 S26 S32 600 N 
810.0000 M162 5000000 S5 S21 600 N 
815.0000 M163 5000000 S48 S36 600 N 
820.0000 M164 5000000 S11 S60 600 N 
825.0000 M165 5000000 S53 S42 600 N 
830.0000 M166 5000000 S44 S27 600 N 
835.0000 M167 5000000 S33 S52 600 N 
840.0000 M168 5000000 S52 S29 600 N 
845.0000 M169 5000000 S16 S39 600 N 
850.0000 M170 5000000 S3 S25 600 N 
855.0000 M171 5000000 S56 S51 600 N 
860.0000 M172 5000000 S57 S14 600 N 
865.0000 M173 5000000 S23 S4 600 N 
870.0000 M174 5000000 S5 S21 600 N 
875.0000 M175 5000000 S22 S47 600 N 
880.0000 M176 5000000 S22 S29 600 N 
885.0000 M177 5000000 S5 S1 600 N 
890.0000 M178 5000000 S34 S13 600 N 
895.0000 M179 5000000 S17 S18 600 N 
900.0000 M180 5000000 S32 S44 600 N 
905.0000 M181 5000000 S50 S48 600 N 
910.0000 M182 5000000 S29 S57 600 N 
915.0000 M183 5000000 S16 S36 600 N 
920.0000 M184 5000000 S54 S10 600 N 
925.0000 M185 5000000 S33 S21 600 N 
930.0000 M186 5000000 S17 S9 600 N 
