# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
591.0000 M35 5000000 3 486.0000 S157 S164 391 N S157->S17->3_234->S164
925.9000 M144 5000000 3 493.9000 S19 S174 391 N S19->S118->4_246->S174
1009.6000 M39 5000000 3 892.6000 S144 S2 385 N S144->S10->2_225->S2
1106.5000 M245 5000000 3 371.5000 S19 S132 393 N S19->S118->4_246->S132
1156.5000 M152 5000000 2 700.5000 S28 S113 388 N S28->4_246->S113
1170.9000 M228 5000000 2 486.9000 S148 S151 391 N S148->6T_260->S151
1296.2000 M238 5000000 2 582.2000 S152 S5 390 N S152->7_275->S5
1341.9000 M5 5000000 2 1326.9000 S194 S56 377 N S194->7_276->S56
1380.9000 M337 5000000 3 369.9000 S197 S141 393 N S197->S136->2_225->S141
1424.1000 M174 5000000 2 902.1000 S97 S55 384 N S97->7_275->S55
1432.7000 M53 5000000 2 1273.7000 S59 S119 378 N S59->3_234->S119
1476.9000 M329 5000000 2 489.9000 S134 S9 391 N S134->7_275->S9
1550.7000 M17 5000000 4 1499.7000 S118 S99 375 N S118->4_244->S161->2_225->S99
1693.6000 M24 5000000 2 1621.6000 S136 S20 372 N S136->2_225->S20
1733.8000 M202 5000000 3 1127.8000 S133 S199 381 N S133->S103->4_246->S199
1738.8000 M460 5000000 2 358.8000 S103 S199 394 N S103->4_246->S199
1783.6000 M229 5000000 4 1096.6000 S7 S5 381 N S7->S211->S20->9_305->S5
1803.6000 M113 5000000 2 1464.6000 S20 S93 375 N S20->9_305->S93
1820.3000 M150 5000000 2 1370.3000 S81 S47 377 N S81->7_276->S47
1889.4000 M246 5000000 4 1151.4000 S172 S65 380 N S172->3_235->S47->7_275->S65
1905.3000 M128 5000000 2 1521.3000 S202 S151 374 N S202->2_224->S151
1909.0000 M504 5000000 2 397.0000 S126 S184 393 N S126->3_234->S184
1933.4000 M361 5000000 2 850.4000 S112 S55 385 N S112->9_306->S55
2006.2000 M443 5000000 3 677.2000 S189 S23 388 N S189->S172->3_234->S23
2024.4000 M357 5000000 3 953.4000 S26 S118 384 N S26->S45->4_245->S118
2064.2000 M88 5000000 2 1800.2000 S32 S114 369 N S32->2_226->S114
2083.4000 M70 5000000 2 1873.4000 S2 S134 368 N S2->2_224->S134
2099.0000 M698 5000000 1 5.0000 S48 S120 399 N S48->S120
2107.8000 M27 5000000 2 2026.8000 S71 S81 366 N S71->7_275->S81
2125.3000 M285 5000000 3 1270.3000 S104 S149 378 N S104->S55->9_305->S149
2151.5000 M21 5000000 2 2088.5000 S83 S56 365 N S83->7_275->S56
2158.5000 M30 5000000 4 2068.5000 S101 S211 365 N S101->3_234->S33->9_306->S211
2214.9000 M178 5000000 4 1680.9000 S199 S44 371 N S199->4_245->S111->4_246->S44
2234.7000 M272 5000000 2 1418.7000 S163 S96 376 N S163->9_305->S96
2235.6000 M33 5000000 2 2136.6000 S67 S170 364 N S67->7_276->S170
2239.7000 M313 5000000 2 1300.7000 S55 S83 378 N S55->9_305->S83
2244.9000 M260 5000000 3 1464.9000 S180 S62 375 N S180->S110->4_246->S62
2249.9000 M379 5000000 2 1112.9000 S111 S62 381 N S111->4_246->S62
2257.1000 M438 5000000 2 943.1000 S150 S42 384 N S150->3_236->S42
2268.0000 M69 5000000 5 2061.0000 S190 S93 365 N S190->S137->2_225->S151->3_236->S93
2301.5000 M6 5000000 2 2283.5000 S47 S183 361 N S47->7_276->S183
2303.0000 M179 5000000 2 1766.0000 S112 S75 370 N S112->9_305->S75
2307.8000 M68 5000000 3 2103.8000 S96 S168 364 N S96->S83->7_275->S168
2308.0000 M311 5000000 2 1375.0000 S1 S97 377 N S1->9_305->S97
2312.8000 M196 5000000 2 1724.8000 S40 S168 371 N S40->7_275->S168
2333.4000 M390 5000000 2 1163.4000 S41 S158 380 N S41->9_306->S158
2391.4000 M330 5000000 2 1401.4000 S135 S68 376 N S135->6T_260->S68
2446.4000 M204 5000000 2 1834.4000 S97 S170 369 N S97->7_277->S170
2452.9000 M143 5000000 2 2023.9000 S207 S181 366 N S207->2_226->S181
2456.5000 M198 5000000 5 1862.5000 S22 S1 368 N S22->S89->3_234->S94->9_306->S1
2457.9000 M263 5000000 4 1668.9000 S20 S181 372 N S20->S211->S207->2_226->S181
2461.5000 M350 5000000 2 1411.5000 S94 S1 376 N S94->9_306->S1
2495.2000 M12 5000000 5 2459.2000 S101 S134 359 N S101->3_234->S33->S100->7_276->S134
2534.9000 M488 5000000 2 1070.9000 S22 S18 382 N S22->3_235->S18
2553.2000 M435 5000000 3 1248.2000 S176 S100 379 N S176->S150->3_236->S100
2578.2000 M132 5000000 2 2182.2000 S32 S136 363 N S32->2_226->S136
2590.5000 M34 5000000 2 2488.5000 S187 S141 358 N S187->2_227->S141
2594.4000 M479 5000000 3 1157.4000 S85 S51 380 N S85->S198->3_234->S51
2611.1000 M32 5000000 2 2515.1000 S81 S117 358 N S81->7_276->S117
2622.5000 M81 5000000 2 2379.5000 S107 S150 360 N S107->3_235->S150
2627.5000 M297 5000000 3 1736.5000 S89 S150 371 N S89->S22->3_235->S150
2645.0000 M880 5000000 1 5.0000 S108 S57 399 N S108->S57
2677.7000 M289 5000000 3 1810.7000 S192 S102 369 N S192->S72->2_226->S102
2687.7000 M99 5000000 3 2390.7000 S7 S64 360 N S7->S207->2_226->S64
2703.4000 M149 5000000 3 2256.4000 S17 S51 362 N S17->S157->3_236->S51
2708.4000 M267 5000000 3 1907.4000 S17 S51 368 N S17->S157->3_236->S51
2725.4000 M57 5000000 5 2554.4000 S15 S82 357 N S15->S28->4_244->S161->7_276->S82
2755.5000 M16 5000000 5 2707.5000 S21 S73 354 N S21->S210->3_234->S8->2_227->S73
2788.0000 M215 5000000 2 2143.0000 S62 S118 364 N S62->4_247->S118
2805.8000 M165 5000000 2 2310.8000 S88 S104 361 N S88->9_307->S104
2842.2000 M503 5000000 3 1333.2000 S189 S154 377 N S189->S172->3_234->S154
2844.6000 M571 5000000 3 1131.6000 S74 S119 381 N S74->S181->2_227->S119
2912.0000 M969 5000000 1 5.0000 S102 S64 399 N S102->S64
2931.2000 M375 5000000 2 1806.2000 S112 S124 369 N S112->7_277->S124
2964.3000 M603 5000000 3 1155.3000 S133 S109 380 N S133->S103->4_245->S109
3051.1000 M804 5000000 2 639.1000 S62 S109 389 N S62->4_246->S109
3095.6000 M307 5000000 3 2174.6000 S192 S187 363 N S192->S72->2_226->S187
3105.3000 M286 5000000 3 2247.3000 S96 S149 362 N S96->S83->7_279->S149
3114.0000 M133 5000000 5 2715.0000 S210 S77 354 N S210->3_234->S151->S187->2_227->S77
3141.1000 M376 5000000 3 2013.1000 S40 S50 366 N S40->S81->7_276->S50
3145.5000 M136 5000000 2 2737.5000 S151 S189 354 N S151->3_236->S189
3155.9000 M716 5000000 2 1007.9000 S143 S202 383 N S143->2_225->S202
3197.0000 M1064 5000000 1 5.0000 S121 S51 399 N S121->S51
3212.4000 M680 5000000 2 1172.4000 S178 S187 380 N S178->3_234->S187
3223.5000 M14 5000000 6 3181.5000 S192 S38 346 N S192->S72->2_224->S144->S10->2_227->S38
3251.0000 M1082 5000000 1 5.0000 S96 S83 399 N S96->S83
3264.4000 M582 5000000 2 1518.4000 S206 S100 374 N S206->9_308->S100
3282.4000 M200 5000000 3 2682.4000 S171 S40 355 N S171->S71->7_277->S40
3292.4000 M650 5000000 2 1342.4000 S132 S81 377 N S132->7_277->S81
3297.6000 M446 5000000 3 1959.6000 S180 S25 367 N S180->S110->4_245->S25
3393.6000 M172 5000000 5 2877.6000 S72 S173 352 N S72->2_224->S144->S10->2_227->S173
3408.6000 M319 5000000 3 2451.6000 S114 S190 359 N S114->S72->2_226->S190
3408.9000 M71 5000000 5 3195.9000 S45 S2 346 N S45->S26->4_246->S113->2_224->S2
3413.6000 M312 5000000 2 2477.6000 S132 S190 358 N S132->2_226->S190
3434.8000 M727 5000000 2 1253.8000 S168 S96 379 N S168->9_307->S96
3460.9000 M360 5000000 3 2380.9000 S155 S132 360 N S155->S142->7_279->S132
3465.4000 M953 5000000 2 606.4000 S133 S187 389 N S133->4_246->S187
3470.4000 M448 5000000 2 2126.4000 S161 S156 364 N S161->2_224->S156
3502.4000 M250 5000000 3 2752.4000 S30 S161 354 N S30->S116->4_247->S161
3550.7000 M162 5000000 3 3064.7000 S168 S24 348 N S168->9_307->3_234->S24
3610.2000 M294 5000000 2 2728.2000 S163 S175 354 N S163->9_308->S175
3614.4000 M728 5000000 4 1430.4000 S168 S67 376 N S168->9_307->S205->7_277->S67
3623.1000 M67 5000000 2 3422.1000 S183 S161 342 N S183->7_278->S161
3649.8000 M759 5000000 2 1372.8000 S44 S113 377 N S44->4_246->S113
3654.8000 M577 5000000 2 1923.8000 S186 S113 367 N S186->4_246->S113
3656.4000 M563 5000000 2 1967.4000 S88 S1 367 N S88->9_308->S1
3676.0000 M293 5000000 2 2797.0000 S107 S204 353 N S107->3_234->S204
3681.0000 M106 5000000 2 3363.0000 S55 S11 343 N S55->3_234->S11
3701.9000 M614 5000000 2 1859.9000 S63 S132 369 N S63->4_246->S132
3713.6000 M690 5000000 3 1643.6000 S23 S85 372 N S23->S122->3_236->S85
3740.7000 M287 5000000 3 2879.7000 S206 S86 352 N S206->S117->3_234->S86
3817.4000 M729 5000000 3 1630.4000 S176 S7 372 N S176->S150->3_237->S7
3824.7000 M669 5000000 2 1817.7000 S183 S55 369 N S183->7_279->S55
3870.6000 M78 5000000 6 3636.6000 S149 S180 339 N S149->S84->7_275->S132->S161->4_247->S180
3871.5000 M643 5000000 2 1942.5000 S137 S74 367 N S137->2_224->S74
3901.6000 M138 5000000 3 3487.6000 S208 S47 341 N S208->4_245->3_236->S47
3926.0000 M470 5000000 3 2516.0000 S57 S103 358 N S57->S108->4_247->S103
3931.0000 M107 5000000 5 3610.0000 S0 S133 339 N S0->S34->7_275->S132->4_247->S133
3952.1000 M430 5000000 2 2662.1000 S186 S92 355 N S186->4_246->S92
3956.2000 M597 5000000 2 2165.2000 S58 S196 363 N S58->3_237->S196
3957.1000 M916 5000000 2 1209.1000 S63 S92 379 N S63->4_246->S92
3985.7000 M562 5000000 2 2299.7000 S147 S84 361 N S147->7_278->S84
4007.1000 M793 5000000 2 1628.1000 S88 S55 372 N S88->9_306->S55
4009.1000 M56 5000000 3 3841.1000 S33 S204 335 N S33->S100->3_235->S204
4011.3000 M454 5000000 2 2649.3000 S148 S117 355 N S148->9_305->S117
4022.1000 M43 5000000 4 3893.1000 S21 S45 335 N S21->S210->3_234->4_246->S45
4042.1000 M55 5000000 3 3877.1000 S117 S26 335 N S117->3_234->4_246->S26
4066.8000 M782 5000000 2 1720.8000 S137 S7 371 N S137->2_224->S7
4071.8000 M1162 5000000 2 585.8000 S136 S7 390 N S136->2_224->S7
4081.3000 M711 5000000 3 1948.3000 S23 S9 367 N S23->S122->3_236->S9
4086.8000 M44 5000000 5 3954.8000 S108 S20 334 N S108->S57->4_246->S113->2_224->S20
4110.8000 M481 5000000 3 2667.8000 S155 S119 355 N S155->S142->7_279->S119
4163.6000 M696 5000000 2 2075.6000 S162 S75 365 N S162->7_278->S75
4168.6000 M818 5000000 2 1714.6000 S39 S97 371 N S39->7_278->S97
4183.8000 M147 5000000 4 3742.8000 S109 S131 337 N S109->4_245->S31->2_224->S131
4188.8000 M148 5000000 5 3744.8000 S83 S131 337 N S83->7_275->S132->S161->2_224->S131
4191.7000 M786 5000000 3 1833.7000 S148 S83 369 N S148->S97->7_276->S83
