# messageDelay  cumulativeProbability
5.0000 0.0002
5.0000 0.0003
5.0000 0.0005
5.0000 0.0007
5.0000 0.0009
5.0000 0.0010
5.0000 0.0012
5.0000 0.0014
5.0000 0.0016
5.0000 0.0017
5.0000 0.0019
5.0000 0.0021
5.0000 0.0023
5.0000 0.0024
502.2000 0.0026
620.3000 0.0028
661.4000 0.0030
731.1000 0.0031
863.0000 0.0033
974.7000 0.0035
1022.8000 0.0036
1092.3000 0.0038
1106.6000 0.0040
1430.2000 0.0042
1453.9000 0.0043
1482.5000 0.0045
1497.0000 0.0047
1520.0000 0.0049
1535.2000 0.0050
1550.1000 0.0052
1603.5000 0.0054
1621.2000 0.0056
1641.6000 0.0057
1796.6000 0.0059
1886.5000 0.0061
1937.2000 0.0063
1983.5000 0.0064
2009.4000 0.0066
2047.2000 0.0068
2116.9000 0.0069
2158.6000 0.0071
2383.1000 0.0073
2579.3000 0.0075
2601.7000 0.0076
2652.1000 0.0078
2680.8000 0.0080
2713.8000 0.0082
2978.8000 0.0083
3102.2000 0.0085
3127.5000 0.0087
3244.7000 0.0089
3326.9000 0.0090
3592.5000 0.0092
3627.2000 0.0094
3673.8000 0.0095
3673.9000 0.0097
3674.8000 0.0099
3705.4000 0.0101
3707.9000 0.0102
3716.3000 0.0104
3772.9000 0.0106
4034.6000 0.0108
4046.8000 0.0109
4141.7000 0.0111
4224.7000 0.0113
4281.7000 0.0115
4364.8000 0.0116
4405.4000 0.0118
4447.5000 0.0120
4566.7000 0.0122
4589.8000 0.0123
4605.5000 0.0125
4711.9000 0.0127
4909.0000 0.0128
4933.3000 0.0130
4949.0000 0.0132
5059.9000 0.0134
5076.2000 0.0135
5123.4000 0.0137
5312.8000 0.0139
5731.7000 0.0141
5887.5000 0.0142
6011.6000 0.0144
6019.0000 0.0146
6069.3000 0.0148
6176.4000 0.0149
6215.3000 0.0151
6459.6000 0.0153
6508.9000 0.0155
6568.8000 0.0156
6731.8000 0.0158
6781.2000 0.0160
6787.2000 0.0161
6802.7000 0.0163
6882.2000 0.0165
6989.7000 0.0167
7093.0000 0.0168
7136.8000 0.0170
7145.5000 0.0172
7259.6000 0.0174
7451.5000 0.0175
7608.6000 0.0177
7744.2000 0.0179
7861.5000 0.0181
7867.6000 0.0182
7900.5000 0.0184
7906.5000 0.0186
8152.9000 0.0187
8366.8000 0.0189
8444.4000 0.0191
8459.9000 0.0193
8486.6000 0.0194
8563.2000 0.0196
8597.1000 0.0198
8646.4000 0.0200
8683.8000 0.0201
9173.9000 0.0203
9284.5000 0.0205
9348.2000 0.0207
9453.2000 0.0208
9455.3000 0.0210
9595.3000 0.0212
9700.1000 0.0214
9844.0000 0.0215
9967.9000 0.0217
9975.1000 0.0219
10097.2000 0.0220
10428.2000 0.0222
10532.5000 0.0224
10566.7000 0.0226
10660.9000 0.0227
10702.4000 0.0229
10706.6000 0.0231
10778.8000 0.0233
10846.3000 0.0234
10868.4000 0.0236
11085.7000 0.0238
11116.5000 0.0240
11144.2000 0.0241
11243.4000 0.0243
11397.7000 0.0245
11446.3000 0.0247
11452.8000 0.0248
11518.0000 0.0250
11541.3000 0.0252
11757.9000 0.0253
11877.1000 0.0255
11941.2000 0.0257
11979.1000 0.0259
12136.8000 0.0260
12163.0000 0.0262
12183.0000 0.0264
12221.0000 0.0266
12252.9000 0.0267
12353.9000 0.0269
12433.6000 0.0271
12627.0000 0.0273
12632.4000 0.0274
12975.2000 0.0276
12975.7000 0.0278
13002.7000 0.0280
13108.8000 0.0281
13367.5000 0.0283
13799.4000 0.0285
13931.6000 0.0286
13969.0000 0.0288
14006.9000 0.0290
14063.6000 0.0292
14297.7000 0.0293
14486.4000 0.0295
14498.9000 0.0297
14542.5000 0.0299
14584.6000 0.0300
14607.5000 0.0302
14624.4000 0.0304
14811.5000 0.0306
14879.6000 0.0307
14881.7000 0.0309
15089.6000 0.0311
15194.8000 0.0312
15212.7000 0.0314
15509.8000 0.0316
15555.4000 0.0318
15589.4000 0.0319
15705.0000 0.0321
15713.5000 0.0323
15746.0000 0.0325
15781.3000 0.0326
15820.0000 0.0328
15855.3000 0.0330
15988.9000 0.0332
16034.1000 0.0333
16133.6000 0.0335
16178.5000 0.0337
16194.9000 0.0339
16237.1000 0.0340
16245.2000 0.0342
16265.5000 0.0344
16266.5000 0.0345
16278.2000 0.0347
16304.2000 0.0349
16311.0000 0.0351
16313.5000 0.0352
16348.2000 0.0354
16360.3000 0.0356
16483.8000 0.0358
16501.3000 0.0359
16504.8000 0.0361
16519.5000 0.0363
16575.2000 0.0365
16613.5000 0.0366
16622.8000 0.0368
16649.7000 0.0370
16653.0000 0.0372
16711.3000 0.0373
16719.6000 0.0375
16742.4000 0.0377
16750.0000 0.0378
16809.6000 0.0380
16830.6000 0.0382
16895.4000 0.0384
16901.1000 0.0385
16905.2000 0.0387
