# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
587.0000 M35 5000000 2 412.0000 S157 S164 393 N S157->3_234->S164
832.3000 M88 5000000 3 392.3000 S32 S114 393 N S32->2_224->S72->S114
917.9000 M144 5000000 3 197.9000 S19 S174 396 N S19->S118->4_246->S174
1004.7000 M39 5000000 3 809.7000 S144 S2 386 N S144->S10->2_225->S2
1064.0000 M69 5000000 4 719.0000 S190 S93 388 N S190->2_225->S8->3_234->S93
1072.0000 M37 5000000 5 887.0000 S108 S5 385 N S108->S57->4_244->S8->3_234->S5
1152.5000 M152 5000000 2 392.5000 S28 S113 393 N S28->4_246->S113
1182.1000 M54 5000000 4 912.1000 S8 S183 384 N S8->4_244->S151->7_275->S183
1240.3000 M12 5000000 5 1180.3000 S101 S134 380 N S101->3_234->S151->S187->4_245->S134
1245.8000 M143 5000000 4 530.8000 S207 S181 391 N S207->S211->S20->2_224->S181
1335.1000 M5 5000000 3 1310.1000 S194 S56 378 N S194->7_276->S201->S56
1373.9000 M34 5000000 3 1203.9000 S187 S141 379 N S187->S151->2_225->S141
1420.2000 M30 5000000 2 1270.2000 S101 S211 378 N S101->3_234->S211
1461.7000 M153 5000000 2 696.7000 S51 S124 388 N S51->3_235->S124
1462.8000 M78 5000000 5 1072.8000 S149 S180 382 N S149->S84->7_275->S132->4_246->S180
1479.7000 M99 5000000 4 984.7000 S7 S64 383 N S7->S211->S20->2_224->S64
1524.8000 M107 5000000 6 989.8000 S0 S133 383 N S0->S50->6T_260->S151->S187->4_246->S133
1592.7000 M228 5000000 2 452.7000 S148 S151 392 N S148->9_306->S151
1602.2000 M20 5000000 4 1502.2000 S98 S104 374 N S98->2_224->S20->9_305->S104
1603.2000 M165 5000000 2 778.2000 S88 S104 387 N S88->9_305->S104
1617.7000 M43 5000000 6 1402.7000 S21 S45 376 N S21->S210->3_234->S151->S187->4_245->S45
1634.7000 M25 5000000 2 1509.7000 S187 S26 374 N S187->4_245->S26
1680.5000 M44 5000000 5 1460.5000 S108 S20 375 N S108->S57->4_244->S161->2_225->S20
1681.5000 M24 5000000 2 1561.5000 S136 S20 373 N S136->2_225->S20
1689.7000 M83 5000000 5 1274.7000 S156 S111 378 N S156->2_225->S116->S30->4_246->S111
1733.1000 M173 5000000 5 868.1000 S2 S90 385 N S2->S27->2_225->S119->7_275->S90
1790.9000 M53 5000000 2 1525.9000 S59 S119 374 N S59->6T_260->S119
1798.4000 M229 5000000 4 653.4000 S7 S5 389 N S7->S211->S20->9_305->S5
1799.4000 M113 5000000 2 1234.4000 S20 S93 379 N S20->9_305->S93
1825.9000 M167 5000000 4 990.9000 S102 S88 383 N S102->2_225->S119->7_275->S88
1828.8000 M150 5000000 2 1078.8000 S81 S47 382 N S81->7_276->S47
1899.4000 M128 5000000 2 1259.4000 S202 S151 379 N S202->2_224->S151
1901.4000 M286 5000000 2 471.4000 S96 S149 392 N S96->7_277->S149
1929.4000 M174 5000000 3 1059.4000 S97 S55 382 N S97->S148->9_306->S55
1940.1000 M3 5000000 4 1925.1000 S131 S76 367 N S131->2_224->S30->4_246->S76
1941.5000 M136 5000000 2 1261.5000 S151 S189 378 N S151->3_234->S189
1942.5000 M64 5000000 2 1622.5000 S94 S189 372 N S94->3_234->S189
1954.0000 M131 5000000 4 1299.0000 S178 S16 378 N S178->3_235->S100->7_275->S16
1999.3000 M170 5000000 4 1149.3000 S61 S23 380 N S61->S92->4_246->3_234->S23
2011.7000 M140 5000000 2 1311.7000 S65 S3 378 N S65->7_275->S3
2016.0000 M222 5000000 2 906.0000 S144 S14 384 N S144->2_224->S14
2019.8000 M14 5000000 5 1949.8000 S192 S38 367 N S192->S72->2_224->S181->2_225->S38
2020.4000 M357 5000000 2 235.4000 S26 S118 396 N S26->4_245->S118
2050.4000 M219 5000000 2 955.4000 S65 S104 384 N S65->7_276->S104
2077.8000 M325 5000000 2 452.8000 S142 S187 392 N S142->7_277->S187
2079.5000 M70 5000000 5 1729.5000 S2 S134 371 N S2->S27->2_225->S64->2_224->S134
2086.2000 M27 5000000 2 1951.2000 S71 S81 367 N S71->7_275->S81
2087.5000 M89 5000000 4 1642.5000 S140 S165 372 N S140->3_234->S124->2_225->S165
2090.7000 M92 5000000 4 1630.7000 S184 S133 372 N S184->3_235->S127->4_247->S133
2129.3000 M285 5000000 3 704.3000 S104 S149 388 N S104->7_275->9_305->S149
2147.2000 M277 5000000 3 762.2000 S154 S56 387 N S154->S9->7_275->S56
2147.9000 M9 5000000 7 2102.9000 S211 S180 364 N S211->S20->2_224->S30->4_246->S111->4_247->S180
2148.2000 M21 5000000 3 2043.2000 S83 S56 365 N S83->S96->7_275->S56
2150.2000 M72 5000000 4 1790.2000 S52 S201 370 N S52->3_235->S47->7_275->S201
2151.9000 M80 5000000 4 1751.9000 S184 S110 370 N S184->3_235->S127->4_247->S110
2168.9000 M250 5000000 3 918.9000 S30 S161 384 N S30->S141->2_224->S161
2170.9000 M183 5000000 2 1255.9000 S5 S20 379 N S5->9_306->S20
2175.3000 M266 5000000 3 845.3000 S206 S22 385 N S206->9_306->3_235->S22
2176.3000 M256 5000000 2 896.3000 S154 S89 385 N S154->3_235->S89
2188.5000 M172 5000000 5 1328.5000 S72 S173 377 N S72->S114->2_224->S181->2_225->S173
2201.1000 M86 5000000 5 1771.1000 S163 S137 370 N S163->S82->7_275->S132->2_224->S137
2202.2000 M58 5000000 4 1912.2000 S145 S39 368 N S145->9_305->S33->7_275->S39
2203.1000 M312 5000000 2 643.1000 S132 S190 389 N S132->2_224->S190
2204.8000 M71 5000000 4 1849.8000 S45 S2 369 N S45->4_246->S161->2_227->S2
2212.1000 M105 5000000 3 1687.1000 S124 S59 371 N S124->2_224->3_236->S59
2230.7000 M272 5000000 4 870.7000 S163 S96 385 N S163->S82->9_306->9_305->S96
2230.9000 M33 5000000 2 2065.9000 S67 S170 365 N S67->7_276->S170
2231.7000 M313 5000000 3 666.7000 S55 S83 388 N S55->6T_260->9_305->S83
2232.7000 M108 5000000 5 1692.7000 S135 S96 371 N S135->S165->2_224->S20->9_305->S96
2237.1000 M260 5000000 3 937.1000 S180 S62 384 N S180->S110->4_246->S62
2255.1000 M360 5000000 3 455.1000 S155 S132 392 N S155->S142->7_277->S132
2262.1000 M67 5000000 5 1927.1000 S183 S161 367 N S183->7_275->9_305->S112->7_277->S161
2264.0000 M338 5000000 3 574.0000 S187 S93 390 N S187->S151->3_236->S93
2265.0000 M76 5000000 4 1885.0000 S58 S173 368 N S58->3_234->S151->6T_260->S173
2297.5000 M6 5000000 3 2267.5000 S47 S183 362 N S47->7_275->7_276->S183
2299.0000 M179 5000000 3 1404.0000 S112 S75 376 N S112->3_234->9_305->S75
2303.9000 M196 5000000 5 1323.9000 S40 S168 377 N S40->S81->7_276->S65->7_275->S168
2304.4000 M82 5000000 5 1894.4000 S64 S29 368 N S64->S102->2_225->S207->6T_260->S29
