# messageDelay  cumulativeProbability
5.0000 0.0002
5.0000 0.0003
5.0000 0.0005
5.0000 0.0007
5.0000 0.0009
5.0000 0.0010
5.0000 0.0012
5.0000 0.0014
5.0000 0.0016
5.0000 0.0017
5.0000 0.0019
5.0000 0.0021
5.0000 0.0023
5.0000 0.0024
110.9000 0.0026
147.4000 0.0028
156.9000 0.0030
215.5000 0.0031
217.9000 0.0033
238.6000 0.0035
259.6000 0.0036
320.4000 0.0038
324.8000 0.0040
351.6000 0.0042
356.4000 0.0043
436.4000 0.0045
439.3000 0.0047
456.3000 0.0049
471.2000 0.0050
478.9000 0.0052
488.9000 0.0054
499.1000 0.0056
502.2000 0.0057
508.2000 0.0059
537.3000 0.0061
555.3000 0.0063
568.0000 0.0064
569.5000 0.0066
611.7000 0.0068
620.3000 0.0069
624.8000 0.0071
661.4000 0.0073
666.6000 0.0075
696.7000 0.0076
697.7000 0.0078
719.1000 0.0080
731.1000 0.0082
736.8000 0.0083
773.0000 0.0085
810.3000 0.0087
825.9000 0.0089
864.6000 0.0090
868.0000 0.0092
914.1000 0.0094
916.1000 0.0095
943.5000 0.0097
974.7000 0.0099
1011.3000 0.0101
1022.8000 0.0102
1024.4000 0.0104
1028.1000 0.0106
1032.4000 0.0108
1040.6000 0.0109
1050.0000 0.0111
1063.3000 0.0113
1081.6000 0.0115
1092.3000 0.0116
1093.0000 0.0118
1106.6000 0.0120
1107.6000 0.0122
1145.2000 0.0123
1145.6000 0.0125
1147.3000 0.0127
1153.9000 0.0128
1163.7000 0.0130
1170.4000 0.0132
1172.8000 0.0134
1177.1000 0.0135
1178.8000 0.0137
1193.1000 0.0139
1197.5000 0.0141
1209.7000 0.0142
1211.5000 0.0144
1233.9000 0.0146
1238.2000 0.0148
1247.7000 0.0149
1248.5000 0.0151
1256.4000 0.0153
1256.4000 0.0155
1261.5000 0.0156
1286.8000 0.0158
1376.4000 0.0160
1387.6000 0.0161
1393.8000 0.0163
1396.5000 0.0165
1407.1000 0.0167
1425.1000 0.0168
1430.2000 0.0170
1443.3000 0.0172
1444.9000 0.0174
1453.6000 0.0175
1453.9000 0.0177
1474.6000 0.0179
1482.5000 0.0181
1489.3000 0.0182
1494.6000 0.0184
1497.0000 0.0186
1513.1000 0.0187
1520.0000 0.0189
1521.4000 0.0191
1521.4000 0.0193
1535.2000 0.0194
1538.8000 0.0196
1542.4000 0.0198
1542.6000 0.0200
1543.4000 0.0201
1549.3000 0.0203
1550.1000 0.0205
1560.0000 0.0207
1571.8000 0.0208
1574.9000 0.0210
1581.8000 0.0212
1600.5000 0.0214
1601.2000 0.0215
1603.5000 0.0217
1608.2000 0.0219
1618.7000 0.0220
1621.5000 0.0222
1626.2000 0.0224
1633.9000 0.0226
1636.6000 0.0227
1655.6000 0.0229
1667.3000 0.0231
1674.7000 0.0233
1686.0000 0.0234
1687.2000 0.0236
1704.6000 0.0238
1722.9000 0.0240
1733.3000 0.0241
1761.6000 0.0243
1767.4000 0.0245
1797.2000 0.0247
1801.6000 0.0248
1834.6000 0.0250
1845.1000 0.0252
1858.5000 0.0253
1886.5000 0.0255
1894.9000 0.0257
1902.3000 0.0259
1941.7000 0.0260
1942.7000 0.0262
1983.5000 0.0264
1996.3000 0.0266
2009.4000 0.0267
2031.7000 0.0269
2047.7000 0.0271
2089.2000 0.0273
2106.7000 0.0274
2116.9000 0.0276
2126.9000 0.0278
2184.0000 0.0280
2229.4000 0.0281
2263.9000 0.0283
2263.9000 0.0285
2309.8000 0.0286
2388.1000 0.0288
2395.4000 0.0290
2414.5000 0.0292
2417.3000 0.0293
2424.5000 0.0295
2447.6000 0.0297
2461.9000 0.0299
2484.5000 0.0300
2486.0000 0.0302
2489.9000 0.0304
2517.4000 0.0306
2519.6000 0.0307
2521.0000 0.0309
2537.9000 0.0311
2561.4000 0.0312
2572.2000 0.0314
2596.7000 0.0316
2642.2000 0.0318
2643.5000 0.0319
2710.9000 0.0321
2736.4000 0.0323
2793.5000 0.0325
2805.3000 0.0326
2878.9000 0.0328
2902.7000 0.0330
2915.0000 0.0332
2928.5000 0.0333
2961.7000 0.0335
2987.1000 0.0337
2989.2000 0.0339
2992.5000 0.0340
3040.5000 0.0342
3046.2000 0.0344
3063.6000 0.0345
3095.7000 0.0347
3130.9000 0.0349
3135.0000 0.0351
3175.7000 0.0352
3191.6000 0.0354
3192.9000 0.0356
3206.2000 0.0358
3229.0000 0.0359
3284.6000 0.0361
3324.6000 0.0363
3363.0000 0.0365
3382.4000 0.0366
3393.4000 0.0368
3439.5000 0.0370
3495.3000 0.0372
3502.4000 0.0373
3546.6000 0.0375
3622.3000 0.0377
3644.6000 0.0378
3661.0000 0.0380
3693.3000 0.0382
3700.4000 0.0384
3702.9000 0.0385
3732.4000 0.0387
3736.6000 0.0389
3777.9000 0.0391
3789.1000 0.0392
